timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
107813.0000,-0.2197,0.9512,0.4312,-1.3428,2.6245,-5.0659
107814.0000,-0.2251,0.9434,0.4331,-1.7090,2.9297,-3.7842
107815.0000,-0.2222,0.9399,0.4326,-1.7090,3.6621,-2.4414
107816.0000,-0.2383,0.9365,0.4336,-1.1597,3.6011,-0.9766
107817.0000,-0.2456,0.9312,0.4326,-0.8545,2.9297,-1.1597
107818.0000,-0.2388,0.9292,0.4316,-0.4272,2.6855,-0.1831
107819.0000,-0.2310,0.9253,0.4341,0.3052,2.0142,0.4883
107820.0000,-0.2222,0.9233,0.4316,0.7935,1.3428,1.6479
107821.0000,-0.2256,0.9287,0.4302,1.3428,0.7324,1.0376
107822.0000,-0.2178,0.9321,0.4297,1.6479,0.6714,1.9531
107823.0000,-0.2202,0.9380,0.4277,1.7090,0.1221,2.0142
107824.0000,-0.2134,0.9419,0.4277,1.7700,-0.5493,2.5024
107825.0000,-0.2178,0.9458,0.4277,1.6479,-1.5259,2.7466
107826.0000,-0.2236,0.9478,0.4268,1.7090,-2.0142,3.1128
107827.0000,-0.2100,0.9526,0.4248,1.5259,-2.2583,2.7466
107828.0000,-0.2104,0.9556,0.4258,1.3428,-2.8076,4.7607
107829.0000,-0.2061,0.9565,0.4272,1.1597,-2.5024,3.6011
107830.0000,-0.2134,0.9565,0.4263,1.2817,-3.4790,3.2959
107831.0000,-0.2148,0.9565,0.4224,1.0986,-4.0283,4.8218
107832.0000,-0.2124,0.9575,0.4224,1.0376,-4.6387,3.6011
107833.0000,-0.2012,0.9561,0.4277,1.0986,-4.9438,5.7983
107834.0000,-0.2056,0.9541,0.4282,1.0986,-4.3335,6.4697
107835.0000,-0.2207,0.9531,0.4292,1.0376,-5.2490,9.7656
107836.0000,-0.2310,0.9536,0.4268,1.0376,-7.0801,11.2915
107837.0000,-0.2510,0.9575,0.4209,1.2207,-10.0098,12.9395
107838.0000,-0.2617,0.9570,0.4175,1.1597,-13.1836,16.6016
107839.0000,-0.2686,0.9575,0.4185,1.4648,-16.1133,17.4561
107840.0000,-0.2842,0.9570,0.4233,1.4038,-20.1416,19.1040
107841.0000,-0.3022,0.9556,0.4312,1.3428,-26.7944,21.1792
107842.0000,-0.3433,0.9521,0.4263,1.5259,-35.2173,28.6255
107843.0000,-0.3652,0.9526,0.4043,1.7700,-41.5039,36.9263
107844.0000,-0.3379,0.9517,0.3813,2.5635,-41.4429,43.8232
107845.0000,-0.2549,0.9507,0.3818,3.9062,-37.5977,52.4902
107846.0000,-0.2031,0.9512,0.4219,5.1880,-34.9731,60.9741
107847.0000,-0.1455,0.9507,0.4517,6.2866,-32.4097,71.4722
107848.0000,-0.0381,0.9468,0.4414,7.6904,-30.3345,91.6748
107849.0000,0.0435,0.9375,0.4243,8.9111,-28.6255,115.9668
107850.0000,0.0889,0.9287,0.4185,10.1318,-28.5645,140.8081
107851.0000,0.1294,0.9189,0.4185,11.3525,-28.0762,156.4331
107852.0000,0.1821,0.9072,0.4077,12.8784,-25.3906,160.9497
107853.0000,0.2363,0.9043,0.3936,14.4043,-20.6909,154.5410
107854.0000,0.2793,0.9170,0.3833,14.8926,-19.3481,141.0522
107855.0000,0.2798,0.9194,0.3823,13.4277,-20.0195,123.0469
107856.0000,0.2407,0.8823,0.3965,10.7422,-20.9961,110.7178
107857.0000,0.2109,0.8262,0.4102,9.2773,-22.2778,105.0415
107858.0000,0.2310,0.8389,0.4180,9.3384,-22.5220,104.7363
107859.0000,0.2632,0.9248,0.4180,10.2539,-22.0337,106.4453
107860.0000,0.2861,0.9805,0.4038,10.2539,-20.3247,108.7646
107861.0000,0.2778,0.9722,0.3970,9.0942,-19.2871,109.8022
107862.0000,0.2720,0.9756,0.3999,7.6294,-19.1040,106.3843
107863.0000,0.2676,0.9761,0.4116,6.8359,-20.4468,104.8584
107864.0000,0.2891,0.9370,0.4116,7.1411,-22.3999,103.4546
107865.0000,0.3081,0.8589,0.4004,7.5073,-24.3530,101.8677
107866.0000,0.3213,0.8335,0.3843,7.0801,-25.8179,99.7925
107867.0000,0.3320,0.8564,0.3823,6.1646,-27.4658,95.4590
107868.0000,0.3428,0.8770,0.3872,5.0659,-28.0151,94.9097
107869.0000,0.3623,0.8486,0.3887,5.1880,-28.2593,99.4873
107870.0000,0.4077,0.8105,0.3794,6.6528,-28.8696,103.3325
107871.0000,0.4458,0.8218,0.3687,8.7891,-28.6865,110.3516
107872.0000,0.5059,0.8506,0.3623,10.1929,-29.7852,115.2344
107873.0000,0.5532,0.8447,0.3643,10.6201,-30.7007,123.4741
107874.0000,0.6172,0.8145,0.3633,10.3760,-31.1890,129.0894
107875.0000,0.6777,0.8115,0.3613,10.5591,-32.1045,131.7749
107876.0000,0.7563,0.8140,0.3608,11.3525,-32.3486,129.6997
107877.0000,0.7930,0.7954,0.3599,11.9019,-33.2642,123.1689
107878.0000,0.8076,0.7832,0.3579,11.7798,-33.3252,112.3657
107879.0000,0.8047,0.7847,0.3564,10.6812,-33.0200,102.7832
107880.0000,0.7993,0.7808,0.3579,9.2773,-31.4331,94.2383
107881.0000,0.7983,0.7764,0.3496,8.2397,-27.7710,88.3179
107882.0000,0.8159,0.7744,0.3403,7.8735,-23.7427,79.1016
107883.0000,0.8213,0.7769,0.3247,7.3853,-19.5923,67.8711
107884.0000,0.8262,0.7847,0.3203,7.5073,-16.8457,58.3496
107885.0000,0.8057,0.7842,0.3140,8.0566,-14.1602,49.9878
107886.0000,0.7930,0.7690,0.3105,9.2773,-12.7563,44.5557
107887.0000,0.7729,0.7446,0.3018,9.8877,-10.6812,39.5508
107888.0000,0.7690,0.7095,0.2979,10.6812,-9.2773,35.0342
107889.0000,0.7749,0.6768,0.2954,10.6201,-7.3853,28.9917
107890.0000,0.7690,0.6655,0.2974,10.1929,-5.3711,22.2168
107891.0000,0.7788,0.6816,0.3013,8.5449,-3.0518,15.0757
107892.0000,0.7808,0.7109,0.3052,6.3477,-2.3804,9.0942
107893.0000,0.7690,0.7271,0.3091,4.5776,-2.0142,2.0752
107894.0000,0.7627,0.7266,0.3076,3.4180,-2.4414,-2.8076
107895.0000,0.7637,0.7275,0.3076,2.6855,-1.7700,-10.9253
107896.0000,0.7515,0.7319,0.3062,2.2583,-2.9907,-16.7236
107897.0000,0.7607,0.7412,0.3076,2.3804,-2.6245,-22.7051
107898.0000,0.7783,0.7466,0.3110,2.3193,-3.1738,-31.1279
107899.0000,0.7832,0.7490,0.3164,1.8311,-3.5400,-42.7856
107900.0000,0.7954,0.7529,0.3208,0.9155,-2.9297,-49.7437
107901.0000,0.7847,0.7520,0.3242,-0.4883,-3.4790,-59.7534
107902.0000,0.7676,0.7500,0.3271,-2.0142,-2.8076,-66.7725
107903.0000,0.7417,0.7422,0.3242,-3.6011,-2.8076,-76.1108
107904.0000,0.6997,0.7393,0.3237,-5.1270,-2.8076,-84.1064
107905.0000,0.6694,0.7461,0.3193,-6.4697,-1.9531,-91.2476
107906.0000,0.6416,0.7676,0.3179,-7.6904,-2.1973,-95.7642
107907.0000,0.6162,0.7783,0.3164,-8.9722,-1.0986,-102.2949
107908.0000,0.5908,0.7695,0.3149,-10.0098,-0.1831,-108.2764
107909.0000,0.5503,0.7676,0.3164,-10.9863,1.4038,-110.8398
107910.0000,0.5249,0.7729,0.3174,-11.9019,2.9907,-113.4033
107911.0000,0.4956,0.7852,0.3213,-12.6953,4.6387,-116.3940
107912.0000,0.4692,0.8105,0.3257,-13.7939,7.0801,-116.4551
107913.0000,0.4497,0.8198,0.3281,-14.5874,10.9253,-116.5771
107914.0000,0.4224,0.8228,0.3247,-15.1367,14.6484,-116.8823
107915.0000,0.3862,0.8184,0.3232,-15.3809,17.5781,-118.6523
107916.0000,0.3481,0.8115,0.3232,-15.3809,19.5312,-120.2393
107917.0000,0.3154,0.7988,0.3296,-15.6860,21.2402,-122.4365
107918.0000,0.2739,0.7954,0.3340,-15.9302,22.6440,-123.8403
107919.0000,0.2559,0.8032,0.3384,-16.6016,23.1934,-124.8779
107920.0000,0.2236,0.8149,0.3433,-17.5171,23.3154,-125.0610
107921.0000,0.2056,0.8296,0.3467,-18.4326,23.6816,-124.3896
107922.0000,0.1880,0.8345,0.3506,-18.9209,23.7427,-122.0703
107923.0000,0.1655,0.8350,0.3525,-19.0430,23.8647,-117.5537
107924.0000,0.1304,0.8330,0.3540,-19.4702,25.0854,-115.3564
107925.0000,0.0850,0.8262,0.3560,-20.0806,26.2451,-111.1450
