timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
274316.0000,-0.0479,0.9209,0.4253,-6.9580,7.8125,-11.5967
274317.0000,-0.0562,0.9180,0.4307,-7.3242,8.1787,-12.4512
274318.0000,-0.0625,0.9160,0.4268,-7.9346,8.1177,-12.2070
274319.0000,-0.0664,0.9092,0.4272,-8.2397,8.2397,-11.2305
274320.0000,-0.0830,0.8994,0.4277,-8.1177,8.1787,-10.0098
274321.0000,-0.0928,0.8940,0.4321,-8.2397,7.6904,-8.7280
274322.0000,-0.1011,0.8945,0.4292,-7.2632,6.9580,-7.4463
274323.0000,-0.0981,0.9009,0.4326,-7.1411,6.1646,-6.0425
274324.0000,-0.0952,0.9072,0.4375,-6.6528,5.4932,-4.9438
274325.0000,-0.0869,0.9131,0.4453,-6.7139,5.6152,-4.9438
274326.0000,-0.0884,0.9121,0.4507,-5.9204,5.5542,-5.3711
274327.0000,-0.0933,0.9102,0.4531,-5.6152,5.7373,-5.1270
274328.0000,-0.0879,0.9043,0.4561,-5.3101,5.3711,-5.0049
274329.0000,-0.0981,0.9014,0.4565,-5.1270,5.4932,-5.3101
274330.0000,-0.1060,0.8970,0.4561,-4.2114,5.6152,-5.4932
274331.0000,-0.1123,0.8950,0.4561,-3.7842,5.9204,-4.6997
274332.0000,-0.1123,0.8921,0.4565,-2.9907,5.4932,-4.4556
274333.0000,-0.1182,0.8867,0.4561,-2.0142,4.5776,-3.0518
274334.0000,-0.1284,0.8877,0.4570,-0.9155,4.0894,-3.1128
274335.0000,-0.1235,0.8877,0.4565,0.0000,2.9907,-2.6855
274336.0000,-0.1201,0.8916,0.4536,0.6104,2.5635,-2.5635
274337.0000,-0.1162,0.8936,0.4512,1.2817,1.8311,-2.9297
274338.0000,-0.1138,0.8965,0.4565,2.0142,1.4648,-2.9907
274339.0000,-0.1069,0.8989,0.4546,2.6855,0.7324,-4.2114
274340.0000,-0.1001,0.9053,0.4536,2.9297,-0.3052,-4.5166
274341.0000,-0.0967,0.9121,0.4546,2.9907,-0.6104,-6.2866
274342.0000,-0.0830,0.9097,0.4585,2.8076,-0.8545,-6.7749
274343.0000,-0.0752,0.9043,0.4570,2.9907,-1.2207,-8.0566
274344.0000,-0.0630,0.8999,0.4614,2.5024,-1.5869,-9.0332
274345.0000,-0.0518,0.8979,0.4609,2.8687,-1.0376,-11.4746
274346.0000,-0.0464,0.8916,0.4600,3.2959,-0.8545,-13.4277
274347.0000,-0.0444,0.8823,0.4556,4.5166,-0.6104,-16.3574
274348.0000,-0.0449,0.8682,0.4546,5.7983,0.8545,-19.0430
274349.0000,-0.0469,0.8579,0.4595,7.2632,1.8921,-21.8506
274350.0000,-0.0469,0.8579,0.4609,7.8125,2.6855,-24.2920
274351.0000,-0.0479,0.8618,0.4521,7.9346,3.5400,-25.7568
274352.0000,-0.0576,0.8662,0.4478,8.0566,4.5776,-26.9775
274353.0000,-0.0864,0.8633,0.4409,8.4839,5.7373,-26.2451
274354.0000,-0.1099,0.8608,0.4414,9.0332,6.8359,-23.9868
274355.0000,-0.1440,0.8564,0.4385,10.4980,8.3618,-21.9116
274356.0000,-0.1812,0.8511,0.4360,11.6577,9.7046,-16.9067
274357.0000,-0.2012,0.8594,0.4326,12.6343,10.1929,-11.5967
274358.0000,-0.2280,0.8735,0.4233,13.2446,9.4604,-6.8359
274359.0000,-0.2422,0.8896,0.4185,13.6108,8.1787,-1.5259
274360.0000,-0.2500,0.9194,0.4126,13.5498,6.9580,4.3945
274361.0000,-0.2603,0.9463,0.4053,13.6108,5.3711,9.2163
274362.0000,-0.2690,0.9712,0.3965,12.9395,4.3335,14.0991
274363.0000,-0.2847,0.9995,0.3940,12.6343,2.6245,17.5781
274364.0000,-0.2827,1.0151,0.3970,12.4512,1.7090,21.3013
274365.0000,-0.2778,1.0234,0.3984,11.4136,1.1597,23.7427
274366.0000,-0.2612,1.0361,0.4062,10.7422,0.0610,25.1465
274367.0000,-0.2490,1.0444,0.4097,10.1929,-0.7935,26.2451
274368.0000,-0.2271,1.0474,0.4165,8.9111,-1.9531,27.1606
274369.0000,-0.2012,1.0474,0.4214,7.8125,-3.2959,27.5269
274370.0000,-0.1909,1.0376,0.4219,7.1411,-4.2114,28.1982
274371.0000,-0.1772,1.0205,0.4224,6.2866,-4.9438,28.8086
274372.0000,-0.1509,0.9976,0.4238,4.9438,-5.9204,27.8320
274373.0000,-0.1143,0.9814,0.4233,4.2725,-6.6528,27.5879
