timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
253063.0000,-0.2549,0.8716,0.4771,2.1973,2.9297,-0.7935
253064.0000,-0.2515,0.8716,0.4761,1.5259,2.6245,-1.6479
253065.0000,-0.2480,0.8730,0.4741,1.0376,2.5024,-1.0376
253066.0000,-0.2466,0.8701,0.4736,0.6714,2.3193,-1.7090
253067.0000,-0.2461,0.8691,0.4751,0.4272,2.5024,-1.6479
253068.0000,-0.2471,0.8682,0.4756,0.2441,2.0752,-2.3804
253069.0000,-0.2471,0.8677,0.4746,0.1221,2.0142,-2.9907
253070.0000,-0.2515,0.8687,0.4766,0.0610,2.1362,-2.1973
253071.0000,-0.2524,0.8691,0.4746,-0.0000,1.9531,-2.9297
253072.0000,-0.2549,0.8687,0.4746,-0.4272,1.9531,-2.6855
253073.0000,-0.2603,0.8638,0.4771,-0.5493,1.4038,-2.7466
253074.0000,-0.2524,0.8608,0.4785,-0.6714,1.8311,-3.2349
253075.0000,-0.2515,0.8564,0.4766,-0.5493,1.8921,-2.6245
253076.0000,-0.2520,0.8564,0.4800,-0.3052,2.1973,-3.2959
253077.0000,-0.2603,0.8579,0.4795,-0.6104,2.1362,-2.6855
253078.0000,-0.2617,0.8535,0.4839,-0.3052,2.3804,-2.6245
253079.0000,-0.2656,0.8491,0.4805,-0.1831,1.9531,-2.7466
253080.0000,-0.2710,0.8462,0.4858,-0.1221,2.3193,-2.8076
253081.0000,-0.2646,0.8423,0.4858,0.1831,2.5024,-3.2349
253082.0000,-0.2632,0.8369,0.4849,0.3662,2.5024,-3.1738
253083.0000,-0.2598,0.8359,0.4863,0.7935,2.9907,-2.9907
253084.0000,-0.2656,0.8379,0.4844,1.0986,2.6855,-3.1128
253085.0000,-0.2705,0.8428,0.4854,1.4648,2.4414,-3.2349
253086.0000,-0.2725,0.8496,0.4819,1.5869,2.2583,-3.2349
253087.0000,-0.2749,0.8491,0.4824,1.6479,1.4648,-2.8687
253088.0000,-0.2822,0.8491,0.4844,1.7090,1.3428,-3.2349
253089.0000,-0.2798,0.8491,0.4883,1.7700,0.8545,-3.0518
253090.0000,-0.2764,0.8477,0.4883,1.5259,0.8545,-2.9907
253091.0000,-0.2729,0.8452,0.4868,1.5259,0.6104,-3.8452
253092.0000,-0.2676,0.8452,0.4863,1.5259,1.0986,-3.4790
253093.0000,-0.2568,0.8442,0.4873,1.3428,1.2207,-2.6855
253094.0000,-0.2588,0.8418,0.4917,1.5869,0.9155,-1.9531
253095.0000,-0.2607,0.8389,0.4893,1.5259,0.9766,-1.1597
253096.0000,-0.2651,0.8379,0.4912,1.7700,0.4883,-0.4272
253097.0000,-0.2622,0.8398,0.4937,2.0752,0.4883,-0.3052
253098.0000,-0.2612,0.8442,0.4922,2.3804,0.6714,0.1831
253099.0000,-0.2632,0.8496,0.4941,2.5635,0.9155,1.2207
253100.0000,-0.2646,0.8496,0.4922,2.5024,1.0376,1.5869
253101.0000,-0.2578,0.8491,0.4941,2.5024,1.0986,1.0986
253102.0000,-0.2544,0.8472,0.4956,2.6245,1.2817,2.0142
253103.0000,-0.2505,0.8491,0.4971,2.8687,1.3428,2.9297
253104.0000,-0.2524,0.8481,0.4946,3.0518,1.7090,3.1128
253105.0000,-0.2485,0.8506,0.4941,3.1738,1.1597,3.4790
253106.0000,-0.2485,0.8604,0.4951,3.2959,1.2207,4.0894
253107.0000,-0.2480,0.8687,0.4946,3.4180,0.9155,5.0659
253108.0000,-0.2480,0.8696,0.4927,3.1738,0.7324,5.1270
