timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
173063.0000,-0.2183,0.9702,0.3208,-2.1973,11.1084,0.1221
173064.0000,-0.2183,0.9707,0.3203,-2.6245,10.8032,0.4883
173065.0000,-0.2148,0.9707,0.3193,-2.5024,11.0474,0.3662
173066.0000,-0.2207,0.9697,0.3198,-2.7466,10.9253,-0.0000
173067.0000,-0.2197,0.9692,0.3208,-3.0518,12.8174,-0.1831
173068.0000,-0.2192,0.9688,0.3169,-3.2349,12.3291,-0.2441
173069.0000,-0.2114,0.9692,0.3223,-3.3569,10.5591,-0.3052
173070.0000,-0.2188,0.9678,0.3184,-3.3569,12.8784,-0.3662
173071.0000,-0.2212,0.9653,0.3203,-3.4180,12.5122,-0.3052
173072.0000,-0.2188,0.9629,0.3213,-3.8452,13.2446,-0.0610
173073.0000,-0.2183,0.9644,0.3223,-3.6011,15.5029,0.4272
173074.0000,-0.2178,0.9644,0.3242,-4.0283,14.2822,0.5493
173075.0000,-0.2114,0.9653,0.3286,-3.8452,15.5640,0.7324
173076.0000,-0.2065,0.9639,0.3262,-3.9673,16.7236,0.6104
173077.0000,-0.2061,0.9639,0.3262,-4.3945,15.1367,0.1831
173078.0000,-0.2046,0.9614,0.3257,-4.0894,15.0757,0.4272
173079.0000,-0.2021,0.9634,0.3291,-4.4556,16.1743,0.1831
173080.0000,-0.1973,0.9634,0.3281,-4.2725,16.9678,1.1597
173081.0000,-0.1953,0.9634,0.3271,-3.9062,15.0146,0.9766
173082.0000,-0.1875,0.9624,0.3291,-3.8452,13.3057,1.2207
173083.0000,-0.1782,0.9629,0.3291,-4.0283,14.6484,1.2207
173084.0000,-0.1680,0.9614,0.3267,-3.8452,16.9678,1.6479
173085.0000,-0.1587,0.9614,0.3286,-4.1504,14.8315,2.5024
173086.0000,-0.1499,0.9609,0.3315,-5.1880,14.8926,2.8687
173087.0000,-0.1401,0.9590,0.3262,-5.5542,16.7236,3.4180
173088.0000,-0.1284,0.9604,0.3228,-6.5308,15.3809,3.9673
173089.0000,-0.1157,0.9600,0.3174,-7.5073,17.7002,4.2725
173090.0000,-0.1060,0.9575,0.3188,-7.8125,18.4326,5.0659
173091.0000,-0.0938,0.9575,0.3193,-8.1177,22.7051,5.9814
173092.0000,-0.0889,0.9590,0.3193,-8.7891,23.3765,7.0190
173093.0000,-0.0991,0.9604,0.3208,-9.5825,23.9258,8.5449
173094.0000,-0.1284,0.9653,0.3213,-9.4604,28.0151,9.7046
173095.0000,-0.1499,0.9683,0.3169,-9.4604,29.8462,11.7188
173096.0000,-0.1660,0.9731,0.3130,-9.2163,32.8369,12.6343
173097.0000,-0.1699,0.9790,0.3047,-9.1553,38.2080,14.2822
173098.0000,-0.1772,0.9834,0.2998,-8.9722,40.1611,15.2588
173099.0000,-0.1880,0.9878,0.2983,-8.9722,41.9922,16.6016
173100.0000,-0.1919,0.9863,0.2993,-8.6060,48.1567,17.2729
173101.0000,-0.1914,0.9829,0.3027,-8.4229,52.7344,17.7002
173102.0000,-0.1938,0.9785,0.3057,-7.5684,52.9175,18.4937
173103.0000,-0.1895,0.9741,0.3057,-7.2632,58.4717,18.3105
173104.0000,-0.1812,0.9727,0.3086,-6.7139,62.9883,18.9209
173105.0000,-0.1592,0.9731,0.3120,-5.5542,66.4673,19.9585
173106.0000,-0.1348,0.9717,0.3110,-5.0659,69.2139,19.8364
173107.0000,-0.1240,0.9707,0.3130,-4.7607,72.2046,20.9351
173108.0000,-0.1372,0.9702,0.3105,-4.6997,72.5098,20.5688
173109.0000,-0.1504,0.9658,0.3120,-4.2725,75.5005,20.1416
173110.0000,-0.1470,0.9634,0.3047,-4.2114,76.5991,20.0806
173111.0000,-0.1318,0.9609,0.3081,-4.2114,76.8433,19.7754
173112.0000,-0.1157,0.9604,0.3008,-4.0894,76.4160,20.0806
