timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
182495.0000,-0.2153,0.9336,0.3462,-1.8311,0.7935,-2.3193
182496.0000,-0.2114,0.9336,0.3433,-1.7090,0.7935,-1.8311
182497.0000,-0.2056,0.9316,0.3477,-1.7090,0.3052,-1.9531
182498.0000,-0.2036,0.9307,0.3496,-1.4648,-1.4038,-1.8921
182499.0000,-0.2036,0.9302,0.3477,-1.7700,-4.6387,-1.5259
182500.0000,-0.2095,0.9282,0.3535,-2.1362,-0.1221,-1.9531
182501.0000,-0.2129,0.9287,0.3555,-2.0142,3.2959,-1.5869
182502.0000,-0.2109,0.9263,0.3530,-1.6479,-2.1362,-1.0376
182503.0000,-0.2124,0.9248,0.3560,-1.2817,0.7324,-0.6714
182504.0000,-0.2061,0.9224,0.3589,-1.2817,0.3052,-0.7935
182505.0000,-0.2017,0.9214,0.3584,-1.1597,-0.2441,-0.3662
182506.0000,-0.1914,0.9253,0.3540,-0.4272,-0.3662,-0.5493
182507.0000,-0.1958,0.9268,0.3545,-0.6714,-3.9673,0.3052
182508.0000,-0.1929,0.9282,0.3569,-0.3052,-2.4414,-0.1221
182509.0000,-0.1934,0.9292,0.3560,-0.1831,-4.6387,-0.6104
182510.0000,-0.1924,0.9302,0.3555,0.0610,-3.8452,-0.3052
182511.0000,-0.1953,0.9326,0.3540,0.0610,-2.0752,-0.4272
182512.0000,-0.1899,0.9326,0.3530,-0.4272,-2.1973,-0.6714
182513.0000,-0.1919,0.9331,0.3506,-0.4272,-2.1362,-1.0376
182514.0000,-0.1948,0.9346,0.3486,-0.4883,-1.6479,-0.9155
182515.0000,-0.1938,0.9321,0.3481,-1.1597,-3.0518,-0.3052
182516.0000,-0.1934,0.9316,0.3438,-1.0376,-0.4883,-1.1597
182517.0000,-0.2017,0.9307,0.3462,-1.2207,-1.4038,-0.8545
182518.0000,-0.2041,0.9331,0.3442,-1.5259,1.4038,-1.1597
182519.0000,-0.1953,0.9336,0.3438,-1.3428,-1.4038,-0.6104
182520.0000,-0.2007,0.9341,0.3433,-1.7700,-0.6714,-0.1221
182521.0000,-0.2056,0.9351,0.3442,-1.5869,-2.9297,-0.3662
182522.0000,-0.2007,0.9331,0.3462,-1.8921,-0.7324,0.0610
182523.0000,-0.1895,0.9351,0.3472,-2.0142,0.0000,0.1221
182524.0000,-0.1865,0.9375,0.3501,-1.8921,-1.1597,0.3662
182525.0000,-0.1826,0.9346,0.3486,-1.5259,1.0376,0.9155
182526.0000,-0.1709,0.9331,0.3486,-2.3193,2.9907,1.0986
182527.0000,-0.1675,0.9341,0.3516,-2.5024,3.2959,2.3193
182528.0000,-0.1616,0.9341,0.3525,-3.0518,3.7231,3.0518
182529.0000,-0.1489,0.9341,0.3496,-2.6245,4.1504,3.9062
182530.0000,-0.1367,0.9351,0.3477,-2.6245,1.7090,5.3711
182531.0000,-0.1309,0.9351,0.3472,-3.2349,1.4648,6.2256
182532.0000,-0.1250,0.9341,0.3438,-2.9297,3.9062,7.3853
182533.0000,-0.1113,0.9355,0.3442,-3.2959,1.5869,7.6904
182534.0000,-0.1069,0.9385,0.3408,-2.8687,-0.4883,8.4229
182535.0000,-0.1040,0.9453,0.3359,-3.2349,4.0894,10.0098
