timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
190883.0000,-0.2617,0.9194,0.3379,-1.2207,3.6621,-0.7935
190884.0000,-0.2642,0.9233,0.3438,-1.4038,4.5166,-1.0376
190885.0000,-0.2695,0.9253,0.3438,-1.3428,3.6621,-0.8545
190886.0000,-0.2681,0.9233,0.3452,-0.9766,2.8076,-1.4648
190887.0000,-0.2642,0.9199,0.3418,-1.2817,3.1128,-1.0986
190888.0000,-0.2646,0.9194,0.3442,-0.8545,3.1128,-1.3428
190889.0000,-0.2690,0.9219,0.3447,-0.9766,3.0518,-1.1597
190890.0000,-0.2666,0.9248,0.3423,-0.9766,2.0142,-0.9155
190891.0000,-0.2642,0.9248,0.3428,-1.1597,2.6855,-0.3662
190892.0000,-0.2681,0.9268,0.3428,-1.3428,0.1221,-0.2441
190893.0000,-0.2656,0.9263,0.3457,-1.5259,2.4414,0.2441
190894.0000,-0.2627,0.9272,0.3433,-1.7090,-0.0000,0.4883
190895.0000,-0.2646,0.9287,0.3442,-1.2207,1.8921,0.1221
190896.0000,-0.2549,0.9258,0.3447,-1.5259,1.5869,-0.1221
190897.0000,-0.2539,0.9233,0.3481,-1.4648,0.9155,0.1831
190898.0000,-0.2578,0.9194,0.3442,-1.2207,2.8687,-0.6714
190899.0000,-0.2583,0.9189,0.3438,-1.1597,1.5869,-0.3662
190900.0000,-0.2612,0.9189,0.3477,-1.0376,0.0610,-1.1597
190901.0000,-0.2559,0.9209,0.3452,-1.1597,2.5635,-1.0376
190902.0000,-0.2515,0.9214,0.3442,-1.3428,3.0518,-1.2817
190903.0000,-0.2632,0.9219,0.3433,-1.2817,3.4180,-1.5869
190904.0000,-0.2671,0.9219,0.3447,-0.9766,3.8452,-1.0986
190905.0000,-0.2734,0.9214,0.3438,-0.6104,1.6479,-0.7935
190906.0000,-0.2798,0.9209,0.3452,-1.1597,3.7842,-1.0376
190907.0000,-0.2861,0.9204,0.3433,-1.2817,2.0752,-0.9155
190908.0000,-0.2915,0.9199,0.3438,-1.4038,1.2207,-0.6104
190909.0000,-0.2964,0.9214,0.3428,-1.1597,2.0142,-0.9766
190910.0000,-0.2998,0.9219,0.3442,-1.4038,0.6104,-1.2207
190911.0000,-0.3008,0.9233,0.3438,-1.2817,-1.8311,-0.6104
190912.0000,-0.3022,0.9233,0.3408,-1.0376,-0.4883,-1.2817
190913.0000,-0.2974,0.9233,0.3447,-1.4038,-1.7700,-0.9766
190914.0000,-0.2910,0.9219,0.3447,-1.2207,-2.6245,-0.9766
190915.0000,-0.2930,0.9224,0.3438,-1.6479,-3.6011,-0.9766
190916.0000,-0.2891,0.9238,0.3447,-1.4038,-5.1270,-0.6714
190917.0000,-0.2852,0.9243,0.3447,-1.4038,-7.7515,-0.9766
190918.0000,-0.2788,0.9253,0.3477,-1.4648,-8.4839,-0.7935
190919.0000,-0.2681,0.9248,0.3481,-1.3428,-9.0942,-0.0610
190920.0000,-0.2646,0.9258,0.3472,-1.1597,-10.1929,0.6104
190921.0000,-0.2632,0.9253,0.3472,-1.2817,-11.5967,0.1221
190922.0000,-0.2603,0.9238,0.3467,-1.2817,-11.0474,0.2441
190923.0000,-0.2554,0.9229,0.3472,-1.2207,-14.7095,0.3662
190924.0000,-0.2568,0.9214,0.3516,-0.6714,-15.6250,0.4883
190925.0000,-0.2534,0.9229,0.3521,0.0000,-17.5171,0.3052
190926.0000,-0.2583,0.9238,0.3521,0.5493,-16.1133,0.1221
190927.0000,-0.2671,0.9204,0.3569,1.1597,-17.9443,0.2441
190928.0000,-0.2764,0.9185,0.3545,1.4038,-18.2495,0.1831
190929.0000,-0.2886,0.9189,0.3574,2.0142,-19.2871,-0.1221
190930.0000,-0.3091,0.9204,0.3574,1.8921,-19.7754,-0.6104
190931.0000,-0.3120,0.9199,0.3584,2.1973,-21.3013,-0.0000
190932.0000,-0.3130,0.9160,0.3589,3.1738,-21.6675,-0.5493
190933.0000,-0.3130,0.9126,0.3594,3.7842,-20.9351,-0.7935
190934.0000,-0.3125,0.9111,0.3569,4.3335,-22.6440,-1.0986
190935.0000,-0.3232,0.9121,0.3608,5.5542,-24.4751,-0.7324
190936.0000,-0.3140,0.9126,0.3599,6.8359,-23.6206,-1.2207
190937.0000,-0.3086,0.9136,0.3628,7.9346,-24.5972,-1.2817
190938.0000,-0.2993,0.9141,0.3613,9.0942,-24.5972,-1.2207
190939.0000,-0.2954,0.9106,0.3638,10.1929,-25.6348,-1.8921
190940.0000,-0.2998,0.9087,0.3662,11.2305,-28.6255,-2.3193
190941.0000,-0.3135,0.9102,0.3691,11.7188,-29.6021,-2.5635
190942.0000,-0.3247,0.9097,0.3691,12.6343,-29.2969,-2.0752
190943.0000,-0.3311,0.9097,0.3687,13.6719,-33.8135,-2.5024
190944.0000,-0.3330,0.9043,0.3672,15.3198,-36.8652,-3.6621
190945.0000,-0.3394,0.9058,0.3682,16.0522,-39.6118,-3.6621
190946.0000,-0.3540,0.9033,0.3662,18.3716,-42.7856,-4.8218
190947.0000,-0.3721,0.8970,0.3662,19.8364,-45.1660,-5.5542
190948.0000,-0.3774,0.8945,0.3682,21.2402,-46.8140,-6.2866
190949.0000,-0.3853,0.8945,0.3706,23.4375,-50.7202,-7.5073
190950.0000,-0.3848,0.8984,0.3726,25.5127,-55.4810,-8.5449
190951.0000,-0.3691,0.9014,0.3750,27.3438,-59.9365,-9.0332
190952.0000,-0.3491,0.9043,0.3760,29.6631,-63.7207,-10.6201
190953.0000,-0.3350,0.9053,0.3770,30.8838,-65.1855,-11.6577
190954.0000,-0.3262,0.9019,0.3774,32.7759,-68.2373,-13.2446
190955.0000,-0.3120,0.8887,0.3760,34.5459,-73.1812,-14.9536
190956.0000,-0.2808,0.8848,0.3721,36.2549,-77.4536,-17.6392
190957.0000,-0.2495,0.8862,0.3633,37.7808,-82.6416,-19.9585
190958.0000,-0.1992,0.8862,0.3579,39.4287,-86.7920,-22.1558
190959.0000,-0.1553,0.8828,0.3418,39.3066,-96.1304,-25.1465
190960.0000,-0.1104,0.8784,0.3257,39.1846,-101.6235,-28.0762
190961.0000,-0.0742,0.8833,0.3096,36.8652,-108.0933,-30.8228
190962.0000,-0.0366,0.8926,0.2983,35.1562,-116.0278,-33.8135
190963.0000,-0.0000,0.9023,0.2793,32.7148,-125.3662,-35.8276
190964.0000,0.0312,0.8994,0.2676,31.0669,-132.0190,-37.4146
190965.0000,0.0786,0.9033,0.2495,29.3579,-142.4561,-39.3677
190966.0000,0.1191,0.9062,0.2339,28.5645,-149.1699,-40.1001
190967.0000,0.1494,0.9209,0.2202,28.4424,-153.4424,-40.5884
190968.0000,0.1670,0.9556,0.2095,24.5361,-160.9497,-40.8936
190969.0000,0.1514,0.9893,0.2017,24.7192,-161.8042,-41.4429
190970.0000,0.1709,1.0166,0.1929,19.9585,-166.5039,-41.8701
190971.0000,0.1782,1.0312,0.1934,19.4092,-166.1377,-42.0532
190972.0000,0.1587,1.0308,0.2036,18.3105,-167.9077,-42.1753
190973.0000,0.1362,1.0151,0.2217,14.8315,-164.1235,-41.2598
190974.0000,0.1401,1.0088,0.2314,12.9395,-161.1938,-39.0625
190975.0000,0.1509,1.0186,0.2378,11.9019,-155.0293,-36.4380
190976.0000,0.1157,1.0327,0.2432,11.1694,-150.3906,-34.5459
190977.0000,0.0537,0.9902,0.2642,9.0942,-137.6343,-32.2876
190978.0000,0.0151,1.0166,0.2993,7.2632,-126.4648,-31.3721
190979.0000,-0.0146,1.0078,0.2754,6.7139,-116.8213,-30.3345
190980.0000,-0.0474,0.9863,0.3159,5.7373,-104.4922,-29.7241
190981.0000,-0.0806,0.9868,0.3257,4.0283,-90.3320,-28.7476
190982.0000,-0.0845,0.9961,0.3369,1.2207,-81.2988,-26.9165
190983.0000,-0.0825,0.9854,0.3530,0.7935,-67.6880,-23.9258
190984.0000,-0.0898,0.9844,0.3682,0.7324,-58.1665,-20.9961
190985.0000,-0.0938,0.9902,0.3750,1.6479,-48.8281,-18.6157
190986.0000,-0.1011,0.9785,0.3730,1.5869,-34.1187,-16.3574
190987.0000,-0.0981,0.9746,0.3789,1.1597,-28.1372,-13.6108
190988.0000,-0.0957,0.9902,0.3853,0.0610,-19.4092,-12.4512
190989.0000,-0.0854,0.9897,0.3804,-1.2817,-13.7939,-10.7422
190990.0000,-0.0708,0.9717,0.3779,-3.4180,-11.9629,-9.5215
190991.0000,-0.0664,0.9546,0.3770,-4.4556,-7.6904,-8.7891
190992.0000,-0.0654,0.9448,0.3799,-4.2725,-7.1411,-7.8735
190993.0000,-0.0674,0.9487,0.3833,-2.2583,-4.4556,-7.0190
190994.0000,-0.0645,0.9692,0.3848,-0.9155,-2.9297,-5.6152
190995.0000,-0.0596,0.9873,0.3862,0.3052,-1.7700,-4.6997
190996.0000,-0.0342,0.9883,0.3921,0.9155,0.2441,-4.1504
190997.0000,-0.0195,0.9634,0.3960,1.0986,0.3662,-3.9673
190998.0000,0.0029,0.9297,0.3960,0.1831,3.9062,-3.0518
190999.0000,0.0176,0.9136,0.3970,-0.7935,3.4790,-2.5635
191000.0000,0.0225,0.9165,0.3960,-2.0142,7.2632,-1.2207
191001.0000,0.0225,0.9297,0.3931,-2.6245,7.7515,-0.4883
191002.0000,0.0049,0.9438,0.3945,-3.1738,8.9722,0.4883
191003.0000,-0.0220,0.9595,0.3979,-3.7231,12.3901,1.3428
191004.0000,-0.0449,0.9658,0.4082,-4.3335,14.9536,1.4038
191005.0000,-0.0640,0.9648,0.4165,-5.1880,16.4795,0.7324
191006.0000,-0.0571,0.9609,0.4204,-6.4697,21.8506,0.1221
191007.0000,-0.0396,0.9546,0.4253,-9.7656,24.0479,-0.2441
191008.0000,-0.0156,0.9570,0.4238,-10.9253,30.8838,-0.9766
191009.0000,-0.0063,0.9697,0.4224,-10.2539,37.9639,-0.5493
191010.0000,0.0103,0.9849,0.4131,-10.8032,40.2832,0.7935
191011.0000,0.0215,0.9907,0.4048,-11.2305,46.4478,2.1362
191012.0000,0.0366,0.9883,0.3960,-13.0005,46.9360,5.1270
191013.0000,0.0562,0.9678,0.3892,-16.9678,48.7671,6.9580
191014.0000,0.0781,0.9526,0.3867,-19.5923,50.9644,8.4229
191015.0000,0.1104,0.9609,0.3843,-21.9116,56.8237,10.1929
191016.0000,0.1392,0.9897,0.3804,-24.2310,60.9741,10.5591
191017.0000,0.1465,1.0269,0.3740,-25.6958,66.8945,12.2070
191018.0000,0.1377,1.0479,0.3687,-26.4282,74.2188,14.1602
191019.0000,0.1177,1.0327,0.3647,-26.0010,81.4209,15.3809
191020.0000,0.0796,1.0078,0.3584,-26.1230,88.5010,16.4185
191021.0000,0.0430,0.9868,0.3579,-26.0620,97.6562,18.0054
191022.0000,0.0093,0.9795,0.3560,-25.8789,112.3657,19.4702
191023.0000,-0.0220,0.9756,0.3550,-26.3062,124.1455,23.1323
191024.0000,-0.0347,0.9780,0.3511,-26.3062,135.3760,25.9399
191025.0000,-0.0386,0.9824,0.3394,-26.1841,147.0337,29.9683
191026.0000,-0.0352,0.9893,0.3330,-26.4893,155.6396,34.3018
191027.0000,-0.0459,1.0000,0.3257,-27.2217,165.7104,37.9639
191028.0000,-0.0571,1.0093,0.3135,-28.9917,172.1191,41.7480
191029.0000,-0.0815,1.0205,0.3008,-30.5176,177.7954,44.0674
191030.0000,-0.1035,1.0347,0.2861,-32.4707,181.3965,46.9971
191031.0000,-0.1182,1.0498,0.2739,-34.0576,188.1104,49.3164
191032.0000,-0.1387,1.0571,0.2617,-35.2173,195.0073,51.8799
191033.0000,-0.1602,1.0552,0.2437,-35.8276,203.2471,54.3823
191034.0000,-0.1904,1.0493,0.2266,-36.3770,204.3457,55.1147
191035.0000,-0.2339,1.0405,0.2065,-37.0483,208.9233,55.8472
191036.0000,-0.2749,1.0298,0.1865,-37.1704,213.4399,56.6406
191037.0000,-0.3096,1.0225,0.1724,-37.4146,214.0503,56.8237
191038.0000,-0.3232,1.0195,0.1509,-37.4146,217.1021,57.0068
191039.0000,-0.3169,1.0234,0.1279,-36.7432,214.7217,56.8237
191040.0000,-0.2949,1.0229,0.1084,-36.9873,214.4165,57.5562
191041.0000,-0.2837,1.0186,0.0845,-36.5601,213.5620,58.9600
191042.0000,-0.2856,1.0156,0.0645,-36.6211,210.7544,59.3872
191043.0000,-0.3066,1.0195,0.0430,-36.7432,208.3130,59.7534
191044.0000,-0.3311,1.0205,0.0303,-36.8652,203.9795,59.3872
191045.0000,-0.3574,1.0083,0.0200,-36.2549,203.1250,58.1055
191046.0000,-0.3745,0.9819,0.0200,-34.8511,200.3784,56.7627
191047.0000,-0.3936,0.9526,0.0220,-32.4097,196.8384,55.1147
191048.0000,-0.4028,0.9233,0.0269,-29.1748,196.5332,53.8940
191049.0000,-0.3975,0.9126,0.0332,-26.3062,192.5659,52.3682
191050.0000,-0.3779,0.9126,0.0488,-23.3154,188.6597,50.9033
191051.0000,-0.3613,0.9395,0.0591,-19.7144,183.0444,49.8657
191052.0000,-0.3589,0.9653,0.0674,-18.0054,174.9878,48.8892
191053.0000,-0.3643,0.9688,0.0718,-16.9678,167.2363,47.5464
191054.0000,-0.3550,0.9551,0.0835,-15.5029,160.4004,46.7529
191055.0000,-0.3491,0.9438,0.0928,-14.0991,153.7476,45.2271
191056.0000,-0.3335,0.9424,0.1177,-12.5122,146.0571,43.8843
191057.0000,-0.3262,0.9531,0.1504,-10.4980,137.5122,41.3818
191058.0000,-0.3208,0.9678,0.1836,-9.0332,130.6763,38.6353
191059.0000,-0.3057,0.9756,0.1953,-8.1177,125.0610,35.6445
191060.0000,-0.2935,0.9722,0.2036,-7.4463,116.0889,31.3110
191061.0000,-0.2773,0.9653,0.2168,-6.8359,111.2061,28.3203
191062.0000,-0.2534,0.9678,0.2261,-6.2866,106.0791,25.5127
191063.0000,-0.2310,0.9771,0.2339,-5.4932,98.2056,22.4609
191064.0000,-0.2158,0.9893,0.2344,-4.6997,91.6748,20.5078
191065.0000,-0.2090,0.9941,0.2349,-4.0894,87.0972,18.7378
191066.0000,-0.1997,0.9878,0.2314,-4.1504,79.7119,16.7236
191067.0000,-0.1904,0.9800,0.2275,-4.3945,75.6226,15.2588
191068.0000,-0.1753,0.9771,0.2256,-4.6387,69.5190,14.6484
191069.0000,-0.1558,0.9771,0.2217,-4.5776,66.2842,13.6108
191070.0000,-0.1362,0.9819,0.2188,-4.6997,62.8662,12.2681
191071.0000,-0.1235,0.9932,0.2158,-4.6387,59.3262,11.7188
191072.0000,-0.1245,0.9980,0.2114,-4.5166,54.3823,10.8032
191073.0000,-0.1191,0.9985,0.2075,-4.0283,55.3589,10.0098
191074.0000,-0.1138,0.9961,0.2051,-3.6621,52.9785,9.8267
191075.0000,-0.1172,0.9917,0.2085,-3.6011,50.4761,8.6670
191076.0000,-0.1123,0.9897,0.2080,-3.7231,48.4619,7.9346
191077.0000,-0.1221,0.9883,0.2046,-4.0894,46.3867,6.8359
191078.0000,-0.1226,0.9971,0.1963,-4.7607,45.9595,6.7749
191079.0000,-0.1187,1.0098,0.1880,-4.8218,47.2412,6.3477
191080.0000,-0.1318,1.0171,0.1855,-4.5776,44.9219,6.2256
191081.0000,-0.1401,1.0142,0.1831,-4.2114,46.5088,6.5918
191082.0000,-0.1592,1.0054,0.1860,-4.5776,47.0581,7.2632
191083.0000,-0.1733,0.9966,0.1870,-4.4556,47.7295,7.1411
191084.0000,-0.1719,0.9927,0.1890,-5.0049,51.0864,6.5308
191085.0000,-0.1758,0.9937,0.1851,-6.1646,49.2554,7.0190
191086.0000,-0.1904,0.9990,0.1826,-6.7749,49.9878,7.0801
191087.0000,-0.2036,1.0039,0.1851,-7.5073,51.6968,6.8970
191088.0000,-0.2256,1.0010,0.1846,-7.6294,52.4902,7.0801
191089.0000,-0.2407,0.9927,0.1860,-7.8735,55.7861,6.7749
191090.0000,-0.2397,0.9839,0.1904,-7.8125,55.9692,6.8359
191091.0000,-0.2275,0.9790,0.1919,-7.6904,54.3213,6.6528
191092.0000,-0.2153,0.9805,0.1904,-7.5684,54.6265,6.0425
191093.0000,-0.2061,0.9849,0.1943,-7.9956,57.4341,5.9204
191094.0000,-0.1997,0.9854,0.1968,-8.1787,56.2744,5.9204
191095.0000,-0.1899,0.9780,0.2065,-8.6670,53.2837,5.5542
191096.0000,-0.1812,0.9722,0.2114,-8.7891,52.8564,5.3711
191097.0000,-0.1714,0.9683,0.2124,-8.7891,52.9175,5.1880
191098.0000,-0.1621,0.9692,0.2090,-8.2397,51.3916,5.1270
191099.0000,-0.1572,0.9819,0.2119,-8.3008,47.3022,5.1880
191100.0000,-0.1641,0.9951,0.2183,-7.9346,44.2505,4.6997
191101.0000,-0.1738,0.9937,0.2236,-7.8735,40.2832,4.0894
191102.0000,-0.1821,0.9829,0.2266,-7.7515,37.4146,3.4790
191103.0000,-0.1816,0.9736,0.2275,-7.5073,37.4146,2.9907
191104.0000,-0.1729,0.9722,0.2207,-6.8359,34.7290,2.8076
191105.0000,-0.1719,0.9741,0.2197,-6.3477,31.1890,2.0142
191106.0000,-0.1758,0.9746,0.2227,-5.7373,30.7007,1.7700
191107.0000,-0.1899,0.9780,0.2285,-5.5542,28.0151,1.8311
191108.0000,-0.1934,0.9814,0.2344,-5.4932,27.0386,1.1597
191109.0000,-0.2046,0.9834,0.2363,-6.1646,26.4893,1.1597
191110.0000,-0.2104,0.9795,0.2383,-6.7139,25.9399,0.9766
191111.0000,-0.2114,0.9756,0.2354,-6.4697,25.6348,1.2207
191112.0000,-0.2065,0.9756,0.2363,-6.4697,26.8555,1.2207
191113.0000,-0.1958,0.9761,0.2397,-6.0425,26.2451,1.1597
191114.0000,-0.1973,0.9800,0.2446,-5.7373,24.2920,0.9155
191115.0000,-0.1992,0.9849,0.2461,-4.7607,23.3154,1.2207
191116.0000,-0.1982,0.9873,0.2471,-4.4556,22.1558,1.0376
191117.0000,-0.1904,0.9893,0.2446,-4.2114,21.3623,1.1597
191118.0000,-0.1841,0.9863,0.2451,-3.6621,21.3623,0.7324
191119.0000,-0.1724,0.9810,0.2441,-3.4790,20.2637,0.1221
191120.0000,-0.1636,0.9771,0.2446,-3.6621,18.7378,-0.0610
191121.0000,-0.1572,0.9761,0.2485,-3.2349,17.7002,-0.6104
191122.0000,-0.1553,0.9795,0.2446,-3.1128,16.6016,-1.0376
191123.0000,-0.1558,0.9819,0.2437,-2.6855,14.2212,-0.9766
191124.0000,-0.1562,0.9814,0.2437,-2.5024,9.8267,-1.2207
191125.0000,-0.1572,0.9810,0.2456,-2.3804,7.8125,-2.0752
191126.0000,-0.1577,0.9795,0.2471,-2.7466,7.2632,-2.3804
191127.0000,-0.1499,0.9790,0.2490,-3.1738,3.5400,-2.9297
