timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
197931.0000,-0.2192,0.9463,0.3975,1.7700,-27.9541,-11.1694
197932.0000,-0.2144,0.9478,0.3965,2.2583,-28.2593,-12.5732
197933.0000,-0.2114,0.9482,0.3994,2.3193,-28.6255,-12.3291
197934.0000,-0.2217,0.9521,0.3999,3.1128,-29.9683,-12.3901
197935.0000,-0.2188,0.9521,0.4038,2.7466,-28.7476,-12.8174
197936.0000,-0.2197,0.9482,0.4058,3.2349,-28.7476,-11.6577
197937.0000,-0.2197,0.9468,0.4028,3.1738,-26.9165,-11.5356
197938.0000,-0.2153,0.9478,0.4019,3.4790,-29.3579,-11.9629
197939.0000,-0.2217,0.9487,0.4038,3.6621,-31.7993,-11.3525
197940.0000,-0.2300,0.9482,0.4009,3.9062,-35.8887,-10.8032
197941.0000,-0.2417,0.9487,0.4062,3.9673,-36.4380,-10.4370
197942.0000,-0.2510,0.9473,0.4023,4.7607,-38.3911,-10.5591
197943.0000,-0.2505,0.9448,0.3999,5.0659,-42.1753,-10.6812
197944.0000,-0.2476,0.9424,0.4048,4.8828,-39.5508,-10.5591
197945.0000,-0.2461,0.9414,0.4082,5.1270,-42.4805,-10.4370
197946.0000,-0.2344,0.9468,0.4067,4.8828,-41.9312,-10.5591
197947.0000,-0.2310,0.9521,0.4082,5.7373,-43.3960,-11.2305
197948.0000,-0.2305,0.9521,0.4121,5.4932,-41.8091,-10.9863
197949.0000,-0.2329,0.9448,0.4092,6.4087,-40.5884,-11.6577
197950.0000,-0.2314,0.9419,0.4136,6.4697,-39.7949,-10.3760
197951.0000,-0.2358,0.9414,0.4116,6.5308,-43.2129,-9.2163
197952.0000,-0.2207,0.9531,0.4087,6.7139,-47.6685,-8.6060
197953.0000,-0.2168,0.9585,0.4131,6.5308,-50.9644,-7.9346
197954.0000,-0.2100,0.9590,0.4092,6.7749,-55.0537,-7.2021
197955.0000,-0.2207,0.9580,0.4087,7.0190,-59.3262,-6.9580
197956.0000,-0.2334,0.9624,0.4028,7.7515,-62.7441,-7.2632
197957.0000,-0.2510,0.9644,0.3999,7.3853,-66.0400,-7.6904
197958.0000,-0.2725,0.9663,0.3994,7.2632,-66.1011,-7.2021
197959.0000,-0.2896,0.9634,0.3940,6.8359,-65.5518,-7.3853
197960.0000,-0.2988,0.9590,0.3906,6.1646,-70.8008,-6.8970
197961.0000,-0.2939,0.9546,0.3896,5.4932,-68.1152,-6.3477
197962.0000,-0.2886,0.9521,0.3931,5.3711,-62.1338,-6.5918
197963.0000,-0.2720,0.9502,0.3945,4.8218,-59.3262,-6.8970
197964.0000,-0.2607,0.9536,0.3965,3.9062,-57.0679,-8.0566
197965.0000,-0.2471,0.9541,0.3999,3.3569,-48.8892,-8.3008
197966.0000,-0.2373,0.9521,0.4072,2.9297,-44.7998,-8.9722
197967.0000,-0.2168,0.9517,0.4131,3.3569,-41.0767,-9.6436
197968.0000,-0.1978,0.9502,0.4204,2.8076,-32.4097,-9.7656
197969.0000,-0.1655,0.9487,0.4238,3.0518,-30.0293,-10.3760
197970.0000,-0.1440,0.9512,0.4277,3.5400,-22.8271,-10.6201
197971.0000,-0.1284,0.9541,0.4326,3.1128,-20.0806,-11.0474
197972.0000,-0.1265,0.9531,0.4360,3.7842,-16.8457,-11.2305
197973.0000,-0.1113,0.9521,0.4409,3.7231,-13.4888,-11.2915
197974.0000,-0.0938,0.9521,0.4355,4.0894,-9.8267,-11.1694
197975.0000,-0.0796,0.9507,0.4395,4.1504,-10.8032,-10.2539
197976.0000,-0.0776,0.9458,0.4365,4.2725,-6.2866,-10.6812
197977.0000,-0.0825,0.9395,0.4326,4.2725,-8.2397,-10.0098
197978.0000,-0.0850,0.9360,0.4268,4.6997,-11.1694,-10.9253
197979.0000,-0.0859,0.9331,0.4194,4.4556,-17.7002,-11.3525
197980.0000,-0.0908,0.9360,0.4126,4.5776,-16.9678,-12.2070
197981.0000,-0.0933,0.9399,0.4092,4.6997,-23.0103,-13.6108
197982.0000,-0.1118,0.9468,0.4067,4.5166,-23.8647,-15.2588
197983.0000,-0.1299,0.9531,0.4043,4.6997,-27.8931,-14.8926
197984.0000,-0.1587,0.9585,0.4019,4.2114,-27.2827,-17.1509
197985.0000,-0.1733,0.9590,0.3926,4.8218,-32.3486,-17.9443
197986.0000,-0.2051,0.9507,0.3896,4.8218,-35.4614,-17.8833
197987.0000,-0.2402,0.9365,0.3887,5.0659,-36.7432,-20.0806
