timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
202369.0000,-0.1973,0.9224,0.4199,-2.1362,18.1885,-6.3477
202370.0000,-0.2080,0.9185,0.4175,-2.6245,19.1650,-6.2256
202371.0000,-0.2129,0.9175,0.4209,-2.3193,16.9067,-5.9814
202372.0000,-0.2095,0.9131,0.4204,-2.3804,17.6392,-5.7983
202373.0000,-0.2070,0.9072,0.4233,-2.5635,14.9536,-6.0425
202374.0000,-0.2104,0.9097,0.4258,-2.5024,18.1274,-6.4697
202375.0000,-0.2124,0.9087,0.4248,-2.0752,14.2822,-7.6904
202376.0000,-0.2153,0.9053,0.4263,-1.9531,11.0474,-5.8594
202377.0000,-0.2300,0.9058,0.4292,-2.0752,11.5967,-5.0659
202378.0000,-0.2310,0.9111,0.4292,-1.4038,9.7046,-3.7231
202379.0000,-0.2300,0.9092,0.4331,-1.1597,7.1411,-2.7466
202380.0000,-0.2383,0.9067,0.4321,-1.2207,5.9204,-1.1597
202381.0000,-0.2388,0.9092,0.4297,-0.6714,4.3945,-2.0752
202382.0000,-0.2383,0.9097,0.4292,-0.4883,1.3428,-1.4038
202383.0000,-0.2427,0.9092,0.4331,-0.8545,2.2583,-1.9531
202384.0000,-0.2358,0.9092,0.4307,-0.7935,0.0610,-2.1973
202385.0000,-0.2358,0.9111,0.4390,-0.5493,2.9297,-2.7466
202386.0000,-0.2236,0.9087,0.4321,-0.4272,-1.0986,-2.8076
202387.0000,-0.2207,0.9058,0.4341,-0.2441,-1.9531,-1.8921
202388.0000,-0.2261,0.9038,0.4370,-0.1831,-1.4648,-2.0142
202389.0000,-0.2344,0.9048,0.4365,-0.0000,-1.4038,-2.6245
202390.0000,-0.2373,0.9053,0.4346,0.0610,0.3052,-2.8076
202391.0000,-0.2275,0.9067,0.4307,0.3052,-1.5259,-1.9531
202392.0000,-0.2280,0.9067,0.4346,0.3662,-4.2725,-2.3193
202393.0000,-0.2192,0.9058,0.4312,0.6104,-5.5542,-3.2959
202394.0000,-0.2207,0.9014,0.4355,0.4272,-5.9814,-3.7842
202395.0000,-0.2266,0.8979,0.4307,0.1221,-13.8550,-3.5400
202396.0000,-0.2334,0.8940,0.4297,0.3052,-16.6016,-4.8218
202397.0000,-0.2329,0.8936,0.4282,-0.1221,-19.1650,-5.7983
202398.0000,-0.2427,0.8901,0.4336,-0.1831,-22.5220,-6.5918
202399.0000,-0.2480,0.8843,0.4326,0.1221,-29.4800,-6.4087
202400.0000,-0.2466,0.8770,0.4331,-0.0000,-37.1704,-6.1035
202401.0000,-0.2568,0.8730,0.4287,0.1831,-49.6826,-7.0801
202402.0000,-0.2573,0.8721,0.4302,0.4272,-64.9414,-8.9722
202403.0000,-0.2666,0.8809,0.4292,0.6104,-80.3223,-13.1226
202404.0000,-0.2847,0.8896,0.4312,0.7324,-97.0459,-17.1509
202405.0000,-0.3120,0.8931,0.4346,0.7935,-122.9858,-20.9351
202406.0000,-0.3506,0.8589,0.4297,1.8311,-144.5312,-27.4658
202407.0000,-0.3999,0.8066,0.4336,2.0142,-168.7622,-32.5928
202408.0000,-0.4434,0.7705,0.4370,1.9531,-201.4771,-38.8794
202409.0000,-0.4937,0.7944,0.4453,2.0142,-225.6470,-45.4102
202410.0000,-0.5396,0.8618,0.4497,2.1362,-241.6382,-49.5605
202411.0000,-0.5796,0.9565,0.4521,3.1128,-251.1597,-53.3447
202412.0000,-0.6328,0.9961,0.4502,6.7139,-253.2349,-56.8848
202413.0000,-0.6938,1.0078,0.4531,11.9629,-248.2910,-59.5093
202414.0000,-0.7383,0.9863,0.4570,17.9443,-244.3237,-60.7910
202415.0000,-0.7222,0.9653,0.4644,21.2402,-239.8071,-63.2324
202416.0000,-0.6309,0.9590,0.4717,20.2026,-235.2295,-63.5986
202417.0000,-0.4824,0.9746,0.4614,17.8833,-226.5625,-63.4766
202418.0000,-0.3110,0.9976,0.4458,14.2212,-219.6045,-62.3169
202419.0000,-0.1938,1.0132,0.4346,12.5122,-204.7729,-57.6782
202420.0000,-0.1265,1.0205,0.4131,12.1460,-187.7441,-55.6030
202421.0000,-0.0859,1.0190,0.3809,11.9629,-174.3774,-52.3071
202422.0000,-0.0405,1.0049,0.3135,11.2915,-156.3721,-47.7905
202423.0000,0.0005,0.9839,0.2466,9.5215,-140.7471,-43.4570
202424.0000,0.0635,0.9609,0.2100,6.6528,-122.4976,-39.6118
202425.0000,0.1050,0.9287,0.1987,4.1504,-98.8159,-36.0107
202426.0000,0.1558,0.9204,0.1982,7.4463,-83.2520,-31.7993
202427.0000,0.1973,0.9243,0.1968,2.5024,-64.6362,-30.0903
202428.0000,0.2290,0.9297,0.2017,1.6479,-45.1660,-27.0386
202429.0000,0.2368,0.9341,0.2271,4.5166,-33.0200,-25.1465
202430.0000,0.2671,0.9175,0.2500,3.2959,-19.8364,-24.0479
202431.0000,0.3022,0.8853,0.2759,4.0894,-12.4512,-21.9116
