timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
193170.0000,-0.0879,0.9146,0.4292,4.0283,1.9531,-3.7842
193171.0000,-0.0830,0.9155,0.4272,3.9062,2.3804,-2.7466
193172.0000,-0.0874,0.9146,0.4263,3.3569,1.9531,-2.5024
193173.0000,-0.1011,0.9194,0.4233,3.2959,2.9297,-1.7090
193174.0000,-0.1064,0.9243,0.4233,2.9297,2.1362,-1.8311
193175.0000,-0.1104,0.9263,0.4253,2.0142,0.3052,-1.9531
193176.0000,-0.1099,0.9243,0.4238,1.7090,-1.2207,-1.8921
193177.0000,-0.1074,0.9224,0.4229,1.2207,-0.6104,-2.3804
193178.0000,-0.0986,0.9185,0.4248,0.7935,-2.1362,-2.1973
193179.0000,-0.0938,0.9155,0.4263,0.4272,-1.5869,-1.9531
193180.0000,-0.0830,0.9126,0.4224,0.1221,-3.0518,-2.4414
193181.0000,-0.0850,0.9106,0.4258,0.0000,-3.8452,-2.6245
193182.0000,-0.0840,0.9102,0.4243,0.0610,-2.5635,-2.1362
193183.0000,-0.0850,0.9116,0.4253,0.0610,-0.3662,-2.3804
193184.0000,-0.0781,0.9121,0.4248,0.2441,-0.3662,-1.8921
193185.0000,-0.0869,0.9131,0.4248,0.0000,-0.2441,-2.4414
193186.0000,-0.0820,0.9106,0.4272,0.3052,0.4883,-2.8687
193187.0000,-0.0801,0.9102,0.4282,-0.0610,-0.4883,-2.0142
193188.0000,-0.0752,0.9092,0.4263,-0.0610,-0.9155,-1.8921
193189.0000,-0.0747,0.9087,0.4282,-0.0610,1.4038,-2.0752
193190.0000,-0.0723,0.9067,0.4268,-0.1831,0.1831,-2.7466
193191.0000,-0.0757,0.9053,0.4302,0.2441,1.5869,-2.4414
193192.0000,-0.0723,0.9072,0.4302,0.1221,3.2349,-2.8076
193193.0000,-0.0786,0.9092,0.4302,0.1221,3.6621,-2.6245
193194.0000,-0.0811,0.9102,0.4297,0.3662,3.9062,-2.1973
193195.0000,-0.0811,0.9106,0.4307,0.3662,4.7607,-2.5635
193196.0000,-0.0830,0.9102,0.4326,0.3662,4.1504,-2.1973
193197.0000,-0.0845,0.9106,0.4302,0.5493,5.4932,-2.8076
193198.0000,-0.0796,0.9102,0.4316,0.0610,1.5259,-1.5869
193199.0000,-0.0884,0.9087,0.4292,0.3662,3.6011,-1.9531
193200.0000,-0.0879,0.9053,0.4287,0.4272,4.8218,-1.9531
193201.0000,-0.0898,0.9038,0.4297,0.6104,3.9673,-2.7466
193202.0000,-0.0923,0.9038,0.4287,0.2441,4.9438,-2.4414
193203.0000,-0.0957,0.9062,0.4302,0.2441,4.3335,-2.6855
193204.0000,-0.1001,0.9102,0.4287,0.5493,4.4556,-2.9907
193205.0000,-0.1064,0.9111,0.4277,0.6714,2.0752,-2.6855
193206.0000,-0.1089,0.9087,0.4287,0.8545,5.3711,-3.4180
193207.0000,-0.1162,0.9053,0.4287,1.4038,2.1362,-2.6245
193208.0000,-0.1196,0.9033,0.4272,1.2817,1.8311,-3.4180
193209.0000,-0.1289,0.9009,0.4243,1.5869,1.2207,-3.7231
193210.0000,-0.1240,0.9048,0.4292,1.3428,0.1221,-4.0283
193211.0000,-0.1299,0.9082,0.4258,1.3428,-1.0986,-4.5166
193212.0000,-0.1367,0.9014,0.4292,1.7090,-0.4883,-5.4321
193213.0000,-0.1377,0.8921,0.4243,1.7700,-2.3804,-5.2490
193214.0000,-0.1401,0.8872,0.4263,2.8076,-5.3101,-6.1035
193215.0000,-0.1450,0.8931,0.4258,3.1128,-6.8359,-6.3477
193216.0000,-0.1426,0.9009,0.4253,3.5400,-9.8267,-7.8125
193217.0000,-0.1533,0.9058,0.4282,3.4180,-11.3525,-8.2397
193218.0000,-0.1465,0.9062,0.4263,3.8452,-13.3057,-9.4604
193219.0000,-0.1431,0.9062,0.4243,4.6387,-13.9771,-8.8501
193220.0000,-0.1455,0.9136,0.4263,5.4932,-16.2964,-9.9487
193221.0000,-0.1421,0.9277,0.4297,6.7139,-18.3716,-10.9253
193222.0000,-0.1479,0.9443,0.4341,7.4463,-22.8882,-12.0850
193223.0000,-0.1577,0.9434,0.4336,8.3008,-22.5220,-13.9771
193224.0000,-0.1597,0.9385,0.4346,9.0332,-26.9775,-14.7705
193225.0000,-0.1680,0.9351,0.4336,10.1318,-30.1514,-16.7847
193226.0000,-0.1748,0.9302,0.4336,10.9253,-32.5928,-18.3716
193227.0000,-0.1763,0.9326,0.4282,11.1694,-34.0576,-20.3247
193228.0000,-0.1821,0.9307,0.4297,11.1084,-40.1611,-21.5454
193229.0000,-0.1899,0.9009,0.4253,10.8643,-43.2739,-23.1323
193230.0000,-0.1904,0.8989,0.4204,10.6201,-46.5088,-25.0854
193231.0000,-0.2144,0.9243,0.4204,10.1929,-52.8564,-26.7334
193232.0000,-0.2402,0.9092,0.4126,10.0098,-60.7300,-29.0527
193233.0000,-0.2559,0.8955,0.4043,10.3149,-67.3828,-30.2734
193234.0000,-0.2749,0.8945,0.4004,10.4980,-76.9653,-31.5552
193235.0000,-0.2749,0.9062,0.3970,10.3149,-83.1909,-33.3252
193236.0000,-0.2578,0.9243,0.3940,10.2539,-94.6655,-33.2031
193237.0000,-0.2319,0.9404,0.3887,10.0708,-103.8818,-32.9590
193238.0000,-0.2104,0.9438,0.3809,9.6436,-111.6333,-33.1421
193239.0000,-0.1890,0.9385,0.3765,8.4839,-117.3096,-33.1421
193240.0000,-0.1597,0.9292,0.3789,7.9956,-126.1597,-32.8979
193241.0000,-0.1108,0.9155,0.3799,8.4839,-132.6904,-32.0435
193242.0000,-0.0449,0.9043,0.3813,8.7891,-140.5029,-31.2500
193243.0000,0.0044,0.9116,0.3882,9.7046,-143.5547,-31.3721
193244.0000,0.0244,0.9316,0.3896,10.6201,-145.0806,-29.9683
193245.0000,0.0386,0.9448,0.3901,10.1929,-143.7988,-28.8696
193246.0000,0.0513,0.9414,0.3916,9.1553,-143.9819,-27.4658
193247.0000,0.0684,0.9316,0.3984,7.8735,-142.2729,-25.5127
193248.0000,0.0947,0.9175,0.4150,6.6528,-141.7847,-23.2544
193249.0000,0.1304,0.9092,0.4121,5.5542,-138.3057,-22.0337
193250.0000,0.1685,0.9092,0.4209,5.1880,-135.9863,-21.3013
193251.0000,0.1694,0.9165,0.4248,5.3101,-131.4087,-20.5688
193252.0000,0.1626,0.9263,0.4321,5.4932,-130.1880,-18.9819
193253.0000,0.1421,0.9312,0.4385,5.1270,-122.1924,-18.9209
193254.0000,0.1514,0.9287,0.4385,4.0894,-113.5864,-17.8223
193255.0000,0.1738,0.9219,0.4414,3.0518,-107.4219,-16.5405
193256.0000,0.1914,0.9155,0.4429,2.0142,-99.3042,-15.4419
193257.0000,0.1934,0.9146,0.4482,2.0752,-91.8579,-14.4043
193258.0000,0.1616,0.9160,0.4609,2.5024,-86.9751,-13.3667
193259.0000,0.1196,0.9199,0.4648,2.6855,-79.9561,-12.5122
