timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
338405.0000,-0.1948,0.9775,0.3442,11.9629,-21.2402,-18.0664
338406.0000,-0.1958,0.9717,0.3340,11.1084,-19.8364,-17.3340
338407.0000,-0.1958,0.9639,0.3301,9.7656,-17.7612,-16.6016
338408.0000,-0.1997,0.9604,0.3281,9.0942,-15.8691,-16.1133
338409.0000,-0.2007,0.9575,0.3276,8.5449,-13.6108,-16.2354
338410.0000,-0.2046,0.9492,0.3232,8.2397,-11.2305,-15.2588
338411.0000,-0.2026,0.9458,0.3276,7.8125,-9.1553,-13.9771
338412.0000,-0.1973,0.9517,0.3340,7.3853,-7.2632,-12.2070
338413.0000,-0.1968,0.9551,0.3345,7.2021,-4.7607,-11.1694
338414.0000,-0.1938,0.9653,0.3384,6.4697,-2.7466,-9.8267
338415.0000,-0.1958,0.9619,0.3428,5.7373,-0.1221,-9.2163
338416.0000,-0.1992,0.9604,0.3438,4.9438,1.2817,-8.9722
338417.0000,-0.2095,0.9541,0.3389,4.1504,3.4180,-9.4604
338418.0000,-0.2188,0.9526,0.3379,3.6621,5.0659,-9.6436
338419.0000,-0.2192,0.9458,0.3379,3.2349,6.3477,-10.1929
338420.0000,-0.2310,0.9404,0.3428,2.6855,8.3008,-10.1929
338421.0000,-0.2441,0.9282,0.3428,2.4414,9.2163,-10.0098
338422.0000,-0.2432,0.9268,0.3467,2.2583,10.3149,-8.7891
338423.0000,-0.2544,0.9302,0.3496,2.3193,10.2539,-8.2397
338424.0000,-0.2578,0.9316,0.3530,2.0142,11.1084,-7.5684
338425.0000,-0.2612,0.9380,0.3555,1.5869,10.6812,-7.1411
338426.0000,-0.2695,0.9409,0.3481,1.1597,11.7798,-6.1035
338427.0000,-0.2725,0.9478,0.3521,0.5493,11.5967,-5.0659
338428.0000,-0.2773,0.9429,0.3564,0.1221,11.2305,-3.9062
338429.0000,-0.2783,0.9365,0.3579,-0.7324,12.5732,-3.9673
338430.0000,-0.2739,0.9341,0.3589,-1.1597,11.8408,-4.2725
338431.0000,-0.2754,0.9224,0.3633,-1.3428,11.2305,-4.1504
338432.0000,-0.2773,0.9106,0.3628,-1.5259,10.8643,-3.6621
338433.0000,-0.2754,0.9033,0.3652,-1.0986,10.5591,-3.2959
338434.0000,-0.2842,0.9077,0.3647,-0.9155,11.5967,-2.1973
338435.0000,-0.2910,0.9111,0.3618,-0.3052,10.3149,-0.9766
338436.0000,-0.3018,0.9150,0.3657,0.1221,10.2539,-0.0610
338437.0000,-0.3013,0.9185,0.3647,0.0000,10.4980,1.3428
338438.0000,-0.3110,0.9253,0.3667,-0.1831,10.4370,1.7700
338439.0000,-0.3052,0.9336,0.3608,-0.6714,10.3149,2.3804
338440.0000,-0.2915,0.9297,0.3555,-0.6714,10.7422,2.4414
338441.0000,-0.2920,0.9175,0.3555,-0.7324,11.1694,2.5635
338442.0000,-0.2925,0.9067,0.3579,-0.6104,11.6577,2.5024
338443.0000,-0.2959,0.9014,0.3599,0.1831,10.6812,1.6479
338444.0000,-0.2944,0.9009,0.3545,0.1831,10.4980,0.7935
338445.0000,-0.2900,0.8950,0.3594,0.9155,10.3760,0.6104
338446.0000,-0.2837,0.8936,0.3574,1.4038,10.3149,0.5493
338447.0000,-0.2837,0.8931,0.3516,1.8921,9.7046,0.9766
338448.0000,-0.2729,0.8950,0.3496,2.5635,9.9487,1.4038
338449.0000,-0.2656,0.8950,0.3467,3.2959,10.1929,1.8311
338450.0000,-0.2681,0.8936,0.3525,3.9062,11.1084,2.0752
338451.0000,-0.2725,0.8979,0.3535,4.4556,10.7422,2.0752
338452.0000,-0.2739,0.9043,0.3569,4.6997,10.9253,1.8921
338453.0000,-0.2754,0.9155,0.3535,4.8218,10.8032,1.7090
338454.0000,-0.2778,0.9194,0.3564,4.5776,10.2539,1.8311
338455.0000,-0.2764,0.9292,0.3521,4.3335,11.7798,2.4414
338456.0000,-0.2764,0.9312,0.3530,3.8452,10.1929,3.0518
338457.0000,-0.2705,0.9277,0.3506,3.5400,10.3149,4.1504
338458.0000,-0.2563,0.9224,0.3486,3.1738,10.3760,4.4556
338459.0000,-0.2510,0.9136,0.3472,3.1738,10.5591,4.6997
338460.0000,-0.2500,0.9077,0.3462,3.1738,9.4604,4.2725
338461.0000,-0.2588,0.9004,0.3359,3.2959,9.7656,3.2349
338462.0000,-0.2612,0.8984,0.3418,3.3569,9.7046,2.4414
338463.0000,-0.2627,0.9023,0.3369,3.1738,8.7891,1.5259
338464.0000,-0.2642,0.9058,0.3345,2.8687,8.1787,0.4883
338465.0000,-0.2666,0.9028,0.3335,2.3804,7.7515,-0.1221
338466.0000,-0.2607,0.8989,0.3306,1.7700,6.9580,-0.4272
338467.0000,-0.2534,0.8892,0.3311,1.3428,6.4087,-1.3428
338468.0000,-0.2539,0.8779,0.3267,1.0376,5.5542,-2.0752
338469.0000,-0.2485,0.8706,0.3262,0.7935,4.5166,-3.0518
338470.0000,-0.2417,0.8579,0.3311,0.9766,3.5400,-3.1128
338471.0000,-0.2422,0.8525,0.3374,1.0986,3.0518,-2.5024
338472.0000,-0.2417,0.8394,0.3413,1.1597,2.5024,-2.8076
338473.0000,-0.2378,0.8413,0.3442,0.6714,2.5024,-3.2349
338474.0000,-0.2417,0.8423,0.3408,0.4883,1.4038,-3.6621
338475.0000,-0.2432,0.8335,0.3379,0.4883,0.3662,-3.7231
338476.0000,-0.2505,0.8184,0.3418,0.6104,-1.4648,-2.5635
338477.0000,-0.2485,0.8120,0.3481,0.8545,-2.9907,-1.4038
338478.0000,-0.2588,0.8154,0.3540,1.2817,-5.1270,0.0000
338479.0000,-0.2642,0.8159,0.3608,1.0986,-7.2632,1.5259
338480.0000,-0.2734,0.8120,0.3696,0.7324,-7.9346,2.0142
338481.0000,-0.2715,0.8184,0.3750,0.1221,-9.3384,2.0142
338482.0000,-0.2676,0.8257,0.3848,-0.0610,-10.1318,2.6855
338483.0000,-0.2676,0.8306,0.3867,-0.6714,-11.0474,2.8687
338484.0000,-0.2827,0.8262,0.3862,-0.6104,-12.4512,3.0518
338485.0000,-0.2988,0.8213,0.3950,-0.4883,-14.0991,3.2349
338486.0000,-0.3164,0.8198,0.4009,-1.1597,-15.1367,2.6245
338487.0000,-0.3340,0.8262,0.4033,-1.4648,-16.7236,1.5259
338488.0000,-0.3379,0.8315,0.4023,-1.2207,-19.1040,1.5259
338489.0000,-0.3384,0.8306,0.4004,-1.2817,-21.3013,1.8921
338490.0000,-0.3267,0.8281,0.4028,-0.9766,-22.8882,2.6855
338491.0000,-0.3301,0.8228,0.4058,-0.7324,-24.4751,3.7231
338492.0000,-0.3345,0.8208,0.4014,-0.2441,-26.4282,3.1128
338493.0000,-0.3408,0.8213,0.4028,0.1221,-27.4658,2.8076
338494.0000,-0.3550,0.8296,0.3994,0.2441,-29.0527,1.3428
338495.0000,-0.3574,0.8379,0.3965,0.9155,-31.1279,0.0610
338496.0000,-0.3540,0.8486,0.3984,1.8921,-33.2031,-0.4272
338497.0000,-0.3579,0.8589,0.3989,3.5400,-34.8511,-0.3052
338498.0000,-0.3496,0.8628,0.3960,5.4321,-36.6821,-0.3052
338499.0000,-0.3433,0.8599,0.3970,6.7749,-37.5977,-0.9155
338500.0000,-0.3306,0.8535,0.3975,8.7891,-37.5977,-0.7324
338501.0000,-0.3521,0.8491,0.3945,10.1929,-38.2080,-1.4038
338502.0000,-0.3628,0.8594,0.3960,11.7188,-38.1470,-1.5259
338503.0000,-0.3594,0.8726,0.3975,12.9395,-37.4756,-1.6479
338504.0000,-0.3389,0.8804,0.3960,13.5498,-36.6821,-2.0752
338505.0000,-0.3179,0.8774,0.3892,13.6108,-36.4990,-1.4648
338506.0000,-0.3052,0.8799,0.3926,13.6719,-34.7290,-1.3428
338507.0000,-0.2964,0.8857,0.3926,13.4888,-33.0200,-0.7935
338508.0000,-0.2842,0.8936,0.3906,12.8784,-31.6772,-0.8545
338509.0000,-0.2725,0.9116,0.3892,12.3291,-30.5176,-0.1221
338510.0000,-0.2578,0.9150,0.3892,11.5356,-29.4189,0.3662
338511.0000,-0.2407,0.9233,0.3921,10.8643,-27.1606,0.5493
338512.0000,-0.2271,0.9238,0.3877,9.8267,-26.0620,0.3662
338513.0000,-0.2134,0.9375,0.3862,9.0332,-24.6582,0.3662
338514.0000,-0.2153,0.9478,0.3818,8.4229,-23.1323,-0.7935
338515.0000,-0.2153,0.9585,0.3799,7.8735,-21.3623,-1.0376
338516.0000,-0.2104,0.9639,0.3687,7.9346,-19.5312,-0.1831
338517.0000,-0.2090,0.9644,0.3613,7.3853,-16.9678,0.3662
338518.0000,-0.1948,0.9683,0.3540,6.5918,-15.3809,1.6479
338519.0000,-0.1938,0.9712,0.3486,6.0425,-13.7939,2.3804
338520.0000,-0.2061,0.9653,0.3477,5.1270,-12.3901,2.4414
338521.0000,-0.2080,0.9521,0.3394,4.4556,-11.9019,2.3804
338522.0000,-0.2188,0.9487,0.3315,3.6011,-10.5591,2.3804
338523.0000,-0.2139,0.9517,0.3267,2.7466,-9.5215,2.8076
338524.0000,-0.2065,0.9556,0.3330,1.8311,-7.5684,3.7842
338525.0000,-0.1978,0.9580,0.3389,1.4038,-6.1646,5.4321
338526.0000,-0.2100,0.9561,0.3320,0.9766,-5.6763,7.2632
338527.0000,-0.2378,0.9541,0.3247,1.2207,-5.2490,9.6436
338528.0000,-0.2617,0.9482,0.3120,1.2817,-5.6763,12.0850
338529.0000,-0.2832,0.9414,0.3057,1.5259,-6.1035,12.8784
338530.0000,-0.2734,0.9375,0.2939,1.8921,-5.9814,13.3057
338531.0000,-0.2749,0.9268,0.2803,2.0142,-5.1880,13.6719
338532.0000,-0.2764,0.9077,0.2822,1.7090,-5.3101,14.2822
338533.0000,-0.2808,0.8882,0.2861,1.2817,-5.8594,13.6108
338534.0000,-0.2754,0.8735,0.2915,1.0376,-6.0425,13.3667
338535.0000,-0.2612,0.8638,0.2988,1.3428,-5.9814,13.1836
338536.0000,-0.2720,0.8623,0.3022,1.7700,-6.4087,14.3433
338537.0000,-0.2656,0.8481,0.3032,2.5024,-5.9814,15.2588
338538.0000,-0.2607,0.8320,0.3032,3.2349,-5.7373,15.4419
338539.0000,-0.2773,0.8301,0.2993,3.4790,-6.2256,15.7471
338540.0000,-0.2764,0.8423,0.3037,3.8452,-4.8828,14.9536
338541.0000,-0.2476,0.8662,0.3101,3.2959,-4.3335,13.7939
338542.0000,-0.2114,0.8613,0.3062,2.5635,-4.9438,12.3291
338543.0000,-0.2021,0.8462,0.3115,1.5869,-5.1880,12.6343
338544.0000,-0.2368,0.8296,0.3267,1.0376,-4.8218,14.2822
338545.0000,-0.2627,0.8086,0.3335,0.7935,-2.8076,16.3574
338546.0000,-0.2954,0.7983,0.3350,1.5259,-1.3428,17.0898
338547.0000,-0.3179,0.7749,0.3374,2.8076,1.0376,15.5640
338548.0000,-0.2944,0.7700,0.3364,4.2725,2.0752,12.3291
338549.0000,-0.2480,0.7925,0.3413,5.0659,3.0518,9.2163
338550.0000,-0.2119,0.8247,0.3462,5.0659,3.2349,5.7983
338551.0000,-0.2100,0.8589,0.3467,4.4556,2.6855,4.3335
338552.0000,-0.2451,0.8760,0.3452,3.8452,1.5869,4.2725
338553.0000,-0.2788,0.8877,0.3506,4.0283,1.3428,7.5073
338554.0000,-0.3076,0.8848,0.3545,4.4556,1.5259,10.3760
338555.0000,-0.3101,0.8745,0.3574,5.1880,3.6011,11.7188
338556.0000,-0.2861,0.8721,0.3745,6.5308,5.6763,11.5967
338557.0000,-0.2314,0.8579,0.3892,6.6528,6.8970,9.6436
338558.0000,-0.1753,0.8604,0.4033,6.2256,7.5684,6.3477
338559.0000,-0.1353,0.8901,0.4097,3.6011,7.5073,2.3193
338560.0000,-0.0913,0.9175,0.4150,1.3428,5.8594,-2.0142
338561.0000,-0.0854,0.9478,0.4111,-1.8921,3.1738,-5.1270
338562.0000,-0.1240,0.9521,0.3916,-4.0283,0.7935,-7.0801
338563.0000,-0.1689,0.9570,0.3633,-4.1504,-0.3052,-7.6294
338564.0000,-0.2168,0.9561,0.3457,-3.4790,-0.1831,-7.6294
338565.0000,-0.2314,0.9399,0.3403,-1.8921,0.3662,-6.8359
338566.0000,-0.2192,0.9365,0.3501,-0.1221,2.1362,-7.2021
338567.0000,-0.1968,0.9561,0.3438,1.7090,4.8828,-9.2163
338568.0000,-0.1748,1.0029,0.3374,2.0142,5.9204,-12.1460
338569.0000,-0.1440,1.0913,0.3223,2.0752,5.6763,-15.8081
338570.0000,-0.1318,1.1753,0.3125,1.4648,4.5166,-20.2026
338571.0000,-0.1377,1.2227,0.3032,0.1831,3.9673,-22.2778
338572.0000,-0.1558,1.2251,0.2974,-0.2441,3.3569,-23.1323
