timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
125685.0000,-0.2573,0.9980,0.2754,-1.3428,0.4272,0.0610
125686.0000,-0.2549,0.9912,0.2852,-2.1362,0.3662,-0.3662
125687.0000,-0.2524,0.9888,0.2822,-2.3193,0.4883,-0.6104
125688.0000,-0.2544,0.9902,0.2866,-2.7466,0.5493,-0.7324
125689.0000,-0.2578,0.9863,0.2861,-3.6011,0.6104,-0.6104
125690.0000,-0.2583,0.9863,0.2861,-3.7842,0.6714,-0.5493
125691.0000,-0.2607,0.9854,0.2847,-4.8828,0.6714,-0.4272
125692.0000,-0.2627,0.9824,0.2944,-4.9438,0.6714,-0.3052
125693.0000,-0.2642,0.9741,0.2988,-4.8218,0.4272,-0.2441
125694.0000,-0.2607,0.9731,0.3042,-5.1270,0.2441,-0.3052
125695.0000,-0.2563,0.9731,0.3037,-5.4321,0.1831,-0.2441
125696.0000,-0.2568,0.9731,0.3081,-5.6152,0.4272,-0.1831
125697.0000,-0.2544,0.9688,0.3096,-6.0425,0.4883,-0.2441
125698.0000,-0.2603,0.9663,0.3140,-5.7983,0.7324,-0.1221
125699.0000,-0.2598,0.9673,0.3154,-6.2256,0.8545,-0.1221
125700.0000,-0.2627,0.9683,0.3145,-5.5542,0.7324,0.0000
125701.0000,-0.2607,0.9639,0.3159,-5.9814,0.7324,0.0610
125702.0000,-0.2578,0.9639,0.3223,-6.4697,0.8545,-0.0610
125703.0000,-0.2598,0.9565,0.3252,-6.0425,0.9155,-0.0610
125704.0000,-0.2568,0.9521,0.3281,-6.1646,1.0986,-0.1221
125705.0000,-0.2559,0.9575,0.3291,-6.0425,1.0986,-0.3052
125706.0000,-0.2554,0.9644,0.3335,-6.4697,1.1597,-0.5493
125707.0000,-0.2603,0.9688,0.3306,-6.0425,1.3428,-0.8545
125708.0000,-0.2656,0.9692,0.3301,-5.5542,1.4038,-0.9155
125709.0000,-0.2661,0.9683,0.3315,-5.5542,1.4648,-0.9766
125710.0000,-0.2676,0.9644,0.3369,-4.3945,1.3428,-0.9155
125711.0000,-0.2651,0.9644,0.3330,-4.5776,1.2207,-0.9766
125712.0000,-0.2632,0.9678,0.3340,-4.0283,1.0986,-0.9155
125713.0000,-0.2612,0.9692,0.3296,-3.8452,0.8545,-0.8545
125714.0000,-0.2578,0.9678,0.3350,-3.6621,0.8545,-0.9766
125715.0000,-0.2578,0.9673,0.3291,-3.4180,0.9155,-0.9766
125716.0000,-0.2559,0.9692,0.3350,-3.6011,1.0376,-1.2817
125717.0000,-0.2588,0.9717,0.3301,-4.2114,1.3428,-1.4038
125718.0000,-0.2632,0.9761,0.3306,-3.1738,1.4038,-1.7090
125719.0000,-0.2642,0.9766,0.3291,-3.4180,1.7090,-1.8921
125720.0000,-0.2671,0.9854,0.3330,-3.6011,1.8311,-2.1362
125721.0000,-0.2646,0.9912,0.3276,-3.8452,1.8311,-2.1973
125722.0000,-0.2646,0.9858,0.3286,-3.7231,1.8311,-2.1362
125723.0000,-0.2612,0.9883,0.3242,-3.4180,1.7700,-2.0752
125724.0000,-0.2593,0.9902,0.3247,-3.4180,1.7700,-2.0752
125725.0000,-0.2573,0.9824,0.3286,-3.8452,1.7700,-2.0752
125726.0000,-0.2603,0.9849,0.3291,-3.6621,2.0142,-2.1973
125727.0000,-0.2598,0.9883,0.3340,-4.5776,2.1362,-2.1973
125728.0000,-0.2642,0.9883,0.3267,-4.2114,2.3804,-2.2583
