timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
133125.0000,-0.2207,0.9253,0.2646,-1.7090,1.0376,-3.6621
133126.0000,-0.2192,0.9204,0.2656,-1.8311,1.1597,-3.6011
133127.0000,-0.2202,0.9282,0.2695,-3.1738,0.9766,-3.4790
133128.0000,-0.2183,0.9336,0.2773,-2.8076,1.0376,-3.2349
133129.0000,-0.2207,0.9346,0.2773,-3.5400,1.3428,-3.2349
133130.0000,-0.2227,0.9292,0.2808,-3.3569,1.4648,-3.1128
133131.0000,-0.2261,0.9321,0.2822,-4.3945,1.4038,-3.1738
133132.0000,-0.2236,0.9272,0.2808,-4.5776,1.4038,-3.1128
133133.0000,-0.2227,0.9224,0.2788,-5.0659,1.4648,-3.0518
133134.0000,-0.2227,0.9233,0.2793,-5.7983,2.0142,-3.0518
133135.0000,-0.2231,0.9185,0.2812,-5.7983,1.9531,-2.7466
133136.0000,-0.2266,0.9180,0.2876,-4.5776,2.1362,-2.6245
133137.0000,-0.2227,0.9185,0.2881,-6.1646,2.3804,-2.3804
133138.0000,-0.2222,0.9175,0.2837,-5.1880,2.4414,-2.0752
133139.0000,-0.2246,0.9160,0.2930,-5.0049,2.6245,-1.9531
133140.0000,-0.2261,0.9175,0.2886,-5.4932,2.8076,-1.7700
133141.0000,-0.2266,0.9150,0.2925,-5.7373,2.7466,-1.7090
133142.0000,-0.2246,0.9175,0.2881,-5.0659,2.9297,-1.5869
133143.0000,-0.2275,0.9141,0.2881,-6.6528,2.6855,-1.4648
133144.0000,-0.2280,0.9253,0.2944,-7.2021,2.5635,-1.4648
133145.0000,-0.2271,0.9248,0.2959,-7.5073,2.6245,-1.2207
133146.0000,-0.2285,0.9272,0.2915,-7.1411,2.3804,-1.4038
133147.0000,-0.2295,0.9297,0.2876,-7.8735,2.3193,-1.4038
133148.0000,-0.2300,0.9282,0.2910,-9.0332,2.1973,-1.2817
133149.0000,-0.2246,0.9346,0.2842,-10.7422,2.3193,-1.4648
133150.0000,-0.2241,0.9341,0.2783,-13.0005,2.5635,-1.4038
133151.0000,-0.2231,0.9395,0.2725,-15.9912,2.6245,-1.5869
133152.0000,-0.2227,0.9468,0.2705,-18.4937,2.6855,-2.0752
133153.0000,-0.2246,0.9526,0.2622,-21.7285,2.8076,-2.2583
133154.0000,-0.2305,0.9634,0.2617,-24.2310,2.5635,-2.5635
133155.0000,-0.2329,0.9722,0.2534,-27.8931,2.1973,-2.9297
133156.0000,-0.2373,0.9727,0.2534,-31.4331,1.7090,-3.2349
133157.0000,-0.2368,0.9736,0.2510,-34.7900,1.3428,-3.4790
133158.0000,-0.2324,0.9731,0.2466,-39.4287,1.2817,-4.0894
133159.0000,-0.2275,0.9810,0.2451,-42.9688,1.3428,-4.5166
133160.0000,-0.2227,0.9849,0.2461,-48.5229,1.3428,-5.1880
133161.0000,-0.2261,0.9878,0.2446,-50.9033,1.2817,-5.8594
133162.0000,-0.2295,0.9888,0.2520,-55.5420,1.0986,-6.2866
133163.0000,-0.2344,0.9907,0.2603,-58.6548,0.6714,-6.5918
133164.0000,-0.2319,0.9956,0.2583,-61.5234,0.4883,-7.0801
133165.0000,-0.2275,0.9897,0.2686,-63.9038,0.7324,-7.3853
133166.0000,-0.2285,0.9790,0.2798,-67.0776,0.6714,-7.4463
133167.0000,-0.2241,0.9639,0.2852,-69.1528,0.6104,-7.2021
133168.0000,-0.2256,0.9585,0.2925,-71.8994,0.4272,-7.2021
133169.0000,-0.2285,0.9531,0.3027,-74.2188,0.3052,-6.9580
133170.0000,-0.2314,0.9497,0.3057,-76.2329,-0.1221,-6.7749
133171.0000,-0.2314,0.9385,0.3154,-79.1626,0.0610,-6.7139
133172.0000,-0.2305,0.9380,0.3193,-80.1392,0.0610,-6.4697
133173.0000,-0.2300,0.9380,0.3330,-82.8857,0.3052,-5.6763
133174.0000,-0.2305,0.9268,0.3398,-84.2896,0.6104,-4.8218
133175.0000,-0.2324,0.9170,0.3545,-86.3037,0.3662,-3.6621
133176.0000,-0.2368,0.9165,0.3652,-87.0972,0.4272,-1.9531
133177.0000,-0.2393,0.9077,0.3657,-88.1348,0.7935,0.0610
133178.0000,-0.2344,0.8994,0.3877,-89.8438,1.0986,2.0142
133179.0000,-0.2300,0.8882,0.3975,-91.3696,1.7700,4.3945
133180.0000,-0.2271,0.8838,0.4160,-92.5293,2.6245,6.9580
133181.0000,-0.2261,0.8765,0.4297,-93.3838,3.7842,8.9111
133182.0000,-0.2241,0.8701,0.4399,-93.6890,4.6387,10.6812
133183.0000,-0.2295,0.8701,0.4565,-94.4214,5.1270,11.9019
133184.0000,-0.2402,0.8599,0.4644,-94.2383,5.3711,12.6953
133185.0000,-0.2539,0.8535,0.4800,-95.4590,5.4932,13.0005
133186.0000,-0.2510,0.8394,0.4980,-95.0928,5.9814,13.0615
133187.0000,-0.2437,0.8340,0.5186,-96.5576,6.4697,12.6953
133188.0000,-0.2334,0.8247,0.5332,-96.5576,7.8125,12.0239
133189.0000,-0.2212,0.8188,0.5610,-96.3745,9.4604,10.8643
133190.0000,-0.2104,0.8066,0.5713,-96.6797,10.1929,9.9487
133191.0000,-0.2173,0.8037,0.5791,-97.4121,10.5591,8.9722
