timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
139757.0000,-0.2178,1.0000,0.2832,-19.2261,1.5259,-1.4038
139758.0000,-0.2188,1.0000,0.2793,-19.8975,0.9766,-1.2817
139759.0000,-0.2168,1.0068,0.2832,-22.5220,0.7324,-1.3428
139760.0000,-0.2153,1.0068,0.2847,-22.2778,0.3662,-1.4038
139761.0000,-0.2144,1.0132,0.2798,-24.0479,0.2441,-1.8921
139762.0000,-0.2134,1.0127,0.2788,-24.9023,-0.3662,-2.1973
139763.0000,-0.2139,1.0225,0.2788,-27.7710,-0.6714,-2.8076
139764.0000,-0.2114,1.0190,0.2837,-30.8228,-1.0376,-3.2349
139765.0000,-0.2109,1.0195,0.2817,-32.1045,-1.2207,-3.5400
139766.0000,-0.2090,1.0317,0.2798,-35.2173,-1.1597,-3.7231
139767.0000,-0.2065,1.0234,0.2793,-39.0625,-1.4038,-3.2349
139768.0000,-0.2153,1.0220,0.2847,-38.5132,-1.5259,-2.9907
139769.0000,-0.2100,1.0200,0.2905,-41.4429,-1.4038,-2.7466
139770.0000,-0.2104,1.0127,0.2925,-45.3491,-1.8311,-3.2349
139771.0000,-0.2134,1.0127,0.2969,-47.5464,-2.1362,-3.4180
139772.0000,-0.2104,1.0156,0.3091,-50.7202,-2.0142,-3.4180
139773.0000,-0.2148,1.0078,0.3110,-53.7109,-1.7090,-3.4790
139774.0000,-0.2144,1.0049,0.3135,-54.4434,-2.1973,-3.5400
139775.0000,-0.2158,0.9907,0.3149,-59.7534,-2.5024,-3.6621
139776.0000,-0.2168,0.9873,0.3223,-60.9131,-3.1128,-3.9062
139777.0000,-0.2217,0.9849,0.3218,-64.8804,-3.4180,-4.1504
139778.0000,-0.2144,0.9805,0.3311,-67.2607,-3.8452,-4.0283
139779.0000,-0.2256,0.9819,0.3398,-69.9463,-4.2725,-4.0894
139780.0000,-0.2300,0.9873,0.3486,-75.7446,-5.1880,-4.3945
139781.0000,-0.2246,0.9810,0.3628,-81.1768,-5.9814,-5.0659
139782.0000,-0.2085,0.9800,0.3770,-86.6699,-7.3242,-5.6763
139783.0000,-0.1943,0.9717,0.3994,-90.4541,-8.0566,-6.3477
139784.0000,-0.1797,0.9717,0.4243,-95.1538,-8.6670,-7.3242
139785.0000,-0.1714,0.9722,0.4375,-100.2808,-8.3008,-7.5684
139786.0000,-0.1704,0.9775,0.4585,-102.9663,-7.0190,-7.2632
139787.0000,-0.1772,0.9985,0.4800,-106.7505,-5.8594,-6.9580
139788.0000,-0.1895,1.0063,0.4951,-108.8867,-3.6011,-7.0801
139789.0000,-0.2065,1.0034,0.5298,-110.3516,-2.0752,-8.0566
139790.0000,-0.2104,0.9980,0.5537,-112.3047,-0.6714,-8.6060
139791.0000,-0.2017,0.9790,0.5830,-110.8398,-0.9766,-9.7046
139792.0000,-0.1938,0.9731,0.6006,-110.4736,-0.9155,-10.0708
139793.0000,-0.1865,0.9629,0.6230,-109.8022,-0.4883,-10.2539
139794.0000,-0.1875,0.9502,0.6406,-107.2388,0.0610,-10.3149
139795.0000,-0.2002,0.9238,0.6567,-105.8960,0.7324,-9.6436
139796.0000,-0.2119,0.8940,0.6860,-104.6753,1.8921,-8.3618
139797.0000,-0.2241,0.8696,0.7188,-100.7080,2.8687,-7.0801
139798.0000,-0.2363,0.8569,0.7451,-97.7173,3.4790,-5.3101
139799.0000,-0.2485,0.8398,0.7671,-92.3462,3.9062,-3.4790
139800.0000,-0.2642,0.7891,0.7783,-86.4868,4.0894,-1.8311
139801.0000,-0.2720,0.7402,0.7871,-78.7354,4.5166,-0.6104
139802.0000,-0.2671,0.7012,0.8042,-70.0684,4.0283,0.5493
139803.0000,-0.2539,0.6797,0.8208,-63.0493,3.5400,1.4038
139804.0000,-0.2358,0.6626,0.8262,-55.4810,2.0142,1.5259
139805.0000,-0.2266,0.6328,0.8208,-50.1099,0.6714,1.2817
139806.0000,-0.2212,0.6089,0.8364,-45.8374,-0.3662,0.9155
139807.0000,-0.2197,0.5605,0.8433,-40.1611,-1.1597,0.3662
139808.0000,-0.2241,0.4990,0.8408,-35.7056,-1.2817,-0.2441
139809.0000,-0.2290,0.4463,0.8462,-30.7617,-0.9155,-0.7935
139810.0000,-0.2349,0.4067,0.8413,-24.7803,-0.1831,-1.5259
139811.0000,-0.2393,0.3970,0.8457,-20.6299,0.2441,-2.3804
139812.0000,-0.2373,0.4185,0.8462,-17.2119,0.4272,-3.1128
139813.0000,-0.2349,0.4395,0.8472,-15.5640,0.8545,-3.6011
139814.0000,-0.2354,0.4541,0.8491,-12.3291,0.6104,-3.7231
139815.0000,-0.2324,0.4492,0.8467,-9.8267,0.3052,-3.6011
139816.0000,-0.2334,0.4443,0.8530,-7.3853,0.4272,-3.5400
139817.0000,-0.2319,0.4512,0.8438,-4.8828,-0.2441,-3.4790
139818.0000,-0.2305,0.4722,0.8403,-3.3569,-0.4272,-3.4790
139819.0000,-0.2231,0.4897,0.8477,1.7090,-0.7935,-3.3569
139820.0000,-0.2148,0.4971,0.8481,1.8921,-0.9155,-2.8687
139821.0000,-0.2075,0.4951,0.8521,5.1270,-0.7324,-2.2583
139822.0000,-0.2158,0.4785,0.8569,8.5449,-0.9155,-1.4038
139823.0000,-0.2227,0.4731,0.8579,13.3667,-0.7935,-0.3662
139824.0000,-0.2300,0.4878,0.8599,19.7754,-0.7324,0.3052
139825.0000,-0.2290,0.4819,0.8608,25.6958,-0.1831,1.3428
139826.0000,-0.2183,0.4648,0.8687,31.3110,0.5493,1.9531
139827.0000,-0.2168,0.4297,0.8584,37.9639,1.0986,2.6855
139828.0000,-0.2197,0.3989,0.8560,45.7153,1.7700,3.3569
139829.0000,-0.2285,0.3862,0.8623,50.4150,2.1362,3.9673
139830.0000,-0.2397,0.3867,0.8584,57.0068,2.5635,4.7607
139831.0000,-0.2456,0.3877,0.8428,64.5142,3.7231,4.9438
139832.0000,-0.2446,0.4004,0.8247,69.5801,4.4556,5.6763
139833.0000,-0.2334,0.4033,0.8169,73.4253,5.2490,5.9204
139834.0000,-0.2134,0.4253,0.8003,78.0029,5.3101,6.2866
139835.0000,-0.1914,0.4673,0.7837,81.6040,5.5542,7.0801
139836.0000,-0.1880,0.5088,0.7749,84.7168,5.1880,7.9956
139837.0000,-0.2007,0.5293,0.7432,88.4399,4.8828,8.1177
139838.0000,-0.2148,0.5425,0.7202,92.4072,5.2490,8.2397
139839.0000,-0.2339,0.5596,0.7026,93.6890,6.3477,7.8735
139840.0000,-0.2383,0.5879,0.6733,96.9849,7.7515,7.0801
139841.0000,-0.2295,0.6436,0.6646,96.1914,9.0942,6.3477
139842.0000,-0.2173,0.6929,0.6362,94.7876,9.8877,5.7983
139843.0000,-0.2041,0.7261,0.6230,95.2148,9.9487,5.3101
139844.0000,-0.1982,0.7324,0.6084,93.0176,9.6436,5.1880
139845.0000,-0.1987,0.7173,0.5952,94.1772,8.8501,4.9438
139846.0000,-0.2007,0.7490,0.5781,94.6045,7.9956,4.6387
139847.0000,-0.2080,0.8540,0.5518,92.2241,7.8125,4.2725
139848.0000,-0.2163,0.9155,0.5347,88.7451,8.2397,4.0283
139849.0000,-0.2153,0.8838,0.5249,85.4492,8.6670,3.4790
139850.0000,-0.2017,0.8350,0.5186,80.4443,8.6670,3.0518
139851.0000,-0.1885,0.8643,0.5220,78.4302,8.8501,2.3193
139852.0000,-0.1855,0.9375,0.4980,76.9043,8.6670,0.6714
139853.0000,-0.2041,0.9487,0.4858,75.5005,8.0566,-0.9155
139854.0000,-0.2354,0.9160,0.4673,70.0073,7.5684,-2.3193
139855.0000,-0.2456,0.8940,0.4526,66.7114,7.1411,-2.5635
139856.0000,-0.2354,0.8901,0.4399,62.9272,7.8735,-2.7466
139857.0000,-0.2075,0.9189,0.4282,60.8521,8.6060,-2.5024
139858.0000,-0.2109,0.9336,0.4180,61.0352,8.4839,-2.0142
139859.0000,-0.2266,0.9463,0.4126,60.8521,7.5684,-1.7090
139860.0000,-0.2417,0.9399,0.3970,57.5562,6.3477,-0.9766
139861.0000,-0.2534,0.9258,0.3867,55.3589,5.8594,-0.1831
139862.0000,-0.2441,0.9121,0.3774,53.0396,6.4087,0.8545
139863.0000,-0.2251,0.8955,0.3740,50.9644,6.0425,1.1597
139864.0000,-0.2114,0.9062,0.3633,48.8281,5.5542,1.2207
139865.0000,-0.2139,0.9126,0.3672,45.4712,4.2725,0.9766
139866.0000,-0.2290,0.9263,0.3657,44.6777,3.2349,0.7935
139867.0000,-0.2417,0.9292,0.3560,42.6025,3.1738,0.2441
139868.0000,-0.2466,0.9180,0.3540,43.5791,3.6011,-0.2441
139869.0000,-0.2349,0.9165,0.3511,42.4194,4.0283,-0.8545
139870.0000,-0.2246,0.9082,0.3501,38.9404,4.0894,-1.4648
139871.0000,-0.2119,0.9141,0.3516,39.3066,3.4180,-2.5635
139872.0000,-0.2212,0.9194,0.3491,36.2549,2.3804,-2.9297
139873.0000,-0.2261,0.9321,0.3467,37.0483,1.1597,-3.7231
139874.0000,-0.2285,0.9438,0.3364,36.1938,0.9155,-3.8452
139875.0000,-0.2285,0.9468,0.3452,35.1562,0.4272,-4.1504
139876.0000,-0.2222,0.9512,0.3467,35.5225,0.3662,-3.7842
139877.0000,-0.2153,0.9634,0.3413,33.9966,-0.3052,-3.9673
139878.0000,-0.2163,0.9731,0.3364,33.0200,-0.9766,-4.0283
139879.0000,-0.2153,0.9756,0.3340,33.3862,-2.0142,-4.0283
139880.0000,-0.2163,0.9736,0.3301,33.0200,-3.1128,-4.3335
139881.0000,-0.2119,0.9648,0.3271,31.8604,-3.8452,-4.5166
139882.0000,-0.2139,0.9648,0.3242,30.4565,-4.0283,-4.3945
139883.0000,-0.2158,0.9780,0.3188,30.3955,-4.4556,-4.5166
139884.0000,-0.2207,0.9849,0.3149,29.2969,-4.5776,-4.3335
139885.0000,-0.2241,0.9888,0.3169,28.7476,-4.4556,-3.9673
139886.0000,-0.2251,0.9980,0.3115,27.7710,-4.5166,-3.9062
139887.0000,-0.2178,0.9922,0.3062,26.8555,-3.7842,-3.8452
139888.0000,-0.2148,0.9873,0.3198,24.9023,-3.8452,-3.4790
139889.0000,-0.2139,0.9731,0.3091,24.4751,-4.1504,-3.1738
139890.0000,-0.2056,0.9624,0.3086,23.4985,-3.9673,-2.9297
139891.0000,-0.2085,0.9609,0.3003,23.0713,-3.6621,-2.6855
139892.0000,-0.2134,0.9624,0.2974,22.8882,-3.7231,-2.5635
139893.0000,-0.2119,0.9648,0.2988,22.1558,-2.8687,-2.3193
139894.0000,-0.2134,0.9653,0.2915,20.6299,-2.5024,-1.9531
139895.0000,-0.2002,0.9736,0.2881,19.1650,-2.0142,-1.6479
139896.0000,-0.1934,0.9756,0.2954,18.2495,-1.8921,-1.5259
139897.0000,-0.1958,0.9756,0.2778,17.9443,-1.8311,-1.2817
139898.0000,-0.1987,0.9819,0.2808,15.6250,-1.8921,-0.9766
139899.0000,-0.2061,0.9814,0.2759,15.8081,-1.5259,-0.7324
139900.0000,-0.2056,0.9839,0.2852,15.4419,-0.8545,-0.6104
139901.0000,-0.2026,0.9868,0.2773,14.5874,-0.1221,-0.7324
139902.0000,-0.2061,0.9819,0.2720,15.1367,0.1831,-0.6714
139903.0000,-0.2085,0.9844,0.2686,14.0991,0.6104,-0.9155
139904.0000,-0.2139,0.9873,0.2632,16.4185,0.8545,-1.0986
