timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
130806.0000,-0.2183,0.9844,0.1968,-1.0376,0.8545,0.7324
130807.0000,-0.2178,0.9858,0.2026,-0.2441,1.0986,0.7935
130808.0000,-0.2173,0.9971,0.1953,-1.8921,1.2207,0.8545
130809.0000,-0.2178,0.9995,0.1953,-2.5024,1.2817,0.8545
130810.0000,-0.2168,1.0073,0.1899,-2.1973,1.4648,0.7935
130811.0000,-0.2153,1.0073,0.1914,-3.3569,1.5259,0.5493
130812.0000,-0.2134,1.0034,0.1909,-3.7842,1.6479,0.4883
130813.0000,-0.2148,0.9980,0.1890,-4.0283,1.9531,0.1831
130814.0000,-0.2139,0.9941,0.1968,-5.6763,1.9531,0.2441
130815.0000,-0.2134,1.0073,0.1929,-5.4321,2.3804,0.2441
130816.0000,-0.2119,1.0117,0.1895,-6.2866,2.6245,0.1221
130817.0000,-0.2095,1.0103,0.1865,-7.1411,2.8687,0.1221
130818.0000,-0.2100,1.0210,0.1895,-7.6904,3.1128,0.3052
130819.0000,-0.2144,1.0205,0.1855,-8.7280,3.1128,0.0610
130820.0000,-0.2178,1.0239,0.1860,-9.8877,2.6855,0.0610
130821.0000,-0.2231,1.0312,0.1909,-11.0474,1.7090,0.0000
130822.0000,-0.2354,1.0327,0.1880,-12.2070,0.3662,0.0610
130823.0000,-0.2466,1.0317,0.1899,-14.8926,-0.8545,-0.0000
130824.0000,-0.2544,1.0371,0.1938,-15.8691,-1.8921,-0.0000
130825.0000,-0.2544,1.0361,0.1919,-17.4561,-2.8076,0.1831
130826.0000,-0.2505,1.0361,0.1948,-17.8223,-3.6011,0.3662
130827.0000,-0.2456,1.0356,0.1919,-20.4468,-4.4556,0.4883
130828.0000,-0.2422,1.0342,0.1948,-22.5220,-4.9438,0.4883
130829.0000,-0.2388,1.0386,0.2002,-23.8037,-5.4932,0.3052
130830.0000,-0.2378,1.0366,0.1982,-24.8413,-5.6152,0.1831
130831.0000,-0.2334,1.0278,0.2061,-27.0996,-5.4932,-0.3052
130832.0000,-0.2275,1.0234,0.2090,-28.1982,-5.4321,-0.7324
130833.0000,-0.2231,1.0171,0.2139,-30.4565,-5.0049,-1.0986
130834.0000,-0.2153,1.0088,0.2173,-32.8979,-4.3945,-1.1597
130835.0000,-0.2104,0.9927,0.2222,-36.0107,-3.4790,-1.2817
130836.0000,-0.2051,0.9795,0.2192,-37.1704,-2.3193,-1.3428
130837.0000,-0.1997,0.9756,0.2236,-39.4897,-1.6479,-1.2817
130838.0000,-0.1934,0.9741,0.2437,-41.8091,-1.0376,-1.0986
130839.0000,-0.1890,0.9692,0.2500,-43.2739,-0.6104,-0.9155
130840.0000,-0.1875,0.9639,0.2617,-46.2036,-0.3662,-0.7935
130841.0000,-0.1865,0.9590,0.2720,-49.0723,0.2441,-0.4883
130842.0000,-0.1865,0.9482,0.2856,-49.6216,0.9155,-0.4272
130843.0000,-0.1914,0.9385,0.2876,-51.5137,1.7090,-0.2441
130844.0000,-0.1968,0.9263,0.3032,-52.8564,2.0752,-0.1221
130845.0000,-0.1963,0.9277,0.3071,-54.5044,2.5635,-0.1221
130846.0000,-0.1987,0.9365,0.3228,-55.1758,2.7466,-0.1221
130847.0000,-0.1958,0.9419,0.3364,-57.1289,2.1973,-0.1831
130848.0000,-0.1904,0.9395,0.3457,-57.2510,1.1597,-0.4272
130849.0000,-0.1890,0.9302,0.3550,-58.1055,0.9155,-0.9766
130850.0000,-0.1904,0.9229,0.3672,-58.7769,1.1597,-1.5259
130851.0000,-0.1973,0.9185,0.3813,-59.2651,0.9766,-2.2583
130852.0000,-0.2007,0.9175,0.3887,-59.2651,0.3052,-2.8687
130853.0000,-0.2109,0.9165,0.3965,-60.0586,-0.4883,-2.8687
130854.0000,-0.2197,0.9058,0.4043,-60.3027,-1.5259,-2.5635
130855.0000,-0.2246,0.8960,0.4155,-60.7300,-1.8921,-1.8921
130856.0000,-0.2266,0.8828,0.4214,-60.1196,-2.3193,-1.3428
130857.0000,-0.2217,0.8765,0.4224,-61.0352,-2.7466,-0.7935
130858.0000,-0.2192,0.8628,0.4321,-61.7676,-3.1128,-0.4883
130859.0000,-0.2207,0.8452,0.4365,-63.2324,-3.1738,-0.0610
130860.0000,-0.2295,0.8223,0.4536,-63.7207,-2.8076,0.4272
130861.0000,-0.2397,0.8091,0.4609,-65.0024,-2.1973,1.0376
130862.0000,-0.2422,0.8018,0.4731,-65.5518,-1.7090,1.5259
130863.0000,-0.2397,0.7983,0.4834,-65.9790,-1.0986,2.0752
130864.0000,-0.2349,0.7886,0.4961,-67.2607,0.2441,2.6855
130865.0000,-0.2295,0.7759,0.5000,-68.2373,1.8921,3.5400
130866.0000,-0.2266,0.7642,0.5190,-69.5801,3.6621,4.4556
130867.0000,-0.2241,0.7432,0.5264,-69.7632,5.1880,5.3711
