timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
147844.0000,-0.2715,0.9380,0.3726,-15.0146,-0.9766,-3.7231
147845.0000,-0.2700,0.9385,0.3784,-14.5874,-1.4648,-3.5400
147846.0000,-0.2666,0.9458,0.3721,-14.4043,-1.8921,-3.4790
147847.0000,-0.2690,0.9473,0.3770,-14.0991,-2.1973,-3.5400
147848.0000,-0.2695,0.9419,0.3711,-14.0381,-2.8076,-3.3569
147849.0000,-0.2686,0.9360,0.3813,-14.1602,-3.2959,-3.1738
147850.0000,-0.2676,0.9326,0.3770,-13.6719,-3.9673,-3.2349
147851.0000,-0.2632,0.9341,0.3838,-13.3057,-4.4556,-3.1738
147852.0000,-0.2617,0.9380,0.3872,-12.5732,-4.6387,-3.1738
147853.0000,-0.2583,0.9404,0.3809,-12.2681,-4.6387,-3.2349
147854.0000,-0.2578,0.9419,0.3828,-11.8408,-4.6997,-3.3569
147855.0000,-0.2563,0.9424,0.3921,-11.5356,-4.9438,-3.2959
147856.0000,-0.2568,0.9424,0.4072,-12.2681,-4.8218,-3.6011
147857.0000,-0.2515,0.9414,0.4175,-11.6577,-4.6387,-3.7842
147858.0000,-0.2554,0.9351,0.4229,-11.4746,-4.3945,-3.8452
147859.0000,-0.2563,0.9297,0.4248,-11.4136,-4.3945,-3.9062
147860.0000,-0.2583,0.9209,0.4253,-11.0474,-4.0894,-4.0283
147861.0000,-0.2588,0.9106,0.4336,-9.7656,-3.9062,-4.0894
147862.0000,-0.2603,0.9038,0.4312,-9.6436,-3.7231,-4.0894
147863.0000,-0.2632,0.9038,0.4414,-8.0566,-3.5400,-3.6621
147864.0000,-0.2646,0.9033,0.4375,-6.5918,-3.2959,-3.4180
147865.0000,-0.2661,0.8999,0.4380,-4.6997,-3.4180,-3.0518
147866.0000,-0.2676,0.9033,0.4429,-3.3569,-3.4180,-2.7466
147867.0000,-0.2734,0.9092,0.4399,-1.5869,-3.5400,-2.3804
147868.0000,-0.2764,0.9121,0.4336,-0.0610,-3.8452,-2.3193
147869.0000,-0.2749,0.9062,0.4331,1.2817,-4.0283,-2.5635
147870.0000,-0.2749,0.8965,0.4292,2.1362,-4.3945,-2.5024
147871.0000,-0.2744,0.8945,0.4258,2.9907,-4.9438,-2.6245
147872.0000,-0.2725,0.9004,0.4214,4.4556,-5.1880,-2.6245
147873.0000,-0.2656,0.9062,0.4116,6.2256,-5.3711,-2.8687
147874.0000,-0.2617,0.9111,0.4087,8.1787,-5.4321,-3.1128
147875.0000,-0.2598,0.9150,0.4072,9.4604,-5.3101,-3.3569
147876.0000,-0.2539,0.9141,0.3984,10.8032,-5.0049,-3.9062
147877.0000,-0.2505,0.9106,0.3916,11.4746,-4.5776,-4.1504
147878.0000,-0.2471,0.9053,0.3833,12.3901,-4.0894,-4.6387
147879.0000,-0.2432,0.9023,0.3789,13.9771,-3.4180,-4.9438
147880.0000,-0.2437,0.9053,0.3569,14.7705,-2.7466,-5.3711
147881.0000,-0.2422,0.9077,0.3477,15.9912,-2.1973,-5.4321
147882.0000,-0.2402,0.9092,0.3457,17.7612,-1.4648,-5.1270
147883.0000,-0.2466,0.9126,0.3320,18.9819,-1.0376,-4.9438
147884.0000,-0.2490,0.9175,0.3320,20.8130,-0.7935,-4.7607
147885.0000,-0.2485,0.9277,0.3291,21.9727,-0.6104,-4.4556
147886.0000,-0.2461,0.9355,0.3213,22.8882,-0.1831,-4.3945
147887.0000,-0.2397,0.9434,0.3145,24.9023,0.2441,-4.3335
147888.0000,-0.2412,0.9517,0.3271,25.5127,1.0376,-4.2114
147889.0000,-0.2456,0.9512,0.3198,25.6348,1.7700,-4.2114
147890.0000,-0.2529,0.9478,0.3105,25.8789,2.3193,-4.0283
147891.0000,-0.2617,0.9478,0.3052,25.8179,2.6855,-3.9673
147892.0000,-0.2666,0.9507,0.2979,25.8179,2.5635,-3.8452
147893.0000,-0.2729,0.9521,0.2930,25.8789,2.3193,-3.7231
147894.0000,-0.2710,0.9536,0.2793,25.9399,2.0142,-3.5400
147895.0000,-0.2705,0.9468,0.2676,26.1841,1.7700,-3.4790
147896.0000,-0.2671,0.9399,0.2588,26.1841,1.4648,-3.3569
147897.0000,-0.2627,0.9307,0.2500,25.8179,1.3428,-3.3569
147898.0000,-0.2637,0.9263,0.2451,25.4517,1.4038,-3.5400
147899.0000,-0.2617,0.9268,0.2334,25.8179,1.4648,-4.2114
147900.0000,-0.2637,0.9307,0.2334,27.0996,1.9531,-4.6387
147901.0000,-0.2676,0.9365,0.2231,27.1606,1.9531,-4.8218
147902.0000,-0.2700,0.9438,0.2139,27.7710,1.9531,-5.0659
147903.0000,-0.2695,0.9536,0.2085,29.1748,2.0142,-4.5166
147904.0000,-0.2739,0.9619,0.1997,30.0293,1.8921,-3.7842
147905.0000,-0.2817,0.9683,0.1904,31.0669,1.7090,-2.9907
147906.0000,-0.2852,0.9707,0.1870,31.3721,1.7090,-2.2583
147907.0000,-0.2954,0.9697,0.1704,32.2266,0.6104,-1.7700
147908.0000,-0.2866,0.9658,0.1660,32.3486,-0.1831,-1.4648
147909.0000,-0.2754,0.9629,0.1597,32.4707,0.0000,-1.7090
147910.0000,-0.2578,0.9595,0.1489,31.9824,0.5493,-1.9531
147911.0000,-0.2485,0.9561,0.1465,31.5552,1.4038,-2.6245
147912.0000,-0.2534,0.9575,0.1382,30.3345,2.5024,-3.0518
147913.0000,-0.2578,0.9541,0.1377,30.8228,2.6855,-3.4180
147914.0000,-0.2646,0.9473,0.1362,30.8838,2.8687,-3.6621
147915.0000,-0.2681,0.9385,0.1313,30.0903,2.8076,-3.8452
147916.0000,-0.2690,0.9346,0.1299,30.9448,2.6245,-3.8452
147917.0000,-0.2686,0.9351,0.1260,30.8228,2.5024,-3.8452
147918.0000,-0.2656,0.9399,0.1177,30.7617,2.5635,-3.8452
147919.0000,-0.2646,0.9468,0.1035,32.1045,2.6855,-3.5400
147920.0000,-0.2651,0.9512,0.0986,32.4707,2.9297,-3.2959
147921.0000,-0.2676,0.9541,0.0903,33.3252,2.6245,-3.0518
147922.0000,-0.2749,0.9565,0.0869,34.3018,2.0142,-2.8687
147923.0000,-0.2842,0.9575,0.0718,34.6680,1.2207,-2.9907
147924.0000,-0.2852,0.9526,0.0625,35.0342,0.5493,-2.9907
147925.0000,-0.2822,0.9512,0.0444,35.4614,0.0610,-3.2959
147926.0000,-0.2803,0.9536,0.0396,35.5225,-0.1831,-3.4180
147927.0000,-0.2778,0.9561,0.0293,35.5225,-0.3662,-3.4180
147928.0000,-0.2729,0.9561,0.0137,35.5835,-0.3662,-3.5400
147929.0000,-0.2681,0.9570,-0.0068,35.5835,-0.3662,-3.4180
147930.0000,-0.2651,0.9526,-0.0220,35.8887,-0.3662,-3.4790
147931.0000,-0.2651,0.9468,-0.0371,36.0107,-0.1221,-3.5400
147932.0000,-0.2656,0.9370,-0.0508,36.2549,0.4272,-3.6621
147933.0000,-0.2666,0.9282,-0.0615,36.6211,0.9155,-3.7231
147934.0000,-0.2598,0.9224,-0.0747,36.8042,1.3428,-3.6621
147935.0000,-0.2559,0.9194,-0.0874,37.9639,1.8311,-3.4790
147936.0000,-0.2563,0.9185,-0.1011,39.1235,2.1362,-2.9907
147937.0000,-0.2598,0.9165,-0.1104,39.6729,2.3804,-2.3804
147938.0000,-0.2607,0.9175,-0.1230,41.1987,3.2959,-1.7700
147939.0000,-0.2607,0.9146,-0.1279,42.4805,4.3945,-1.1597
147940.0000,-0.2554,0.9111,-0.1401,43.8843,5.5542,-0.6714
147941.0000,-0.2490,0.9102,-0.1519,44.9829,6.3477,-0.2441
147942.0000,-0.2432,0.9116,-0.1631,46.7529,6.7139,0.0610
147943.0000,-0.2427,0.9175,-0.1641,47.8516,6.5918,0.1221
147944.0000,-0.2534,0.9233,-0.1797,49.1333,6.2866,0.1831
147945.0000,-0.2617,0.9292,-0.1787,49.9878,6.1035,0.1221
147946.0000,-0.2656,0.9355,-0.1855,51.3306,6.1646,0.4272
147947.0000,-0.2661,0.9404,-0.2012,51.7578,6.1646,0.5493
147948.0000,-0.2646,0.9429,-0.1978,52.1851,6.7139,0.7324
147949.0000,-0.2617,0.9438,-0.2026,51.8799,7.8125,0.8545
147950.0000,-0.2559,0.9424,-0.2104,52.3071,8.8501,0.8545
147951.0000,-0.2466,0.9458,-0.2104,51.6357,9.7656,0.9155
147952.0000,-0.2373,0.9512,-0.2104,52.1851,10.6812,0.6104
147953.0000,-0.2300,0.9575,-0.2139,51.5747,10.9863,0.3052
147954.0000,-0.2280,0.9678,-0.2129,51.8799,10.8032,-0.0000
147955.0000,-0.2339,0.9771,-0.2275,51.0254,10.5591,-0.1831
147956.0000,-0.2456,0.9834,-0.2373,50.4761,10.8032,0.1831
147957.0000,-0.2549,0.9873,-0.2412,48.8892,11.5356,0.7935
147958.0000,-0.2573,0.9858,-0.2388,47.3633,12.2681,1.4038
147959.0000,-0.2549,0.9849,-0.2529,45.8984,12.7563,2.0752
147960.0000,-0.2485,0.9873,-0.2446,44.6777,13.0005,2.6855
147961.0000,-0.2407,0.9878,-0.2583,43.5791,12.5732,2.9907
