timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
167781.0000,-0.1406,0.8682,0.3901,3.5400,-0.3662,-2.7466
167782.0000,-0.1431,0.8682,0.3843,2.9907,-0.2441,-2.7466
167783.0000,-0.1450,0.8687,0.3789,5.0659,-0.1831,-2.7466
167784.0000,-0.1470,0.8696,0.3911,3.8452,0.1221,-2.6855
167785.0000,-0.1460,0.8682,0.3867,4.3945,0.1831,-2.6245
167786.0000,-0.1489,0.8701,0.3784,5.1270,0.1221,-2.4414
167787.0000,-0.1479,0.8721,0.3843,3.2349,0.1831,-2.5024
167788.0000,-0.1489,0.8755,0.3843,3.5400,0.1831,-2.5024
167789.0000,-0.1470,0.8750,0.3926,2.5024,0.1831,-2.4414
167790.0000,-0.1475,0.8755,0.3784,3.1128,0.5493,-2.4414
167791.0000,-0.1426,0.8730,0.3833,3.2959,0.5493,-2.6245
167792.0000,-0.1431,0.8740,0.3809,1.8921,0.4883,-2.7466
167793.0000,-0.1450,0.8755,0.3804,2.7466,0.5493,-2.6855
167794.0000,-0.1475,0.8745,0.3809,2.3804,0.5493,-2.5635
167795.0000,-0.1499,0.8755,0.3872,2.7466,0.4883,-2.3193
167796.0000,-0.1514,0.8735,0.3848,2.1973,0.4272,-2.2583
167797.0000,-0.1519,0.8740,0.3857,1.9531,0.1221,-2.3193
167798.0000,-0.1558,0.8721,0.3906,2.6855,0.0610,-2.1362
167799.0000,-0.1562,0.8691,0.3853,2.3193,-0.0000,-1.8311
167800.0000,-0.1577,0.8696,0.3823,2.6855,-0.0000,-1.7700
167801.0000,-0.1597,0.8687,0.3936,2.8687,-0.3662,-1.9531
167802.0000,-0.1602,0.8672,0.3838,2.4414,-0.6104,-2.1973
167803.0000,-0.1572,0.8687,0.3794,3.2349,-0.9155,-2.2583
167804.0000,-0.1577,0.8667,0.3818,3.4180,-0.6714,-2.5024
167805.0000,-0.1538,0.8652,0.3833,4.2114,-0.7935,-2.3804
167806.0000,-0.1572,0.8647,0.3828,3.4790,-1.0986,-2.7466
167807.0000,-0.1587,0.8628,0.3726,4.2725,-1.0376,-2.8687
167808.0000,-0.1553,0.8652,0.3794,4.6387,-1.0376,-2.8687
167809.0000,-0.1548,0.8628,0.3872,5.3101,-0.9766,-2.8687
167810.0000,-0.1509,0.8633,0.3784,4.2725,-1.0986,-3.2349
167811.0000,-0.1519,0.8647,0.3799,5.6763,-1.0376,-3.3569
167812.0000,-0.1558,0.8643,0.3779,6.4697,-0.9766,-3.8452
167813.0000,-0.1562,0.8662,0.3799,5.3101,-1.1597,-4.3335
167814.0000,-0.1533,0.8667,0.3867,5.5542,-1.2817,-5.1880
167815.0000,-0.1528,0.8677,0.3823,5.2490,-1.0986,-5.6763
167816.0000,-0.1528,0.8647,0.3896,5.7983,-1.2207,-6.3477
167817.0000,-0.1548,0.8677,0.3950,6.8359,-1.1597,-7.1411
167818.0000,-0.1519,0.8633,0.3931,6.8359,-1.1597,-8.0566
167819.0000,-0.1543,0.8623,0.3896,7.6294,-0.6104,-9.2163
167820.0000,-0.1523,0.8618,0.3994,7.2021,-0.2441,-10.6201
167821.0000,-0.1455,0.8638,0.3955,8.6060,0.2441,-11.8408
167822.0000,-0.1406,0.8662,0.3994,10.0098,0.3052,-12.8174
167823.0000,-0.1421,0.8682,0.4097,12.0850,0.3052,-14.0991
167824.0000,-0.1460,0.8608,0.4102,12.7563,0.5493,-15.3809
167825.0000,-0.1484,0.8472,0.4233,13.6719,0.9155,-16.1743
167826.0000,-0.1450,0.8374,0.4263,15.3809,1.7700,-17.0898
167827.0000,-0.1396,0.8301,0.4263,17.7612,2.6245,-18.1274
167828.0000,-0.1333,0.8281,0.4248,20.0195,3.4790,-18.7378
167829.0000,-0.1299,0.8232,0.4106,22.3389,4.4556,-19.5312
167830.0000,-0.1313,0.8193,0.4121,26.0620,4.7607,-20.0195
167831.0000,-0.1353,0.8022,0.3896,31.3110,5.2490,-20.8740
167832.0000,-0.1406,0.7754,0.3804,35.4004,5.7373,-21.5454
167833.0000,-0.1465,0.7446,0.3647,41.1987,6.1646,-22.3389
167834.0000,-0.1470,0.7324,0.3467,46.5698,7.1411,-22.7051
167835.0000,-0.1494,0.7256,0.3149,51.6357,7.6904,-22.8882
167836.0000,-0.1533,0.7212,0.2856,57.4341,8.1177,-23.1323
167837.0000,-0.1646,0.7026,0.2559,62.8662,8.0566,-23.1323
167838.0000,-0.1787,0.6973,0.2114,68.8477,7.6294,-22.4609
167839.0000,-0.1953,0.7017,0.1665,75.5615,7.1411,-21.4844
167840.0000,-0.2065,0.6997,0.1245,81.4209,7.2632,-20.4468
167841.0000,-0.2007,0.6870,0.0967,87.9517,8.3008,-18.8599
167842.0000,-0.1782,0.6821,0.0508,95.2148,10.1318,-17.3340
167843.0000,-0.1699,0.6997,0.0161,100.3418,11.5967,-15.9912
167844.0000,-0.1689,0.7354,-0.0156,106.9946,12.2070,-14.4653
167845.0000,-0.1860,0.7627,-0.0493,110.3516,11.7798,-13.0005
167846.0000,-0.2158,0.7852,-0.0811,113.5254,11.3525,-12.0850
