timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
170077.0000,0.0493,0.9180,0.4600,8.7891,-3.5400,-5.9204
170078.0000,0.0508,0.9111,0.4648,9.5825,-3.4790,-6.2256
170079.0000,0.0503,0.9097,0.4634,9.3994,-3.7231,-6.7749
170080.0000,0.0542,0.9082,0.4644,11.7798,-3.6011,-7.5684
170081.0000,0.0444,0.8945,0.4756,14.0381,-3.3569,-8.4229
170082.0000,0.0337,0.8789,0.4648,15.6860,-3.4790,-9.7046
170083.0000,0.0352,0.8672,0.4707,18.6768,-3.6621,-10.8643
170084.0000,0.0361,0.8604,0.4644,20.8130,-4.1504,-11.6577
170085.0000,0.0425,0.8613,0.4673,24.0479,-5.1270,-12.3291
170086.0000,0.0425,0.8662,0.4565,28.0762,-5.4321,-12.8174
170087.0000,0.0337,0.8740,0.4546,29.9072,-5.7983,-13.3667
170088.0000,0.0303,0.8760,0.4478,33.3862,-5.6152,-14.0381
170089.0000,0.0342,0.8745,0.4434,35.4614,-5.9814,-15.0146
170090.0000,0.0386,0.8740,0.4312,37.4146,-5.9204,-15.6860
170091.0000,0.0254,0.8735,0.4331,41.5039,-6.4697,-16.0522
170092.0000,0.0073,0.8755,0.4229,42.7246,-6.5918,-16.4185
170093.0000,0.0117,0.8750,0.4131,45.8984,-6.4087,-16.8457
170094.0000,0.0161,0.8716,0.4106,49.9878,-6.0425,-17.4561
170095.0000,0.0161,0.8774,0.3940,54.5044,-6.2256,-17.7002
170096.0000,0.0010,0.8711,0.3833,57.4341,-6.7749,-17.9443
170097.0000,-0.0264,0.8628,0.3647,61.3403,-7.2021,-18.0054
170098.0000,-0.0444,0.8633,0.3579,63.9038,-6.9580,-18.3716
170099.0000,-0.0396,0.8628,0.3481,69.0918,-7.0801,-18.6157
170100.0000,-0.0186,0.8574,0.3252,74.4019,-6.8970,-18.9209
170101.0000,-0.0020,0.8511,0.3252,76.5381,-7.0801,-19.2261
170102.0000,-0.0088,0.8384,0.3120,81.7261,-7.5684,-19.2871
170103.0000,-0.0317,0.8252,0.3018,86.7310,-8.1177,-19.8975
170104.0000,-0.0474,0.8203,0.2861,91.4307,-9.4604,-21.1182
170105.0000,-0.0498,0.8203,0.2729,95.4590,-11.6577,-22.0947
170106.0000,-0.0454,0.8208,0.2568,99.7314,-12.3901,-22.8271
170107.0000,-0.0010,0.8247,0.2324,104.4922,-12.3291,-23.9868
170108.0000,0.0151,0.8325,0.2217,108.0933,-12.1460,-24.3530
170109.0000,-0.0190,0.8359,0.2070,110.4736,-11.5356,-23.8647
170110.0000,-0.0435,0.8301,0.1816,116.0278,-11.4746,-23.8037
170111.0000,-0.0664,0.8237,0.1655,119.6289,-12.2681,-23.0713
170112.0000,-0.0601,0.8218,0.1489,124.3286,-13.1836,-22.0337
170113.0000,-0.0366,0.8271,0.1201,125.3052,-13.8550,-20.6299
170114.0000,-0.0425,0.9136,0.0947,127.8076,-12.5122,-18.9819
170115.0000,-0.0693,0.8682,0.0620,129.2114,-12.3901,-17.9443
170116.0000,-0.1289,0.8223,0.0400,125.4272,-9.9487,-18.3716
170117.0000,-0.1685,0.8188,0.0259,123.5962,-7.1411,-19.6533
170118.0000,-0.1860,0.8345,-0.0142,118.8965,-5.3101,-21.9116
170119.0000,-0.1846,0.8833,-0.0615,112.8540,-3.9673,-23.4985
170120.0000,-0.1743,0.9478,-0.1006,106.2622,-3.9673,-24.9023
170121.0000,-0.1558,1.0244,-0.1362,102.3560,-4.0283,-26.1230
170122.0000,-0.1436,1.0542,-0.1846,94.7876,-3.4790,-26.4893
170123.0000,-0.1260,1.0659,-0.2212,88.9893,-1.5869,-26.9165
