timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
165235.0000,-0.1172,0.9058,0.4209,2.6855,-0.3662,-1.8921
165236.0000,-0.1147,0.9048,0.4194,3.9673,-0.4272,-1.8921
165237.0000,-0.1172,0.9043,0.4141,2.8687,-0.1831,-1.8311
165238.0000,-0.1196,0.9072,0.4092,3.3569,-0.1221,-1.8921
165239.0000,-0.1240,0.9072,0.4111,3.0518,-0.0610,-1.9531
165240.0000,-0.1230,0.9097,0.4214,3.4790,-0.0610,-1.8921
165241.0000,-0.1226,0.9102,0.4160,3.7231,-0.2441,-1.7090
165242.0000,-0.1187,0.9082,0.4170,3.2959,0.1221,-1.7090
165243.0000,-0.1177,0.9102,0.4219,3.9062,0.1221,-1.7090
165244.0000,-0.1162,0.9077,0.4126,3.4180,0.4272,-1.7090
165245.0000,-0.1221,0.9067,0.4077,4.8828,0.3052,-1.5259
165246.0000,-0.1230,0.9067,0.4102,4.3945,0.3662,-1.2817
165247.0000,-0.1250,0.9053,0.4102,4.8828,0.2441,-1.4038
165248.0000,-0.1265,0.9043,0.4111,4.4556,0.2441,-1.3428
165249.0000,-0.1211,0.9038,0.4043,3.9062,0.4272,-1.4038
165250.0000,-0.1245,0.9048,0.3984,4.3335,0.5493,-1.3428
165251.0000,-0.1216,0.9067,0.4048,4.3335,0.6104,-1.2817
165252.0000,-0.1260,0.9092,0.4023,4.6997,0.7324,-1.3428
165253.0000,-0.1274,0.9077,0.4043,4.7607,0.4883,-1.3428
165254.0000,-0.1265,0.9072,0.4048,4.3335,0.5493,-1.4038
165255.0000,-0.1240,0.9048,0.4092,5.6763,0.2441,-1.2817
165256.0000,-0.1221,0.9053,0.4102,6.1035,0.0000,-1.2817
165257.0000,-0.1196,0.9023,0.4194,6.4697,-0.1221,-1.0376
165258.0000,-0.1226,0.8989,0.4175,8.0566,-0.3052,-1.0376
165259.0000,-0.1187,0.8994,0.4209,8.6060,-0.3052,-0.8545
165260.0000,-0.1157,0.8979,0.4238,10.4370,0.0610,-0.7324
165261.0000,-0.1128,0.8994,0.4229,11.6577,0.3052,-0.6104
165262.0000,-0.1143,0.9009,0.4248,12.6953,0.7324,-0.5493
165263.0000,-0.1143,0.8994,0.4185,15.5640,1.2207,-0.3662
165264.0000,-0.1099,0.8960,0.4229,18.0054,1.7090,-0.1221
165265.0000,-0.1104,0.8916,0.4180,21.9727,1.8921,0.0610
165266.0000,-0.1147,0.8877,0.4126,25.0244,2.3193,0.1221
165267.0000,-0.1191,0.8853,0.4116,27.6489,2.3804,0.3662
165268.0000,-0.1221,0.8862,0.4126,30.9448,2.6245,0.4272
165269.0000,-0.1226,0.8906,0.4121,32.4097,3.0518,0.5493
165270.0000,-0.1191,0.8877,0.3999,35.0342,3.7842,0.6104
165271.0000,-0.1099,0.8794,0.4053,35.9497,4.5166,0.4883
165272.0000,-0.1084,0.8706,0.3945,36.9873,5.0659,0.4883
165273.0000,-0.1104,0.8608,0.3828,39.2456,5.4932,0.4272
165274.0000,-0.1143,0.8506,0.3813,41.0156,6.4087,0.1831
