timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
315025.0000,-0.1865,1.0269,0.1890,-2.1973,6.5308,-0.3052
315026.0000,-0.1904,1.0708,0.1895,-4.0283,7.8125,-2.7466
315027.0000,-0.1982,1.1348,0.2168,-5.9204,10.1929,-5.3101
315028.0000,-0.2104,1.1279,0.2310,-10.0708,10.3760,-7.2632
315029.0000,-0.2261,1.0381,0.2095,-13.3057,11.2305,-8.6670
315030.0000,-0.2339,0.9507,0.1816,-14.0991,12.5122,-8.6670
315031.0000,-0.2490,0.9199,0.1851,-14.7095,13.7939,-8.8501
315032.0000,-0.2676,0.9219,0.1919,-14.5264,14.2822,-9.0332
315033.0000,-0.2930,0.9263,0.1860,-15.1367,16.1133,-9.2163
315034.0000,-0.3076,0.9282,0.1777,-15.1367,16.3574,-8.7280
315035.0000,-0.3218,0.9326,0.1763,-15.0146,15.7471,-7.2632
315036.0000,-0.3286,0.9404,0.1748,-14.6484,16.6626,-4.8218
315037.0000,-0.3320,0.9614,0.1777,-15.4419,17.2119,-1.1597
315038.0000,-0.3267,0.9644,0.1733,-15.6860,16.9067,1.1597
315039.0000,-0.3198,0.9741,0.1709,-16.3574,17.6392,2.4414
315040.0000,-0.3086,0.9946,0.1738,-16.9067,16.6016,2.3193
315041.0000,-0.2979,1.0171,0.1851,-18.4326,16.9067,0.3662
315042.0000,-0.2964,1.0371,0.1899,-20.7520,16.5405,-1.9531
315043.0000,-0.2935,1.0449,0.1997,-22.1558,16.8457,-3.6011
315044.0000,-0.2969,1.0347,0.2065,-24.0479,17.3340,-6.4697
315045.0000,-0.3042,1.0278,0.2114,-24.8413,17.2119,-8.3618
315046.0000,-0.3154,1.0381,0.2119,-26.0620,17.4561,-9.5825
315047.0000,-0.3184,1.0640,0.2378,-28.2593,17.2119,-10.9863
315048.0000,-0.3306,1.0620,0.2593,-30.1514,17.3950,-11.7798
315049.0000,-0.3403,1.0439,0.2642,-31.6162,17.1509,-11.8408
315050.0000,-0.3408,1.0181,0.2651,-31.6772,16.8457,-10.5591
315051.0000,-0.3481,0.9917,0.2783,-31.7993,16.5405,-9.5215
315052.0000,-0.3647,0.9678,0.2905,-31.6162,16.1133,-7.6904
315053.0000,-0.3848,0.9204,0.2905,-30.5786,15.8081,-4.9438
315054.0000,-0.3994,0.8818,0.2866,-28.1372,15.6860,-3.2349
315055.0000,-0.4097,0.8604,0.2876,-26.4282,15.5640,-1.2817
315056.0000,-0.4058,0.8462,0.2944,-25.0244,15.0146,0.9155
315057.0000,-0.4053,0.8325,0.2939,-23.6816,14.7095,2.5024
315058.0000,-0.4048,0.8262,0.2920,-22.7661,13.6108,2.8687
315059.0000,-0.3921,0.8335,0.2949,-23.3154,12.5732,3.1738
315060.0000,-0.3799,0.8506,0.2925,-24.2310,11.6577,2.1973
315061.0000,-0.3716,0.8628,0.2954,-24.9023,9.3994,1.2817
315062.0000,-0.3579,0.8589,0.2969,-26.1841,8.8501,0.3052
315063.0000,-0.3560,0.8428,0.2944,-26.6724,6.1646,-0.4883
315064.0000,-0.3413,0.8252,0.2939,-26.3062,6.8359,-1.0986
315065.0000,-0.3252,0.8110,0.2935,-25.5737,5.8594,-0.5493
315066.0000,-0.3159,0.8052,0.3018,-25.9399,5.2490,0.0610
315067.0000,-0.3052,0.8081,0.3032,-26.0620,3.8452,-0.1831
315068.0000,-0.2959,0.7983,0.3091,-25.2686,3.6621,-0.1221
315069.0000,-0.2881,0.7788,0.3101,-25.0244,3.1738,0.0000
315070.0000,-0.2793,0.7783,0.3169,-24.3530,3.2349,0.1221
315071.0000,-0.2563,0.7710,0.3247,-22.7051,1.8311,-0.6714
315072.0000,-0.2358,0.7471,0.3320,-22.1558,0.6104,-0.4883
315073.0000,-0.2314,0.7388,0.3301,-20.9351,0.7935,-0.8545
315074.0000,-0.2212,0.7690,0.3438,-18.7988,0.1221,-1.7700
315075.0000,-0.2207,0.8184,0.3618,-15.9302,-0.9766,-3.9062
315076.0000,-0.2173,0.8457,0.3774,-13.7939,-0.5493,-5.9814
315077.0000,-0.2104,0.8394,0.3784,-10.0708,0.1831,-6.8359
315078.0000,-0.2026,0.8242,0.3691,-6.4087,-0.7935,-7.5684
315079.0000,-0.1855,0.8188,0.3672,-4.8218,-0.8545,-8.0566
315080.0000,-0.1665,0.8423,0.3750,-4.8218,-1.8311,-7.7515
315081.0000,-0.1558,0.8911,0.3804,-6.1646,-2.1973,-6.7139
315082.0000,-0.1592,0.9531,0.3892,-7.5684,-2.8076,-6.2256
315083.0000,-0.1714,0.9985,0.3911,-10.0098,-3.9673,-5.4932
315084.0000,-0.1816,0.9937,0.3784,-12.4512,-3.5400,-3.7842
315085.0000,-0.1992,0.9780,0.3672,-13.9160,-1.7090,-2.1362
315086.0000,-0.2212,0.9712,0.3564,-14.5264,-0.9766,-0.4272
315087.0000,-0.2393,0.9673,0.3481,-14.7095,0.7324,-0.2441
315088.0000,-0.2510,0.9712,0.3428,-14.8926,0.7935,-0.4883
315089.0000,-0.2510,0.9863,0.3472,-13.4888,0.5493,-1.3428
315090.0000,-0.2412,0.9785,0.3555,-12.3291,0.3662,-2.3193
315091.0000,-0.2383,0.9575,0.3633,-10.8032,-1.1597,-3.4180
315092.0000,-0.2480,0.8970,0.3687,-9.5825,-2.6855,-4.6387
315093.0000,-0.2476,0.8384,0.3687,-8.6670,-2.9907,-4.9438
315094.0000,-0.2422,0.8027,0.3682,-8.7280,-3.5400,-4.3945
315095.0000,-0.2368,0.7705,0.3672,-8.1177,-4.6997,-4.7607
315096.0000,-0.2153,0.7700,0.3687,-7.6294,-3.8452,-4.6997
315097.0000,-0.2012,0.7881,0.3687,-6.5918,-4.8218,-4.5166
315098.0000,-0.1924,0.8101,0.3672,-5.1270,-4.5776,-4.6997
315099.0000,-0.1929,0.8257,0.3833,-3.4180,-3.9673,-5.4932
315100.0000,-0.1953,0.8345,0.3979,-0.9766,-3.7842,-6.2256
315101.0000,-0.1948,0.8462,0.4053,1.0376,-2.8076,-7.9346
315102.0000,-0.1958,0.8516,0.4141,1.5869,-2.8687,-10.1929
315103.0000,-0.1948,0.8589,0.4263,2.5024,-2.9297,-12.7563
315104.0000,-0.1914,0.8662,0.4409,3.6621,-2.4414,-14.8315
315105.0000,-0.1870,0.8779,0.4492,5.7373,-2.5024,-16.3574
315106.0000,-0.1914,0.8945,0.4565,8.4229,-3.0518,-16.9067
315107.0000,-0.1978,0.9072,0.4629,11.4136,-2.1362,-18.3105
315108.0000,-0.2124,0.9023,0.4731,13.8550,-1.8311,-17.8223
315109.0000,-0.2295,0.8843,0.4805,16.4185,-1.9531,-15.5029
315110.0000,-0.2451,0.8613,0.4854,18.0664,-1.8921,-13.7329
315111.0000,-0.2695,0.8501,0.4829,19.5312,-0.7324,-11.7188
315112.0000,-0.2969,0.8691,0.4888,20.9351,-1.2817,-8.4839
315113.0000,-0.3154,0.8867,0.4795,22.2168,-1.2207,-6.1035
315114.0000,-0.3218,0.8921,0.4678,22.2168,-2.1362,-3.8452
315115.0000,-0.3594,0.8931,0.4614,22.0337,-2.9297,-0.9766
315116.0000,-0.3672,0.8965,0.4575,21.8506,-3.6011,1.7700
315117.0000,-0.3794,0.9102,0.4497,21.8506,-3.5400,5.0659
315118.0000,-0.3853,0.9307,0.4375,21.5454,-3.9062,8.7891
315119.0000,-0.4009,0.9458,0.4316,22.0947,-3.0518,10.9253
315120.0000,-0.4102,0.9536,0.4243,22.2168,-2.9907,14.1602
315121.0000,-0.4189,0.9561,0.4209,23.6816,-2.1362,15.9302
315122.0000,-0.4287,0.9609,0.4185,24.5361,-2.1973,16.1133
315123.0000,-0.4233,0.9487,0.4155,25.7568,-1.7090,15.9912
315124.0000,-0.4053,0.9272,0.4062,26.1841,-0.7935,15.3198
315125.0000,-0.3911,0.9150,0.4038,26.0010,0.7324,14.7705
315126.0000,-0.3809,0.9209,0.4014,25.2686,2.1973,14.2212
315127.0000,-0.3628,0.9175,0.3926,24.1699,3.8452,14.4043
315128.0000,-0.3608,0.8975,0.3774,22.9492,5.4321,13.9771
315129.0000,-0.3511,0.8862,0.3682,21.4233,7.7515,13.8550
315130.0000,-0.3320,0.8989,0.3682,19.5312,8.4839,13.1836
315131.0000,-0.3086,0.9219,0.3647,17.8833,11.6577,12.3291
315132.0000,-0.2817,0.9321,0.3540,16.7847,15.1367,11.3525
315133.0000,-0.2632,0.9238,0.3423,15.5640,17.1509,10.0098
315134.0000,-0.2588,0.9019,0.3315,14.8315,16.2964,7.8125
315135.0000,-0.2588,0.8735,0.3296,14.5874,17.2729,5.7373
315136.0000,-0.2700,0.8633,0.3320,14.7705,15.7471,3.6621
315137.0000,-0.2783,0.8452,0.3340,14.7705,15.5029,2.9297
315138.0000,-0.2744,0.8306,0.3296,14.7095,15.8691,2.1362
315139.0000,-0.2622,0.8096,0.3223,13.7939,15.0146,0.4883
315140.0000,-0.2524,0.7842,0.3130,12.8784,14.7705,-0.7935
315141.0000,-0.2476,0.7773,0.3110,12.1460,13.4277,-2.0142
315142.0000,-0.2432,0.7886,0.3125,12.5122,13.5498,-3.2349
315143.0000,-0.2407,0.8076,0.3125,12.9395,13.3057,-4.0283
315144.0000,-0.2349,0.8193,0.3076,14.1602,11.5356,-5.7983
315145.0000,-0.2290,0.8081,0.3032,13.6719,10.2539,-7.6294
315146.0000,-0.2266,0.8130,0.3008,13.2446,9.5215,-8.4229
315147.0000,-0.2300,0.8135,0.3042,12.6343,7.3853,-8.4839
315148.0000,-0.2373,0.8188,0.3130,13.1836,6.4087,-8.5449
315149.0000,-0.2310,0.8198,0.3208,13.1836,4.6997,-9.8877
315150.0000,-0.2344,0.8335,0.3154,12.8784,3.7842,-10.5591
315151.0000,-0.2256,0.8428,0.3140,11.5356,3.2959,-10.9863
315152.0000,-0.2080,0.8569,0.3145,9.5215,3.9673,-10.5591
315153.0000,-0.1938,0.8745,0.3140,7.9346,1.7090,-10.3149
