timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
113695.0000,-0.3472,0.9541,0.3413,25.9399,-8.4229,-9.2773
113696.0000,-0.3418,0.9604,0.3379,23.4375,-7.2632,-7.5073
113697.0000,-0.3257,0.9673,0.3389,20.3857,-5.4932,-5.2490
113698.0000,-0.3213,0.9673,0.3350,17.9443,-4.0283,-4.2114
113699.0000,-0.3130,0.9570,0.3364,15.8691,-2.3193,-3.1738
113700.0000,-0.3096,0.9478,0.3315,13.8550,0.5493,-2.6245
113701.0000,-0.3169,0.9458,0.3354,11.8408,2.8687,-2.3804
113702.0000,-0.3320,0.9487,0.3374,9.9487,4.6387,-2.5635
113703.0000,-0.3501,0.9478,0.3359,7.4463,5.7373,-2.3804
113704.0000,-0.3579,0.9453,0.3428,5.5542,6.1035,-1.8921
113705.0000,-0.3608,0.9390,0.3413,3.9673,6.1646,-1.0986
113706.0000,-0.3618,0.9258,0.3379,2.1973,6.0425,-0.5493
113707.0000,-0.3623,0.9180,0.3359,1.0986,5.8594,-0.4883
113708.0000,-0.3594,0.9146,0.3345,0.1831,5.6763,-0.6104
113709.0000,-0.3569,0.9092,0.3311,-0.7324,5.7373,-1.4648
113710.0000,-0.3569,0.9136,0.3350,-1.4648,6.0425,-2.6245
113711.0000,-0.3662,0.9199,0.3345,-2.4414,6.3477,-3.9673
113712.0000,-0.3730,0.9248,0.3345,-3.8452,6.7749,-5.5542
113713.0000,-0.3755,0.9268,0.3340,-4.7607,7.0801,-5.9204
113714.0000,-0.3799,0.9297,0.3330,-5.4932,7.0801,-5.5542
113715.0000,-0.3867,0.9282,0.3394,-7.0190,6.7139,-4.2114
113716.0000,-0.3882,0.9209,0.3408,-7.9346,6.4087,-2.6855
113717.0000,-0.3843,0.9146,0.3418,-8.5449,5.8594,-1.6479
113718.0000,-0.3774,0.9023,0.3438,-8.8501,5.4321,-0.3662
113719.0000,-0.3730,0.9004,0.3428,-8.9111,5.4321,-0.0610
113720.0000,-0.3706,0.8936,0.3506,-8.9722,5.3711,0.0000
113721.0000,-0.3560,0.8911,0.3501,-8.6670,5.9204,0.0610
113722.0000,-0.3516,0.8838,0.3530,-8.4839,6.5308,-0.3052
113723.0000,-0.3535,0.8848,0.3511,-8.3618,7.2632,-0.6714
113724.0000,-0.3550,0.8906,0.3555,-8.0566,7.8735,-0.9766
113725.0000,-0.3540,0.8940,0.3564,-7.8735,8.4229,-0.9155
113726.0000,-0.3555,0.8989,0.3613,-7.6294,8.8501,-0.4272
113727.0000,-0.3608,0.8999,0.3594,-7.6294,9.1553,0.3662
113728.0000,-0.3599,0.8931,0.3564,-7.6904,9.1553,1.0376
