timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
120546.0000,-0.1973,0.9751,0.2002,49.9878,-221.9849,-96.0693
120547.0000,-0.1846,0.9751,0.2197,49.6216,-214.4165,-94.7876
120548.0000,-0.1665,0.9746,0.2432,49.3774,-205.6885,-92.6514
120549.0000,-0.1304,0.9609,0.2617,48.3398,-192.8101,-87.8296
120550.0000,-0.1050,0.9463,0.2710,47.1191,-182.0679,-83.0688
120551.0000,-0.0879,0.9341,0.2832,46.0205,-170.7153,-77.6978
120552.0000,-0.0850,0.9102,0.3193,45.4712,-154.2358,-70.9839
120553.0000,-0.1108,0.9038,0.3286,45.5322,-141.7847,-66.6504
120554.0000,-0.1392,0.8892,0.3647,44.1284,-131.0425,-62.9272
120555.0000,-0.1733,0.8901,0.3701,44.7998,-117.7979,-58.1055
120556.0000,-0.2026,0.8750,0.3833,44.0063,-108.7646,-54.3213
120557.0000,-0.2354,0.8569,0.3906,44.1895,-101.0742,-50.5981
120558.0000,-0.2642,0.8496,0.3896,45.2271,-93.2007,-45.1660
120559.0000,-0.2783,0.8491,0.3906,46.5698,-88.1348,-41.5649
120560.0000,-0.2881,0.8584,0.3877,48.1567,-83.6792,-38.3911
120561.0000,-0.2896,0.8711,0.3823,49.4385,-78.6743,-35.4614
120562.0000,-0.2910,0.8794,0.3828,49.6216,-74.8291,-33.5083
120563.0000,-0.2920,0.8877,0.3760,49.2554,-71.1060,-31.7993
120564.0000,-0.3096,0.9111,0.3711,47.6685,-66.1011,-29.7852
120565.0000,-0.3306,0.9458,0.3892,45.7764,-62.9883,-28.1982
120566.0000,-0.3472,0.9619,0.4053,43.8843,-60.7910,-26.7944
120567.0000,-0.3638,0.9526,0.3989,41.3208,-58.4717,-25.8789
120568.0000,-0.3647,0.9360,0.3931,39.0015,-57.1899,-25.5127
120569.0000,-0.3628,0.9272,0.3896,37.3535,-55.4199,-25.5127
120570.0000,-0.3594,0.9072,0.3857,36.1938,-52.7344,-25.6348
