timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
122371.0000,-0.3853,0.8652,0.4390,-3.3569,3.9673,0.9766
122372.0000,-0.3848,0.8604,0.4385,-3.6621,4.3945,1.1597
122373.0000,-0.3794,0.8589,0.4399,-3.9673,4.6387,1.0376
122374.0000,-0.3760,0.8594,0.4409,-3.9673,5.1880,1.2817
122375.0000,-0.3721,0.8594,0.4434,-4.0283,5.7373,1.1597
122376.0000,-0.3735,0.8608,0.4409,-4.2114,6.6528,1.2207
122377.0000,-0.3657,0.8594,0.4448,-4.3945,7.4463,1.3428
122378.0000,-0.3662,0.8618,0.4443,-4.5166,7.9956,1.1597
122379.0000,-0.3711,0.8657,0.4463,-4.8828,9.0942,1.2817
122380.0000,-0.3789,0.8696,0.4443,-5.2490,9.7046,1.7090
122381.0000,-0.3857,0.8696,0.4478,-5.7983,10.3149,1.8921
122382.0000,-0.3906,0.8608,0.4468,-6.4087,10.6812,2.4414
122383.0000,-0.3892,0.8618,0.4492,-6.6528,11.1694,2.6245
122384.0000,-0.3882,0.8608,0.4478,-6.8359,11.4746,3.2349
122385.0000,-0.3848,0.8604,0.4492,-7.0190,12.0850,4.0894
122386.0000,-0.3818,0.8555,0.4502,-7.0801,12.3291,4.8218
122387.0000,-0.3789,0.8491,0.4473,-6.7749,12.9395,5.3101
122388.0000,-0.3770,0.8521,0.4434,-6.4087,13.7329,5.6763
122389.0000,-0.3770,0.8584,0.4429,-6.4697,14.4653,6.1646
122390.0000,-0.3745,0.8633,0.4351,-6.5918,15.2588,6.4697
122391.0000,-0.3716,0.8701,0.4365,-7.0801,16.6016,7.0190
122392.0000,-0.3677,0.8770,0.4326,-7.6904,17.8833,7.6294
122393.0000,-0.3628,0.8828,0.4307,-8.5449,19.2871,8.1177
122394.0000,-0.3569,0.8940,0.4336,-9.8877,21.3013,9.0332
122395.0000,-0.3535,0.8984,0.4316,-11.1694,23.0103,9.6436
122396.0000,-0.3486,0.9067,0.4302,-12.5732,24.8413,10.5591
122397.0000,-0.3394,0.9102,0.4272,-14.7095,27.4048,11.5967
122398.0000,-0.3364,0.9102,0.4229,-16.2964,29.6021,12.5122
122399.0000,-0.3301,0.9087,0.4243,-18.1274,32.2876,13.4888
122400.0000,-0.3125,0.9102,0.4180,-20.7520,36.4380,15.1978
122401.0000,-0.2979,0.9106,0.4194,-22.5830,40.2222,16.8457
122402.0000,-0.2822,0.9116,0.4170,-24.4751,44.5557,18.5547
122403.0000,-0.2524,0.9272,0.4121,-27.5269,51.4526,21.8506
122404.0000,-0.2285,0.9316,0.4092,-29.9072,57.9224,24.7192
122405.0000,-0.1992,0.9331,0.3965,-32.6538,65.4297,28.1982
122406.0000,-0.1577,0.9551,0.3672,-36.7432,78.1250,33.7524
122407.0000,-0.1250,0.9771,0.3516,-40.1001,89.8438,39.2456
122408.0000,-0.0972,0.9946,0.3354,-43.8232,103.3325,45.5933
122409.0000,-0.0659,0.9834,0.3213,-48.3398,123.0469,56.5186
122410.0000,-0.0293,0.9570,0.2964,-51.1475,139.1602,66.8945
122411.0000,0.0103,0.9473,0.2603,-53.1616,157.9590,77.2705
122412.0000,0.0234,0.9775,0.2207,-54.9927,185.7300,90.3320
122413.0000,0.0020,1.0132,0.1797,-56.8237,206.6650,99.4873
122414.0000,-0.0308,1.0493,0.1328,-59.3262,226.3184,108.0933
122415.0000,-0.0786,1.0659,0.0635,-62.8052,250.6104,117.5537
122416.0000,-0.1143,1.0620,0.0229,-64.8804,267.2119,123.2910
122417.0000,-0.1494,1.0713,-0.0083,-66.7725,282.4097,128.5400
122418.0000,-0.1914,1.0898,-0.0425,-69.0918,300.0488,135.7422
122419.0000,-0.2251,1.0972,-0.0640,-70.8618,311.1572,141.1133
122420.0000,-0.2617,1.1099,-0.0801,-72.7539,320.3125,146.1792
122421.0000,-0.3198,1.1421,-0.1016,-75.4395,329.6509,151.4893
122422.0000,-0.3682,1.1450,-0.1099,-80.2612,333.4351,154.4189
122423.0000,-0.4009,1.1411,-0.1274,-81.2988,335.2661,155.2734
122424.0000,-0.4229,1.1021,-0.1196,-83.2520,335.1440,153.9307
122425.0000,-0.4424,1.0674,-0.1045,-82.7637,334.0454,150.6348
122426.0000,-0.4604,1.0444,-0.0850,-81.3599,331.5430,146.1182
122427.0000,-0.4912,1.0229,-0.0537,-78.9185,325.7446,138.9160
122428.0000,-0.5073,1.0190,-0.0522,-75.8057,319.3359,133.7891
122429.0000,-0.5259,1.0317,-0.0298,-77.4536,310.3638,128.8452
122430.0000,-0.5161,1.0239,0.0093,-73.1201,297.9736,122.9248
122431.0000,-0.5195,0.9805,0.0479,-72.2046,287.7197,117.7368
122432.0000,-0.5312,0.9268,0.0898,-68.6646,276.8555,110.7178
122433.0000,-0.5620,0.8608,0.1460,-61.6455,260.9863,99.3042
122434.0000,-0.5923,0.8462,0.1865,-55.1147,247.5586,89.2944
122435.0000,-0.6235,0.8564,0.2227,-48.6450,232.3608,78.6743
122436.0000,-0.6538,0.8896,0.2715,-41.6260,209.1675,64.5142
122437.0000,-0.6660,0.9121,0.3091,-38.0249,190.4907,54.0161
122438.0000,-0.6753,0.9209,0.3320,-35.6445,170.7153,43.6401
122439.0000,-0.6807,0.9043,0.3628,-33.3862,142.8833,31.1890
122440.0000,-0.6733,0.8818,0.3809,-31.5552,121.3379,23.7427
122441.0000,-0.6538,0.8779,0.3965,-29.1138,99.7925,18.0664
122442.0000,-0.6016,0.8833,0.4048,-25.5737,72.5708,11.9019
122443.0000,-0.5522,0.8911,0.4038,-23.2544,54.8096,7.9956
122444.0000,-0.4927,0.8994,0.4067,-20.8740,39.1846,4.2114
122445.0000,-0.4082,0.8945,0.4043,-18.3716,23.1323,-0.4883
122446.0000,-0.3486,0.8896,0.4019,-16.8457,14.4043,-3.5400
122447.0000,-0.3008,0.8784,0.4067,-14.7095,8.1177,-6.0425
122448.0000,-0.2559,0.8750,0.3994,-11.5967,2.6245,-8.4229
122449.0000,-0.2324,0.8960,0.3901,-9.5825,-0.3052,-9.2773
122450.0000,-0.2095,0.9170,0.3848,-8.4229,-2.2583,-9.3994
122451.0000,-0.1812,0.9268,0.3853,-7.9956,-3.1128,-9.3384
122452.0000,-0.1753,0.9160,0.3911,-8.1787,-2.8076,-9.0942
122453.0000,-0.1851,0.8965,0.3999,-7.6294,-2.2583,-8.7891
122454.0000,-0.2061,0.8730,0.4106,-5.7983,-2.3193,-8.1787
122455.0000,-0.2168,0.8745,0.4116,-3.6621,-3.2349,-7.8735
122456.0000,-0.2246,0.8936,0.4092,-1.4038,-4.7607,-7.6904
122457.0000,-0.2134,0.9263,0.4062,0.8545,-6.7139,-7.2021
122458.0000,-0.2056,0.9399,0.4048,1.7700,-8.0566,-6.8359
122459.0000,-0.1943,0.9404,0.3989,2.4414,-9.1553,-6.4087
122460.0000,-0.1909,0.9385,0.4028,3.0518,-9.4604,-6.3477
122461.0000,-0.1958,0.9375,0.4102,3.6011,-9.8267,-6.4697
122462.0000,-0.2188,0.9307,0.4106,4.8218,-10.6201,-7.2021
122463.0000,-0.2402,0.9248,0.4131,5.9204,-12.3291,-7.8125
122464.0000,-0.2510,0.9219,0.4121,7.5073,-14.8315,-7.9346
122465.0000,-0.2637,0.9199,0.4136,9.5215,-18.6768,-7.7515
122466.0000,-0.2773,0.9189,0.4126,10.9863,-21.9727,-7.7515
122467.0000,-0.3042,0.9185,0.4116,12.4512,-25.6958,-7.9956
122468.0000,-0.3286,0.9072,0.4219,14.6484,-32.3486,-8.7280
122469.0000,-0.3447,0.8975,0.4199,16.7847,-38.5132,-10.1318
122470.0000,-0.3643,0.8877,0.4180,18.7988,-45.2271,-12.2070
122471.0000,-0.3892,0.8843,0.4058,21.8506,-55.9692,-15.9302
122472.0000,-0.4185,0.8789,0.3965,24.4141,-65.1245,-19.8364
122473.0000,-0.4575,0.8735,0.3916,27.2827,-75.3174,-24.6582
122474.0000,-0.5112,0.8760,0.3726,31.0669,-90.5762,-31.9824
122475.0000,-0.5547,0.8823,0.3521,34.7900,-103.4546,-38.0249
122476.0000,-0.5854,0.8677,0.3428,37.2314,-117.8589,-44.4946
122477.0000,-0.6143,0.8813,0.3115,41.4429,-138.6108,-53.0396
122478.0000,-0.6064,0.9004,0.2856,42.9688,-155.1514,-59.0820
122479.0000,-0.5728,0.9341,0.2661,43.9453,-171.0205,-64.9414
122480.0000,-0.5190,0.9648,0.2539,44.4336,-189.2700,-72.5098
122481.0000,-0.4844,0.9531,0.2358,44.6777,-200.8057,-78.1250
122482.0000,-0.4600,0.9287,0.2056,45.4102,-210.6934,-83.6182
122483.0000,-0.4551,0.9141,0.1753,47.9736,-221.8018,-90.7593
122484.0000,-0.4658,0.9219,0.1621,50.8423,-229.6143,-95.5200
122485.0000,-0.4810,0.9429,0.1543,54.1992,-237.3047,-99.6094
122486.0000,-0.4902,0.9609,0.1416,58.5327,-247.8027,-103.3325
122487.0000,-0.4741,0.9551,0.1230,61.5845,-255.5542,-104.6143
122488.0000,-0.4473,0.9331,0.1040,65.0024,-262.6343,-105.6519
122489.0000,-0.4077,0.9141,0.0679,68.9087,-269.1040,-106.7505
122490.0000,-0.3799,0.9448,0.0586,71.1060,-271.9116,-107.9102
122491.0000,-0.3579,0.9941,0.0659,71.9604,-273.0713,-109.1309
