timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
117037.0000,-0.3159,0.8716,0.4697,-7.2021,8.7891,6.1646
117038.0000,-0.3154,0.8652,0.4683,-6.8359,9.0942,5.9814
117039.0000,-0.3125,0.8647,0.4707,-6.4697,9.6436,6.1035
117040.0000,-0.3135,0.8657,0.4683,-5.7373,10.3149,5.9814
117041.0000,-0.3115,0.8677,0.4688,-5.3101,10.6812,5.9814
117042.0000,-0.3081,0.8672,0.4663,-5.1270,11.2915,5.8594
117043.0000,-0.3091,0.8755,0.4683,-5.0049,12.1460,5.7983
117044.0000,-0.3105,0.8813,0.4692,-5.1270,12.8174,5.7983
117045.0000,-0.3130,0.8843,0.4697,-5.4932,13.3667,5.8594
117046.0000,-0.3193,0.8794,0.4727,-5.9814,14.2822,6.1646
117047.0000,-0.3203,0.8750,0.4712,-6.2256,14.7705,6.4087
117048.0000,-0.3228,0.8721,0.4722,-6.2256,15.1978,6.4697
117049.0000,-0.3218,0.8696,0.4722,-6.0425,15.6860,7.0801
117050.0000,-0.3223,0.8706,0.4717,-5.8594,16.1133,7.5684
117051.0000,-0.3203,0.8740,0.4731,-5.7373,16.5405,8.0566
117052.0000,-0.3184,0.8735,0.4712,-5.6152,17.0288,8.6060
117053.0000,-0.3159,0.8755,0.4668,-5.5542,17.3340,8.9111
117054.0000,-0.3198,0.8765,0.4678,-5.3711,17.7612,9.5215
117055.0000,-0.3223,0.8779,0.4727,-4.9438,18.2495,10.4980
117056.0000,-0.3223,0.8726,0.4712,-4.5776,18.4937,11.3525
117057.0000,-0.3228,0.8691,0.4668,-4.2725,18.7378,11.8408
117058.0000,-0.3174,0.8730,0.4697,-3.7842,19.2261,12.3291
117059.0000,-0.3140,0.8813,0.4727,-3.4790,19.7144,12.6343
117060.0000,-0.3110,0.8916,0.4678,-3.6011,20.2026,12.6343
117061.0000,-0.3066,0.8955,0.4663,-4.0283,20.8130,12.6343
117062.0000,-0.3037,0.8931,0.4648,-4.5166,21.6675,12.5122
117063.0000,-0.3022,0.8940,0.4668,-4.7607,22.5220,12.5122
117064.0000,-0.3018,0.9028,0.4634,-5.3711,23.8647,12.6953
117065.0000,-0.2949,0.9072,0.4639,-5.9814,24.8413,13.1226
117066.0000,-0.2856,0.9077,0.4575,-6.7749,26.0620,14.2822
117067.0000,-0.2739,0.9077,0.4565,-7.5073,28.2593,15.9302
117068.0000,-0.2700,0.9067,0.4551,-8.2397,30.5176,17.0898
117069.0000,-0.2705,0.9043,0.4541,-8.9111,32.5317,18.1274
117070.0000,-0.2671,0.8994,0.4502,-9.5825,35.1562,19.2261
117071.0000,-0.2632,0.8950,0.4497,-10.0098,37.3535,20.2637
117072.0000,-0.2622,0.8857,0.4482,-10.1318,39.6729,21.1792
117073.0000,-0.2607,0.8823,0.4478,-10.0708,42.6025,22.8882
117074.0000,-0.2568,0.8843,0.4468,-9.9487,45.1050,24.7192
117075.0000,-0.2524,0.8877,0.4468,-9.8267,47.5464,26.3672
117076.0000,-0.2480,0.8950,0.4492,-9.5825,51.1475,29.3579
117077.0000,-0.2388,0.8970,0.4414,-9.7046,54.1992,31.6162
117078.0000,-0.2183,0.9072,0.4370,-9.8877,57.7393,34.1187
117079.0000,-0.1914,0.9229,0.4253,-10.2539,63.4766,38.3301
117080.0000,-0.1567,0.9272,0.4102,-11.0474,69.0918,42.5415
117081.0000,-0.1147,0.9360,0.3975,-12.0850,76.2329,47.6685
117082.0000,-0.0425,0.9570,0.3848,-13.5498,88.8672,55.4810
117083.0000,0.0068,0.9707,0.3657,-14.8926,101.1963,61.9507
117084.0000,0.0391,0.9863,0.3413,-16.4795,115.7227,68.2373
117085.0000,0.0581,1.0142,0.3101,-18.8599,136.8408,77.0264
117086.0000,0.0654,1.0312,0.2710,-21.1182,153.5645,84.2896
117087.0000,0.0698,1.0527,0.2339,-23.4985,170.6543,91.9800
117088.0000,0.0674,1.1143,0.1865,-27.7710,193.7866,103.7598
117089.0000,0.0723,1.1504,0.1499,-31.9824,210.9375,114.1968
117090.0000,0.0942,1.1377,0.0918,-38.2690,233.4595,129.0283
117091.0000,0.1021,1.1064,0.0557,-41.0767,250.7935,138.5498
117092.0000,0.0781,1.0840,0.0264,-41.7480,268.4937,145.8130
117093.0000,-0.0039,1.0884,-0.0063,-41.3208,289.3066,152.2217
117094.0000,-0.0732,1.1035,-0.0220,-41.5649,300.4150,154.9683
117095.0000,-0.1152,1.1279,-0.0435,-41.5649,307.8613,156.0669
117096.0000,-0.1504,1.1567,-0.0508,-44.6167,314.2090,156.3110
117097.0000,-0.1567,1.1777,-0.0654,-47.1802,317.1997,156.0669
117098.0000,-0.1592,1.1885,-0.0713,-50.1099,319.2139,154.6631
117099.0000,-0.1753,1.1826,-0.0596,-54.0771,320.6177,151.5503
117100.0000,-0.1948,1.1475,-0.0474,-56.8848,320.1904,148.1934
117101.0000,-0.2319,1.0732,-0.0259,-57.1289,318.6035,143.8599
117102.0000,-0.2832,1.0347,-0.0220,-56.7627,313.1104,135.9863
117103.0000,-0.3340,0.9995,0.0239,-54.5654,306.5796,128.3569
117104.0000,-0.4028,0.9883,0.0635,-49.1943,297.4243,119.1406
117105.0000,-0.4766,0.9951,0.1221,-45.2881,279.9072,105.6519
117106.0000,-0.5146,1.0093,0.1665,-43.8232,263.3057,94.3604
117107.0000,-0.5498,1.0034,0.2168,-43.2129,244.9951,81.8481
117108.0000,-0.6079,0.9727,0.2969,-42.3584,218.0176,64.7583
117109.0000,-0.6494,0.9541,0.3428,-40.6494,195.1904,52.4902
117110.0000,-0.6694,0.9541,0.3745,-39.1235,170.2271,41.3818
117111.0000,-0.6494,0.9868,0.4062,-37.7197,134.8877,29.0527
117112.0000,-0.6006,1.0005,0.4316,-37.2314,109.8022,21.7896
117113.0000,-0.5459,0.9995,0.4399,-37.1094,87.4634,15.9302
117114.0000,-0.4663,0.9888,0.4365,-37.0483,60.9131,10.3760
117115.0000,-0.3779,0.9834,0.4346,-36.9263,45.0439,7.1411
117116.0000,-0.2866,0.9688,0.4443,-36.4380,34.2407,4.9438
117117.0000,-0.1855,0.9224,0.4731,-34.6069,26.3672,4.0283
117118.0000,-0.1226,0.8823,0.4893,-32.1655,24.5972,4.5166
117119.0000,-0.0757,0.8555,0.4971,-28.6255,25.3906,5.1270
117120.0000,-0.0708,0.8594,0.4951,-23.4985,28.0762,5.2490
117121.0000,-0.0874,0.8828,0.4907,-20.5688,29.6631,6.0425
117122.0000,-0.0918,0.8984,0.4858,-18.6157,30.3955,7.3242
117123.0000,-0.1011,0.8975,0.4878,-17.5171,30.7007,8.1787
117124.0000,-0.1255,0.8916,0.4980,-16.4185,29.8462,8.2397
117125.0000,-0.1528,0.8701,0.5171,-15.0146,27.6489,7.9346
117126.0000,-0.1870,0.8403,0.5342,-12.1460,22.5830,5.7983
117127.0000,-0.1992,0.8423,0.5376,-9.4604,17.2729,3.6011
117128.0000,-0.1870,0.8687,0.5376,-7.2632,11.5967,1.7700
117129.0000,-0.1528,0.9116,0.5156,-6.1035,4.8828,0.0610
117130.0000,-0.1353,0.9282,0.4976,-6.7749,1.0986,-0.2441
117131.0000,-0.1089,0.9268,0.4839,-7.3242,-1.7090,-0.4883
117132.0000,-0.0737,0.9067,0.4980,-7.6904,-2.8076,-0.7324
117133.0000,-0.0669,0.8672,0.5205,-6.3477,-2.5024,-1.3428
117134.0000,-0.0820,0.8296,0.5366,-3.5400,-2.3804,-2.0752
117135.0000,-0.0884,0.8291,0.5376,1.9531,-3.5400,-2.7466
117136.0000,-0.0732,0.8711,0.5200,5.0049,-4.3945,-3.1738
117137.0000,-0.0737,0.9258,0.4971,6.4697,-4.6387,-2.8687
117138.0000,-0.0547,0.9722,0.4766,5.7983,-4.9438,-1.3428
117139.0000,-0.0356,0.9810,0.4624,4.2114,-4.2725,0.3662
117140.0000,-0.0190,0.9673,0.4644,2.8687,-2.5024,2.0752
117141.0000,-0.0317,0.9194,0.4780,2.9297,0.4272,2.7466
117142.0000,-0.0674,0.8984,0.4849,4.3335,1.4038,2.3804
117143.0000,-0.0923,0.9023,0.4863,6.2256,0.7324,1.4648
117144.0000,-0.0996,0.9292,0.4771,7.6904,-2.4414,0.0000
117145.0000,-0.0835,0.9526,0.4624,7.6904,-4.6387,-0.9155
117146.0000,-0.0605,0.9780,0.4434,6.7749,-5.9814,-1.0376
117147.0000,-0.0415,0.9878,0.4336,5.0049,-6.1646,-0.5493
117148.0000,-0.0317,0.9717,0.4321,4.1504,-5.4932,-0.1831
117149.0000,-0.0327,0.9536,0.4390,3.9673,-4.3945,-0.3052
117150.0000,-0.0449,0.9478,0.4443,4.0894,-3.1128,-1.1597
117151.0000,-0.0640,0.9478,0.4468,4.4556,-2.8076,-1.6479
117152.0000,-0.0708,0.9512,0.4473,4.5166,-3.4180,-2.0752
117153.0000,-0.0703,0.9678,0.4429,4.3335,-4.5776,-2.4414
117154.0000,-0.0659,0.9751,0.4399,3.6621,-5.1880,-2.1973
117155.0000,-0.0693,0.9717,0.4448,2.9907,-5.5542,-1.7700
117156.0000,-0.0786,0.9678,0.4507,2.5635,-6.2256,-1.6479
117157.0000,-0.0820,0.9556,0.4561,2.6245,-7.0190,-1.5259
117158.0000,-0.0840,0.9404,0.4590,3.1128,-8.1177,-1.8921
117159.0000,-0.1016,0.9326,0.4595,4.2114,-9.7046,-2.9297
117160.0000,-0.1133,0.9331,0.4614,4.8218,-11.4136,-4.3945
117161.0000,-0.1240,0.9302,0.4595,5.3101,-13.4888,-5.9204
117162.0000,-0.1387,0.9346,0.4512,6.1646,-16.9067,-7.7515
117163.0000,-0.1333,0.9507,0.4517,6.5918,-19.8364,-8.6060
117164.0000,-0.1294,0.9600,0.4531,6.5918,-22.3389,-8.9111
117165.0000,-0.1484,0.9546,0.4624,6.5918,-25.3296,-9.3384
117166.0000,-0.1733,0.9434,0.4771,6.9580,-28.3203,-9.8267
117167.0000,-0.2041,0.9258,0.4888,8.1787,-32.2266,-10.6201
117168.0000,-0.2539,0.8979,0.5078,10.3760,-39.7339,-12.2070
117169.0000,-0.2891,0.8789,0.5137,13.0005,-47.1191,-14.0381
117170.0000,-0.3184,0.8677,0.5146,16.1743,-56.2134,-16.7236
117171.0000,-0.3433,0.8687,0.5039,20.5688,-70.1904,-21.3623
117172.0000,-0.3545,0.8721,0.4912,23.6206,-81.7261,-25.6958
117173.0000,-0.3608,0.8770,0.4741,26.4282,-93.8110,-30.6396
117174.0000,-0.3740,0.8965,0.4551,29.9683,-110.2905,-38.5132
117175.0000,-0.3765,0.9214,0.4380,31.9214,-122.9248,-44.4336
117176.0000,-0.3765,0.9429,0.4126,33.1421,-135.6201,-50.6592
117177.0000,-0.3662,0.9683,0.3887,34.3018,-152.5879,-58.8989
117178.0000,-0.3564,0.9727,0.3608,34.8511,-164.7339,-65.0024
117179.0000,-0.3413,0.9556,0.3359,35.8276,-176.1475,-71.1060
117180.0000,-0.3369,0.9165,0.3018,38.4521,-189.8804,-80.2002
117181.0000,-0.3423,0.9194,0.2778,41.0767,-199.4019,-87.7075
117182.0000,-0.3447,0.9531,0.2559,43.3350,-208.4961,-95.2759
117183.0000,-0.3301,1.0176,0.2354,44.4336,-219.6655,-103.9429
117184.0000,-0.3135,1.0576,0.2246,43.9453,-227.2949,-109.4971
117185.0000,-0.2998,1.0747,0.2158,42.7246,-234.4971,-113.2202
117186.0000,-0.2788,1.0659,0.1919,40.5884,-242.9199,-115.8447
117187.0000,-0.2583,1.0527,0.1807,39.7949,-248.4131,-117.0044
117188.0000,-0.2368,1.0444,0.1685,39.2456,-252.8076,-117.8589
117189.0000,-0.2144,1.0332,0.1641,39.6118,-257.0190,-119.6899
117190.0000,-0.1948,1.0195,0.1528,40.3442,-258.7280,-121.5820
117191.0000,-0.1797,1.0127,0.1528,41.5039,-259.0332,-123.4131
117192.0000,-0.1641,1.0249,0.1489,43.7012,-257.6294,-125.1831
117193.0000,-0.1528,1.0332,0.1528,45.2271,-255.3711,-125.3662
117194.0000,-0.1392,1.0269,0.1626,46.4478,-251.0986,-123.6572
117195.0000,-0.1294,1.0098,0.1587,46.9360,-247.4365,-120.9717
