timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
126512.0000,-0.4102,0.8628,0.3633,-1.4038,19.2261,2.8687
126513.0000,-0.4121,0.8555,0.3584,-0.9155,18.6157,3.3569
126514.0000,-0.4136,0.8511,0.3540,-0.1221,17.7612,3.9062
126515.0000,-0.4170,0.8633,0.3579,1.4648,16.2354,4.6997
126516.0000,-0.4136,0.8711,0.3584,2.5024,14.9536,5.7373
126517.0000,-0.4077,0.8760,0.3569,3.2959,13.6719,6.7139
126518.0000,-0.4053,0.8848,0.3525,3.5400,11.9629,8.3008
126519.0000,-0.4053,0.8896,0.3481,3.1738,10.6812,9.2163
126520.0000,-0.4043,0.8916,0.3467,3.0518,9.6436,9.7656
126521.0000,-0.4004,0.8940,0.3481,3.1738,8.4229,10.1929
126522.0000,-0.3984,0.8950,0.3481,3.2959,7.6294,10.1318
126523.0000,-0.3970,0.8896,0.3413,3.4790,6.7139,9.8267
126524.0000,-0.3955,0.8823,0.3398,3.9673,5.3101,9.3994
126525.0000,-0.3901,0.8809,0.3394,4.7607,4.5776,9.0332
126526.0000,-0.3887,0.8779,0.3384,5.4932,3.7231,8.5449
126527.0000,-0.3877,0.8853,0.3345,6.5308,2.5024,8.0566
126528.0000,-0.3882,0.8911,0.3330,7.1411,1.7700,7.6294
126529.0000,-0.3882,0.8994,0.3311,7.6294,0.9766,7.3853
126530.0000,-0.3848,0.9014,0.3301,7.8125,-0.1831,7.2021
126531.0000,-0.3813,0.8984,0.3218,7.9346,-0.8545,7.3853
126532.0000,-0.3789,0.8979,0.3193,7.9956,-1.4038,7.6294
126533.0000,-0.3726,0.9121,0.3218,8.4229,-1.8311,7.9346
126534.0000,-0.3672,0.9238,0.3247,8.4229,-2.1362,8.3618
126535.0000,-0.3604,0.9248,0.3232,8.3008,-2.7466,8.7280
126536.0000,-0.3501,0.9199,0.3188,8.0566,-3.1738,8.4839
126537.0000,-0.3433,0.9170,0.3159,7.9346,-3.1738,7.9956
126538.0000,-0.3364,0.9189,0.3159,7.9346,-3.1128,6.9580
126539.0000,-0.3345,0.9170,0.3105,7.7515,-2.5024,5.0049
126540.0000,-0.3354,0.9229,0.3096,7.3242,-1.8921,3.5400
126541.0000,-0.3379,0.9214,0.3081,6.7749,-1.3428,2.0752
126542.0000,-0.3394,0.9170,0.3013,6.0425,-0.9766,0.7324
126543.0000,-0.3413,0.9165,0.3027,5.6152,-0.5493,-0.1221
126544.0000,-0.3462,0.9126,0.3037,5.3101,-0.4272,-0.5493
126545.0000,-0.3467,0.9141,0.2993,5.0659,-0.4883,-0.9766
126546.0000,-0.3472,0.9189,0.2988,5.0659,-0.7935,-1.0376
126547.0000,-0.3438,0.9224,0.3032,4.9438,-1.0376,-1.1597
