timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
133364.0000,-0.4146,0.8979,0.2583,1.1597,-2.5635,-4.2114
133365.0000,-0.4146,0.8911,0.2583,0.6104,-2.3193,-4.1504
133366.0000,-0.4185,0.8877,0.2603,0.4272,-2.0142,-4.5776
133367.0000,-0.4189,0.8853,0.2603,0.3052,-1.5259,-5.0659
133368.0000,-0.4209,0.8872,0.2603,0.5493,-1.0376,-5.5542
133369.0000,-0.4229,0.8867,0.2603,0.5493,-0.5493,-5.7373
133370.0000,-0.4199,0.8906,0.2617,0.4883,-0.3662,-5.6763
133371.0000,-0.4199,0.8916,0.2603,0.1221,-0.1831,-5.4321
133372.0000,-0.4238,0.8940,0.2617,-0.3052,0.0610,-5.1270
133373.0000,-0.4204,0.8936,0.2627,-0.9155,0.1831,-4.6387
133374.0000,-0.4185,0.8940,0.2651,-1.3428,0.4272,-4.2725
133375.0000,-0.4204,0.8921,0.2632,-1.9531,0.8545,-4.1504
133376.0000,-0.4219,0.8848,0.2627,-2.4414,1.2207,-3.9673
133377.0000,-0.4263,0.8823,0.2642,-2.4414,1.4038,-3.7231
133378.0000,-0.4292,0.8818,0.2651,-2.4414,1.6479,-3.6011
133379.0000,-0.4346,0.8833,0.2705,-2.3193,2.0752,-3.7231
133380.0000,-0.4370,0.8833,0.2632,-2.0752,2.2583,-3.8452
133381.0000,-0.4424,0.8828,0.2700,-2.0142,2.2583,-3.7231
133382.0000,-0.4404,0.8823,0.2695,-2.0752,1.9531,-3.2959
133383.0000,-0.4399,0.8813,0.2705,-1.9531,1.6479,-2.9907
133384.0000,-0.4395,0.8779,0.2681,-1.8311,1.3428,-2.6855
133385.0000,-0.4399,0.8760,0.2705,-1.6479,0.9155,-2.1973
133386.0000,-0.4404,0.8755,0.2725,-1.4648,0.6714,-2.0752
133387.0000,-0.4414,0.8755,0.2734,-0.9766,0.2441,-1.9531
133388.0000,-0.4429,0.8735,0.2720,-0.7324,-0.1221,-2.1362
133389.0000,-0.4448,0.8735,0.2715,-0.5493,-0.5493,-2.3804
133390.0000,-0.4443,0.8711,0.2754,-0.3052,-1.1597,-2.6245
133391.0000,-0.4443,0.8672,0.2725,0.0000,-1.7700,-3.0518
133392.0000,-0.4434,0.8687,0.2700,0.3052,-2.1973,-3.2349
133393.0000,-0.4399,0.8740,0.2764,0.7324,-2.5024,-3.4790
133394.0000,-0.4424,0.8735,0.2749,0.9766,-3.2349,-3.4180
133395.0000,-0.4375,0.8687,0.2720,1.1597,-3.7842,-3.5400
133396.0000,-0.4365,0.8647,0.2744,1.5869,-4.2725,-3.6011
133397.0000,-0.4346,0.8667,0.2710,2.1362,-4.6387,-3.7842
133398.0000,-0.4355,0.8657,0.2690,2.7466,-4.8828,-4.0894
133399.0000,-0.4409,0.8662,0.2686,3.1738,-5.3101,-4.0894
133400.0000,-0.4429,0.8730,0.2632,3.4790,-5.6152,-4.0894
133401.0000,-0.4429,0.8784,0.2632,3.6011,-5.9204,-4.5776
133402.0000,-0.4438,0.8804,0.2607,3.5400,-5.9814,-4.6997
133403.0000,-0.4434,0.8833,0.2661,3.1738,-6.2866,-4.6997
133404.0000,-0.4458,0.8779,0.2661,3.1128,-6.4697,-4.8828
133405.0000,-0.4468,0.8774,0.2681,2.9907,-6.5918,-4.8218
133406.0000,-0.4497,0.8765,0.2681,2.8687,-7.0190,-4.9438
133407.0000,-0.4526,0.8740,0.2705,3.0518,-7.5073,-4.9438
133408.0000,-0.4619,0.8735,0.2744,3.2349,-8.1787,-4.8828
