timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
135806.0000,-0.3325,0.9185,0.3101,4.3335,-5.7983,-5.4321
135807.0000,-0.3345,0.9229,0.3076,4.3335,-6.1646,-5.0049
135808.0000,-0.3325,0.9233,0.3066,4.5776,-6.5308,-4.8828
135809.0000,-0.3345,0.9224,0.3101,4.6997,-6.5918,-5.2490
135810.0000,-0.3389,0.9214,0.3057,4.8218,-6.5308,-5.8594
135811.0000,-0.3438,0.9165,0.3013,4.8218,-6.5308,-6.6528
135812.0000,-0.3467,0.9131,0.3003,4.8218,-6.8970,-7.6904
135813.0000,-0.3501,0.9121,0.2939,4.7607,-7.0801,-8.1787
135814.0000,-0.3477,0.9126,0.2964,4.6387,-7.2632,-8.4839
135815.0000,-0.3511,0.9180,0.2964,4.6997,-7.7515,-8.3008
135816.0000,-0.3506,0.9258,0.3066,4.5166,-8.0566,-7.9956
135817.0000,-0.3535,0.9287,0.3047,4.2114,-8.6670,-7.6904
135818.0000,-0.3564,0.9268,0.3062,3.6011,-9.2773,-7.6294
135819.0000,-0.3599,0.9233,0.3037,3.2349,-9.7046,-7.8735
135820.0000,-0.3599,0.9209,0.3062,2.8076,-10.0098,-8.1787
135821.0000,-0.3618,0.9238,0.3076,2.5024,-10.1929,-8.8501
135822.0000,-0.3647,0.9189,0.3081,2.3193,-10.4980,-9.2773
135823.0000,-0.3628,0.9219,0.3096,2.0752,-10.8032,-9.3384
135824.0000,-0.3667,0.9141,0.3076,1.8921,-11.3525,-8.8501
135825.0000,-0.3623,0.9121,0.3105,1.8921,-11.7188,-8.3008
135826.0000,-0.3589,0.9165,0.3140,2.0142,-12.1460,-7.5684
135827.0000,-0.3594,0.9116,0.3140,2.0142,-12.7563,-6.7749
135828.0000,-0.3560,0.9116,0.3174,2.2583,-13.1836,-6.4087
135829.0000,-0.3535,0.9131,0.3164,2.3804,-13.6719,-6.1646
135830.0000,-0.3516,0.9126,0.3203,2.5024,-13.9160,-6.7749
135831.0000,-0.3525,0.9106,0.3218,2.5024,-14.0991,-7.0801
