timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
128732.0000,-0.3994,0.8481,0.4492,-3.3569,27.2827,15.0146
128733.0000,-0.4058,0.8599,0.4463,-2.1973,26.3062,14.8315
128734.0000,-0.4067,0.8687,0.4482,-1.6479,25.0244,14.1602
128735.0000,-0.4077,0.8730,0.4424,-0.7935,23.4375,13.3057
128736.0000,-0.4028,0.8706,0.4409,-0.1221,22.4609,12.5732
128737.0000,-0.4014,0.8701,0.4380,0.3052,21.4233,11.9629
128738.0000,-0.3984,0.8687,0.4370,0.6104,20.0195,11.2305
128739.0000,-0.3979,0.8652,0.4321,1.2207,19.1040,11.1694
128740.0000,-0.3950,0.8628,0.4243,1.2817,18.0054,11.1694
128741.0000,-0.3921,0.8584,0.4243,2.3804,16.7236,10.9863
128742.0000,-0.3906,0.8530,0.4224,3.2349,15.7471,10.8643
128743.0000,-0.3862,0.8486,0.4165,4.4556,14.8926,10.7422
128744.0000,-0.3779,0.8472,0.4072,6.0425,13.9771,11.0474
128745.0000,-0.3711,0.8511,0.4028,7.3242,13.3667,11.3525
128746.0000,-0.3643,0.8599,0.4023,8.4229,13.0615,11.8408
128747.0000,-0.3540,0.8804,0.3994,10.1929,13.0005,12.2681
128748.0000,-0.3501,0.8921,0.4004,11.4136,12.9395,12.5122
128749.0000,-0.3433,0.8999,0.3945,12.6343,13.0615,12.3291
128750.0000,-0.3345,0.9141,0.3896,14.4043,13.3667,12.3901
128751.0000,-0.3311,0.9229,0.3823,15.6250,13.6719,12.3291
128752.0000,-0.3252,0.9263,0.3755,16.6626,14.0381,12.6953
128753.0000,-0.3149,0.9199,0.3623,19.0430,14.0381,13.9160
128754.0000,-0.3066,0.8979,0.3516,20.2026,13.7329,15.1367
128755.0000,-0.3042,0.8813,0.3223,22.5220,13.0005,16.3574
128756.0000,-0.2871,0.8940,0.3018,24.9634,12.1460,18.0664
128757.0000,-0.2788,0.9136,0.2954,26.1841,11.6577,18.4937
128758.0000,-0.2715,0.9277,0.2744,25.8789,11.0474,18.6768
128759.0000,-0.2520,0.9385,0.2515,25.9399,10.3149,18.3716
128760.0000,-0.2417,0.9521,0.2334,25.6348,10.1929,17.6392
128761.0000,-0.2378,0.9512,0.2109,24.2920,9.5825,17.2119
