timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
34667.0000,-0.5137,0.9463,0.4106,8.1787,-12.0850,0.5493
34668.0000,-0.5063,0.9224,0.4082,11.7188,-10.8643,-6.0425
34669.0000,-0.5161,0.9116,0.4087,13.8550,-9.3384,-11.6577
34670.0000,-0.5400,0.9429,0.4053,15.4419,-8.1177,-17.1509
34671.0000,-0.5562,1.0684,0.4370,16.7847,-8.0566,-21.9727
34672.0000,-0.5532,1.1577,0.4629,16.6626,-9.2773,-22.7661
34673.0000,-0.5317,1.2329,0.4956,15.6860,-11.3525,-21.4233
34674.0000,-0.4810,1.3369,0.5127,13.3667,-14.2212,-17.5171
34675.0000,-0.4478,1.4185,0.5361,11.6577,-15.6250,-14.5264
34676.0000,-0.4258,1.4653,0.5635,9.8877,-16.1133,-12.4512
34677.0000,-0.4106,1.4297,0.5640,7.9956,-14.8315,-12.5732
34678.0000,-0.4326,1.3613,0.5444,7.4463,-12.9395,-15.8081
34679.0000,-0.4668,1.3101,0.5332,8.3008,-10.9863,-22.1558
34680.0000,-0.5239,1.2642,0.5273,11.2915,-8.5449,-33.9355
34681.0000,-0.5635,1.2173,0.5127,14.0991,-7.6294,-42.9688
34682.0000,-0.5918,1.1597,0.4917,16.6626,-7.4463,-50.5981
34683.0000,-0.6167,1.1089,0.4609,19.3481,-8.2397,-57.1899
34684.0000,-0.6362,1.1055,0.4521,20.6909,-8.7280,-59.8145
34685.0000,-0.6484,1.0952,0.4536,21.7285,-9.5215,-61.0962
34686.0000,-0.6353,1.0142,0.4219,22.0337,-11.7188,-61.7065
34687.0000,-0.6074,0.9448,0.3926,21.9116,-13.9160,-61.4014
34688.0000,-0.5718,0.9087,0.3750,21.6064,-16.1133,-60.7300
34689.0000,-0.5161,0.9023,0.3774,20.4468,-18.6157,-59.3872
34690.0000,-0.4731,0.8994,0.3721,19.1040,-20.0806,-57.8613
34691.0000,-0.4302,0.8862,0.3677,17.2119,-21.4233,-55.6030
34692.0000,-0.3843,0.8770,0.3652,14.4653,-21.7896,-51.9409
34693.0000,-0.3574,0.8892,0.3623,12.0850,-21.8506,-48.6450
34694.0000,-0.3242,0.9077,0.3677,9.7656,-21.9727,-44.8608
34695.0000,-0.2822,0.9336,0.3716,6.9580,-21.7285,-38.5132
34696.0000,-0.2554,0.9526,0.3691,5.4321,-21.1792,-33.1421
34697.0000,-0.2314,0.9688,0.3760,4.3335,-20.0195,-27.3438
34698.0000,-0.2017,0.9805,0.3813,2.8076,-17.6392,-20.3247
34699.0000,-0.1934,0.9609,0.3843,1.7700,-15.2588,-16.4795
34700.0000,-0.2026,0.9326,0.3760,0.6104,-12.5732,-13.8550
34701.0000,-0.2222,0.9141,0.3750,-0.6714,-8.4229,-12.8784
34702.0000,-0.2451,0.9126,0.3809,-1.5259,-5.0049,-13.4888
34703.0000,-0.2661,0.9297,0.3931,-2.1362,-1.9531,-14.8315
34704.0000,-0.2837,0.9536,0.4067,-2.3193,1.0376,-15.3198
34705.0000,-0.2891,0.9453,0.4038,-2.6245,2.7466,-15.0757
34706.0000,-0.2979,0.9253,0.4009,-2.5024,3.9062,-14.4653
34707.0000,-0.3052,0.9062,0.3921,-2.6855,5.2490,-12.9395
34708.0000,-0.3105,0.8911,0.3892,-2.5024,6.1646,-11.8408
34709.0000,-0.3174,0.8765,0.3882,-2.8687,6.2256,-10.2539
34710.0000,-0.3037,0.8789,0.3867,-2.5024,6.0425,-7.5073
34711.0000,-0.2939,0.8984,0.3936,-2.3804,6.2256,-5.6152
34712.0000,-0.2979,0.9053,0.3970,-1.8311,6.8970,-3.8452
34713.0000,-0.3115,0.9048,0.3989,-0.7324,7.7515,-2.3804
34714.0000,-0.3286,0.8901,0.3945,0.9155,8.3008,-2.0142
34715.0000,-0.3467,0.8745,0.3896,2.2583,8.4229,-2.4414
34716.0000,-0.3687,0.8804,0.3921,3.8452,7.2632,-2.0752
34717.0000,-0.3696,0.9126,0.3979,4.2114,5.2490,-0.5493
34718.0000,-0.3540,0.9468,0.4077,3.9673,2.6245,2.0752
34719.0000,-0.3301,0.9702,0.4082,2.1362,-0.6104,6.7139
34720.0000,-0.3174,0.9976,0.4199,0.6104,-2.2583,10.0098
34721.0000,-0.3115,1.0234,0.4263,-1.7090,-3.1738,12.2681
34722.0000,-0.2983,0.9927,0.4204,-5.2490,-4.1504,13.7939
34723.0000,-0.2749,0.9487,0.4077,-8.1177,-4.7607,14.3433
34724.0000,-0.2549,0.9175,0.4019,-10.6812,-4.9438,14.2212
34725.0000,-0.2212,0.8853,0.4058,-12.5122,-3.7231,13.9160
34726.0000,-0.2090,0.8647,0.4004,-13.1836,-2.2583,13.7329
34727.0000,-0.1992,0.8804,0.4116,-13.3057,-0.5493,13.3667
34728.0000,-0.2021,0.8936,0.4209,-13.0615,0.1221,13.4888
34729.0000,-0.1934,0.8984,0.4224,-12.4512,0.6104,14.5264
34730.0000,-0.1743,0.9106,0.4243,-10.8643,1.1597,16.7236
34731.0000,-0.1660,0.9004,0.4238,-9.5215,1.5869,19.1040
34732.0000,-0.1504,0.8765,0.4106,-8.0566,1.5869,22.4609
34733.0000,-0.1357,0.8633,0.4023,-5.7983,1.7090,27.2217
34734.0000,-0.1279,0.8403,0.3926,-4.2114,1.8311,30.5786
34735.0000,-0.1221,0.8188,0.3809,-2.7466,1.8921,33.6914
34736.0000,-0.1069,0.8242,0.3755,-0.4272,2.5635,36.4990
34737.0000,-0.1074,0.8364,0.3774,1.2817,3.7231,36.8652
34738.0000,-0.1123,0.8467,0.3755,2.7466,5.3101,36.2549
34739.0000,-0.1323,0.8486,0.3726,4.0894,7.3242,33.4473
34740.0000,-0.1558,0.8457,0.3711,4.6997,8.7280,29.7241
34741.0000,-0.1753,0.8496,0.3691,5.3711,10.0098,25.6348
34742.0000,-0.1890,0.8843,0.3711,6.1646,11.1694,21.1792
34743.0000,-0.1968,0.9355,0.3779,6.7749,11.8408,18.6768
34744.0000,-0.2114,1.0156,0.3979,7.4463,13.0005,16.5405
34745.0000,-0.2471,1.1299,0.4380,7.5073,15.3198,12.8784
