timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
175539.0000,-0.3755,0.8955,0.3403,-0.7324,0.4883,-0.8545
175540.0000,-0.3770,0.8955,0.3442,-0.7935,0.6104,-0.7324
175541.0000,-0.3770,0.8950,0.3413,-0.7935,0.6104,-0.7324
175542.0000,-0.3755,0.8940,0.3428,-0.6714,0.6714,-0.7324
175543.0000,-0.3770,0.8936,0.3413,-0.7935,0.6104,-0.7935
175544.0000,-0.3779,0.8936,0.3428,-0.7324,0.7324,-0.7324
175545.0000,-0.3774,0.8945,0.3442,-0.7935,0.6714,-0.5493
175546.0000,-0.3755,0.8940,0.3423,-0.7324,0.6104,-0.5493
175547.0000,-0.3770,0.8931,0.3403,-0.8545,0.7324,-0.4272
175548.0000,-0.3774,0.8901,0.3442,-0.6714,0.6104,-0.4883
175549.0000,-0.3770,0.8901,0.3462,-0.6714,0.6104,-0.3052
175550.0000,-0.3745,0.8892,0.3457,-0.5493,0.6104,-0.3662
175551.0000,-0.3730,0.8896,0.3462,-0.3662,0.5493,-0.4272
175552.0000,-0.3735,0.8887,0.3428,-0.2441,0.4883,-0.6104
175553.0000,-0.3721,0.8892,0.3413,-0.0610,0.4883,-0.6104
175554.0000,-0.3726,0.8892,0.3418,0.0000,0.5493,-0.7935
175555.0000,-0.3765,0.8911,0.3433,0.0000,0.2441,-1.0986
175556.0000,-0.3765,0.8936,0.3442,0.1221,0.3052,-0.9155
175557.0000,-0.3755,0.8936,0.3428,0.1221,0.1221,-1.0986
175558.0000,-0.3750,0.8916,0.3413,0.0610,0.0610,-1.1597
175559.0000,-0.3750,0.8926,0.3452,0.1831,-0.0610,-1.0376
175560.0000,-0.3721,0.8926,0.3462,0.4883,0.1221,-0.9155
175561.0000,-0.3711,0.8955,0.3423,0.4272,0.1831,-0.8545
175562.0000,-0.3750,0.9004,0.3379,0.1831,0.1221,-1.0376
175563.0000,-0.3740,0.8955,0.3423,-0.0610,0.1831,-0.7935
175564.0000,-0.3691,0.8931,0.3428,-0.3052,0.1831,-0.9766
175565.0000,-0.3687,0.8970,0.3462,-0.1831,0.4272,-1.0376
175566.0000,-0.3750,0.8999,0.3467,-0.2441,0.5493,-1.0376
175567.0000,-0.3740,0.8931,0.3462,-0.4272,0.6104,-0.9766
175568.0000,-0.3706,0.8843,0.3428,-0.1831,0.5493,-1.0986
175569.0000,-0.3726,0.8794,0.3452,0.5493,0.7935,-1.1597
175570.0000,-0.3765,0.8818,0.3447,1.0376,0.9155,-1.2207
175571.0000,-0.3789,0.8906,0.3398,1.5259,0.8545,-1.2207
175572.0000,-0.3823,0.9033,0.3398,1.7090,0.7324,-1.0986
175573.0000,-0.3848,0.9067,0.3379,1.2817,0.4883,-0.9155
175574.0000,-0.3813,0.9082,0.3384,0.6714,0.2441,-0.9155
175575.0000,-0.3770,0.9023,0.3335,0.0000,-0.0610,-0.9155
175576.0000,-0.3774,0.8950,0.3369,-0.3052,-0.2441,-0.9155
175577.0000,-0.3750,0.8926,0.3384,-0.4272,-0.1831,-0.9155
175578.0000,-0.3687,0.8936,0.3384,-0.3052,-0.0610,-0.9766
175579.0000,-0.3677,0.8945,0.3384,-0.1831,0.1221,-0.9766
175580.0000,-0.3691,0.8965,0.3398,-0.3052,0.5493,-0.9766
175581.0000,-0.3687,0.8979,0.3398,-0.4883,0.8545,-0.9766
175582.0000,-0.3687,0.8984,0.3384,-0.6104,1.0376,-1.0986
175583.0000,-0.3716,0.8940,0.3408,-0.8545,1.3428,-1.0986
175584.0000,-0.3750,0.8896,0.3413,-0.7935,1.4038,-1.0376
175585.0000,-0.3765,0.8906,0.3433,-0.7935,1.4648,-0.9766
175586.0000,-0.3789,0.8921,0.3433,-0.6714,1.4648,-1.0376
175587.0000,-0.3804,0.8896,0.3442,-0.4883,1.2207,-1.0986
