timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
15050.0000,-0.2686,0.8198,0.4258,0.1831,3.0518,-7.8125
15051.0000,-0.2837,0.8203,0.4282,0.2441,5.6152,-11.4136
15052.0000,-0.2979,0.8091,0.4253,0.2441,6.8359,-13.8550
15053.0000,-0.2993,0.8184,0.4297,0.0610,7.7515,-15.6250
15054.0000,-0.3037,0.8296,0.4385,-0.1831,8.3618,-16.2354
15055.0000,-0.3135,0.8193,0.4380,-0.5493,8.6670,-16.5405
15056.0000,-0.3174,0.8115,0.4312,-1.4038,8.9111,-16.7236
15057.0000,-0.3179,0.8320,0.4409,-1.8311,9.0942,-17.3340
15058.0000,-0.3208,0.8306,0.4438,-2.5024,9.5825,-18.3105
15059.0000,-0.3174,0.7939,0.4297,-3.4180,10.1929,-20.1416
15060.0000,-0.3105,0.7715,0.4199,-4.1504,10.9253,-21.6675
15061.0000,-0.3213,0.7676,0.4106,-4.6997,12.2681,-23.1323
15062.0000,-0.3457,0.7812,0.4136,-4.8828,14.1602,-23.6816
15063.0000,-0.3691,0.7944,0.4180,-4.6997,14.8926,-22.5830
15064.0000,-0.3887,0.7896,0.4150,-4.7607,14.5874,-19.7754
15065.0000,-0.3892,0.7505,0.4009,-4.5776,12.2681,-14.1602
15066.0000,-0.3687,0.7231,0.3862,-4.2725,10.6201,-10.3149
15067.0000,-0.3516,0.6938,0.3770,-3.8452,9.5215,-7.2632
15068.0000,-0.3213,0.6167,0.3413,-3.7231,8.6670,-4.2114
15069.0000,-0.2983,0.5503,0.3037,-3.6011,7.9346,-2.3804
15070.0000,-0.2744,0.4912,0.2681,-4.0283,7.3242,-0.7935
15071.0000,-0.2461,0.4385,0.2319,-5.0659,7.8735,0.6104
15072.0000,-0.2378,0.4233,0.2129,-6.2866,9.3994,1.5259
15073.0000,-0.2437,0.4360,0.2114,-7.5073,11.1694,2.2583
15074.0000,-0.2588,0.4941,0.2373,-8.7891,13.6719,4.5166
15075.0000,-0.2739,0.5195,0.2568,-9.0332,14.6484,6.0425
15076.0000,-0.2935,0.5063,0.2622,-8.6060,15.3198,7.0190
15077.0000,-0.3306,0.4541,0.2534,-7.3853,16.3574,6.2256
15078.0000,-0.3633,0.4287,0.2505,-5.3711,17.1509,4.3945
15079.0000,-0.4038,0.4258,0.2417,-2.8687,18.1885,2.1362
15080.0000,-0.4614,0.4565,0.2363,-0.3662,19.7754,-0.6714
15081.0000,-0.5029,0.5020,0.2334,0.6104,20.2026,-1.8311
15082.0000,-0.5195,0.5518,0.2397,0.6104,18.7378,-0.5493
15083.0000,-0.5151,0.6172,0.2676,0.0000,15.1367,5.4321
15084.0000,-0.5078,0.6572,0.2842,-0.6104,12.2681,11.6577
15085.0000,-0.4961,0.6831,0.3018,-1.2207,9.5825,16.9067
15086.0000,-0.4556,0.7002,0.3130,-2.1362,7.4463,19.2871
15087.0000,-0.4644,0.7007,0.3184,-2.9297,8.0566,17.0288
15088.0000,-0.5015,0.6973,0.3105,-3.9062,9.3384,13.9160
15089.0000,-0.5454,0.6855,0.3022,-4.3335,10.9253,10.6201
15090.0000,-0.5796,0.6968,0.2949,-3.3569,12.0850,9.2163
15091.0000,-0.6074,0.7329,0.3086,-1.5259,12.6343,9.4604
15092.0000,-0.6255,0.7935,0.3320,1.0986,10.8032,13.4277
15093.0000,-0.6113,0.8589,0.3486,2.3193,7.8125,19.6533
15094.0000,-0.5747,0.9233,0.3594,1.9531,4.1504,25.4517
15095.0000,-0.5029,0.9409,0.3706,-1.0986,1.0986,29.1748
15096.0000,-0.4600,0.8789,0.3608,-4.0283,1.2817,27.6489
15097.0000,-0.4600,0.7861,0.3364,-6.7749,2.9297,23.9258
15098.0000,-0.5181,0.7104,0.3193,-8.1177,5.1270,19.5312
15099.0000,-0.5601,0.7246,0.3296,-7.1411,5.3711,18.7988
15100.0000,-0.5801,0.7744,0.3579,-5.5542,4.3335,19.6533
15101.0000,-0.5835,0.8276,0.3687,-4.0894,1.5259,22.7661
15102.0000,-0.5576,0.8794,0.3789,-3.7231,-0.8545,26.0620
15103.0000,-0.5166,0.9336,0.4004,-4.3945,-2.5635,29.1138
15104.0000,-0.4536,0.9492,0.4272,-5.8594,-3.5400,31.0059
15105.0000,-0.4111,0.8896,0.4111,-6.9580,-2.9907,30.3955
15106.0000,-0.3999,0.8203,0.3838,-6.9580,-1.0376,27.7710
15107.0000,-0.4312,0.7695,0.3721,-5.0049,2.1362,21.9116
15108.0000,-0.4790,0.7861,0.3638,-2.6855,3.6011,18.2495
15109.0000,-0.5010,0.8447,0.3730,-0.8545,3.1128,16.2354
15110.0000,-0.5029,0.8955,0.3857,0.6104,1.0376,16.0522
15111.0000,-0.4883,0.9009,0.3862,0.6714,-1.6479,17.6392
15112.0000,-0.4653,0.9185,0.3965,0.0000,-3.4180,18.4326
15113.0000,-0.4546,0.9268,0.4082,-1.4038,-3.8452,17.3340
15114.0000,-0.4634,0.9062,0.4111,-2.3193,-3.7842,14.9536
15115.0000,-0.4731,0.8916,0.4043,-2.2583,-3.6621,12.1460
15116.0000,-0.4795,0.9160,0.4116,-1.5259,-2.6245,9.1553
15117.0000,-0.4814,0.9028,0.4072,-0.5493,-2.3193,9.5215
15118.0000,-0.4653,0.8701,0.3896,0.4272,-2.7466,10.8643
15119.0000,-0.4663,0.9033,0.3936,1.8311,-3.4180,11.4136
15120.0000,-0.4712,0.9204,0.4058,1.7090,-4.3945,11.7798
15121.0000,-0.4414,0.9019,0.3838,0.4883,-6.1646,13.4888
15122.0000,-0.4136,0.8809,0.3755,-0.1221,-7.3853,14.2822
15123.0000,-0.3862,0.8682,0.3784,-0.3662,-7.4463,14.0381
15124.0000,-0.4092,0.9160,0.4102,-0.6104,-5.6152,14.4653
15125.0000,-0.4048,0.9106,0.4209,-0.7324,-4.8828,14.4653
15126.0000,-0.4341,0.8813,0.4092,-0.2441,-2.6245,12.8784
15127.0000,-0.4824,0.8604,0.4058,1.4648,-0.0610,9.9487
15128.0000,-0.5049,0.8994,0.4209,3.5400,1.5259,7.0801
15129.0000,-0.5107,0.9316,0.4302,5.3101,2.5635,5.1880
15130.0000,-0.4966,0.9482,0.4204,6.9580,2.8687,5.7373
15131.0000,-0.4790,0.9229,0.4146,7.8735,1.9531,8.5449
15132.0000,-0.4673,0.9077,0.3872,8.3008,0.9766,12.3901
15133.0000,-0.4478,0.9214,0.3784,8.9111,0.4272,15.2588
15134.0000,-0.4365,0.9448,0.3784,9.2163,0.9155,16.2964
15135.0000,-0.4287,0.9492,0.3877,8.4839,1.3428,17.0288
15136.0000,-0.4326,0.9370,0.3765,6.8970,1.4648,17.3340
15137.0000,-0.4409,0.9556,0.3892,5.3101,1.6479,16.1133
15138.0000,-0.4487,0.9800,0.4048,4.2114,2.0142,14.1602
