timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
158942.0000,-0.2339,0.8750,0.5054,16.1133,-121.3379,-14.1602
158943.0000,-0.1875,0.8931,0.5005,15.0146,-120.1172,-15.2588
158944.0000,-0.1416,0.9121,0.5000,13.1836,-117.6758,-16.6016
158945.0000,-0.0986,0.9199,0.5127,10.4980,-111.6333,-17.2729
158946.0000,-0.1016,0.9067,0.5337,9.0332,-106.6895,-16.3574
158947.0000,-0.1104,0.8774,0.5430,7.5684,-102.7222,-14.8926
158948.0000,-0.1055,0.8506,0.5566,7.9956,-97.3511,-12.5732
158949.0000,-0.0859,0.8623,0.5693,8.7891,-92.8345,-11.4136
158950.0000,-0.0659,0.8809,0.5757,8.8501,-87.7686,-10.6812
158951.0000,-0.0425,0.8887,0.5845,8.1787,-79.9561,-9.8877
158952.0000,-0.0249,0.8911,0.5884,6.8359,-73.9136,-9.5825
158953.0000,-0.0049,0.8901,0.5942,5.0659,-67.3218,-9.2163
158954.0000,0.0054,0.8887,0.6025,3.3569,-57.6782,-8.3618
158955.0000,-0.0010,0.8848,0.6069,2.0142,-50.7202,-7.0801
158956.0000,-0.0034,0.8711,0.6143,0.9766,-44.2505,-5.0659
158957.0000,-0.0181,0.8555,0.6167,-0.0610,-36.2549,-2.5635
158958.0000,-0.0352,0.8506,0.6221,-0.1831,-30.6396,-0.1831
158959.0000,-0.0488,0.8467,0.6270,0.0000,-25.7568,1.7090
158960.0000,-0.0571,0.8384,0.6274,0.7935,-20.5078,3.8452
158961.0000,-0.0605,0.8418,0.6313,1.4038,-16.5405,4.4556
158962.0000,-0.0654,0.8442,0.6328,1.6479,-13.0005,4.5166
158963.0000,-0.0659,0.8472,0.6323,1.8311,-8.6060,4.3335
158964.0000,-0.0654,0.8511,0.6279,1.7700,-5.4932,3.6011
158965.0000,-0.0693,0.8555,0.6279,1.5869,-2.4414,2.8687
158966.0000,-0.0815,0.8564,0.6274,0.9155,1.0986,2.3804
158967.0000,-0.0947,0.8545,0.6279,0.3662,3.0518,2.2583
158968.0000,-0.1099,0.8569,0.6323,0.3662,4.5776,2.3804
158969.0000,-0.1294,0.8579,0.6333,0.3052,5.7373,3.1128
158970.0000,-0.1411,0.8569,0.6289,0.1831,5.9814,3.9673
158971.0000,-0.1499,0.8525,0.6294,0.1831,5.7373,4.6387
158972.0000,-0.1577,0.8477,0.6323,0.4272,4.7607,5.2490
158973.0000,-0.1553,0.8506,0.6284,0.6104,4.0894,5.1880
158974.0000,-0.1514,0.8589,0.6313,0.7324,3.3569,4.5166
158975.0000,-0.1392,0.8721,0.6245,0.3052,2.8687,3.7231
158976.0000,-0.1357,0.8799,0.6240,-0.4883,2.9907,3.2959
158977.0000,-0.1387,0.8813,0.6182,-1.4038,3.2349,2.9297
158978.0000,-0.1450,0.8711,0.6206,-2.2583,3.4180,3.3569
158979.0000,-0.1538,0.8628,0.6211,-2.5024,3.0518,3.8452
158980.0000,-0.1572,0.8599,0.6191,-2.5024,2.8076,4.4556
158981.0000,-0.1553,0.8633,0.6206,-2.2583,2.3804,5.1880
158982.0000,-0.1499,0.8677,0.6206,-2.2583,2.1973,5.2490
158983.0000,-0.1421,0.8721,0.6187,-2.5024,2.3804,5.1880
158984.0000,-0.1338,0.8701,0.6201,-2.9907,2.6245,4.9438
158985.0000,-0.1318,0.8682,0.6226,-3.4180,2.9297,4.2114
158986.0000,-0.1323,0.8657,0.6255,-3.7231,3.4790,3.8452
158987.0000,-0.1323,0.8560,0.6318,-3.9062,3.7842,3.2959
158988.0000,-0.1333,0.8496,0.6313,-3.7842,3.8452,2.9297
158989.0000,-0.1343,0.8457,0.6353,-3.2959,3.9673,2.6855
158990.0000,-0.1270,0.8472,0.6411,-2.6245,4.2114,2.5024
158991.0000,-0.1201,0.8472,0.6367,-2.0142,4.5776,2.5024
158992.0000,-0.1118,0.8496,0.6353,-1.4648,5.1270,2.1973
158993.0000,-0.0942,0.8516,0.6343,-1.0376,6.6528,1.9531
158994.0000,-0.0806,0.8506,0.6372,-0.7935,8.2397,1.7700
158995.0000,-0.0728,0.8530,0.6323,-0.7935,10.1929,1.9531
158996.0000,-0.0737,0.8530,0.6323,-0.9155,13.3667,3.0518
158997.0000,-0.0820,0.8525,0.6396,-0.9766,15.6250,5.0659
158998.0000,-0.0981,0.8481,0.6460,-0.4883,17.4561,7.8735
158999.0000,-0.1147,0.8418,0.6479,0.4883,19.1040,11.5356
159000.0000,-0.1216,0.8433,0.6445,1.4038,19.7754,13.6108
159001.0000,-0.1284,0.8423,0.6431,2.2583,20.2026,15.0757
159002.0000,-0.1318,0.8433,0.6445,3.3569,20.3857,15.9302
159003.0000,-0.1343,0.8496,0.6367,4.1504,20.4468,15.6250
159004.0000,-0.1406,0.8628,0.6338,4.7607,20.2026,15.0757
159005.0000,-0.1475,0.8687,0.6313,4.6997,19.6533,14.7705
159006.0000,-0.1582,0.8706,0.6309,4.6997,18.8599,14.6484
159007.0000,-0.1714,0.8730,0.6270,4.3945,17.0898,15.0757
159008.0000,-0.1787,0.8696,0.6245,4.4556,15.1978,15.4419
159009.0000,-0.1836,0.8667,0.6260,4.4556,13.1836,15.7471
159010.0000,-0.1836,0.8672,0.6250,4.4556,10.1318,16.2354
159011.0000,-0.1831,0.8701,0.6211,4.3335,8.0566,16.9678
159012.0000,-0.1772,0.8701,0.6216,4.2725,5.9204,18.4326
159013.0000,-0.1709,0.8721,0.6216,4.1504,3.2959,21.8506
159014.0000,-0.1553,0.8735,0.6216,4.3335,1.8311,25.3296
159015.0000,-0.1406,0.8755,0.6260,4.5776,0.8545,28.6865
159016.0000,-0.1299,0.8765,0.6216,4.9438,0.3052,32.3486
159017.0000,-0.1333,0.8779,0.6216,5.0659,0.1831,34.6680
159018.0000,-0.1362,0.8770,0.6172,5.3101,-0.1831,37.3535
159019.0000,-0.1475,0.8838,0.6240,5.3711,-1.0986,42.2363
159020.0000,-0.1475,0.8828,0.6260,5.4321,-2.2583,47.3633
159021.0000,-0.1357,0.8818,0.6235,5.4321,-3.7231,53.4058
159022.0000,-0.1050,0.8818,0.6226,5.4932,-5.1270,60.3638
159023.0000,-0.0825,0.8784,0.6167,5.4932,-5.5542,63.2324
159024.0000,-0.0649,0.8716,0.6099,5.4932,-5.3711,63.7817
159025.0000,-0.0366,0.8672,0.6035,5.5542,-4.5166,61.2183
159026.0000,-0.0190,0.8652,0.6030,5.7373,-3.4790,57.8613
159027.0000,-0.0073,0.8652,0.5986,6.0425,-2.4414,54.8096
159028.0000,0.0103,0.8633,0.5967,6.5918,-1.2817,51.0254
159029.0000,0.0205,0.8628,0.5991,7.0801,-0.4883,48.5229
159030.0000,0.0269,0.8652,0.5977,7.8125,0.1221,46.0205
159031.0000,0.0356,0.8696,0.5977,8.7280,0.6714,42.9688
159032.0000,0.0435,0.8755,0.5903,9.2163,1.0986,40.6494
159033.0000,0.0522,0.8838,0.5894,9.3994,1.3428,38.2690
159034.0000,0.0649,0.8936,0.5859,9.2773,1.7700,35.2173
159035.0000,0.0742,0.8989,0.5840,8.8501,2.0752,32.8979
159036.0000,0.0854,0.9038,0.5796,8.1787,2.7466,30.4565
159037.0000,0.0923,0.9106,0.5796,7.1411,3.3569,27.3438
159038.0000,0.0942,0.9136,0.5820,6.1646,3.7842,25.2075
159039.0000,0.0952,0.9146,0.5796,5.2490,4.0283,23.0103
159040.0000,0.0952,0.9136,0.5825,3.9673,4.6387,20.6299
159041.0000,0.0947,0.9126,0.5835,3.1128,4.9438,19.1650
159042.0000,0.0967,0.9087,0.5825,2.5024,5.0659,18.6768
159043.0000,0.1011,0.9097,0.5854,1.6479,5.4932,18.9209
159044.0000,0.1069,0.9058,0.5840,1.1597,5.9204,19.3481
159045.0000,0.1143,0.8970,0.5859,0.9766,6.5308,19.4092
159046.0000,0.1191,0.8882,0.5859,1.2817,7.5684,18.9819
159047.0000,0.1172,0.8892,0.5801,1.7090,8.4229,18.1885
159048.0000,0.1167,0.8945,0.5825,1.9531,9.3384,17.4561
159049.0000,0.1221,0.8921,0.5811,2.3804,10.1929,16.8457
159050.0000,0.1255,0.8872,0.5786,2.7466,10.9253,16.5405
159051.0000,0.1270,0.8857,0.5806,3.1738,11.7798,16.1743
159052.0000,0.1318,0.8906,0.5820,3.6621,12.8174,15.6860
159053.0000,0.1348,0.8931,0.5791,3.9673,13.8550,15.1367
159054.0000,0.1411,0.8979,0.5820,4.0894,15.2588,14.3433
159055.0000,0.1499,0.9028,0.5791,4.0283,17.2119,13.3057
159056.0000,0.1582,0.9004,0.5742,3.7231,19.0430,12.2681
159057.0000,0.1636,0.9004,0.5703,3.7231,21.1182,11.2305
159058.0000,0.1616,0.8994,0.5757,4.2725,23.8647,10.3149
159059.0000,0.1602,0.8979,0.5718,4.6387,25.6348,10.4980
159060.0000,0.1558,0.8994,0.5698,4.9438,27.4048,11.4746
159061.0000,0.1465,0.8979,0.5732,5.1270,29.1748,12.9395
159062.0000,0.1387,0.8901,0.5742,5.4321,30.3345,13.6108
159063.0000,0.1309,0.8838,0.5767,5.6763,31.0059,13.5498
159064.0000,0.1265,0.8774,0.5791,6.7139,31.7993,12.8784
159065.0000,0.1265,0.8735,0.5752,7.3242,32.4707,11.7188
159066.0000,0.1343,0.8740,0.5693,7.8735,33.2031,10.1929
159067.0000,0.1411,0.8911,0.5767,8.6060,34.8511,7.9346
159068.0000,0.1401,0.9111,0.5796,9.0332,36.3159,6.8359
159069.0000,0.1382,0.9214,0.5776,8.7280,37.7197,6.5308
159070.0000,0.1377,0.9243,0.5698,7.8735,38.9404,7.3853
159071.0000,0.1343,0.9272,0.5620,7.0190,39.9780,8.1787
159072.0000,0.1240,0.9258,0.5601,5.9204,40.7715,8.6670
159073.0000,0.1152,0.9248,0.5610,4.5776,41.5649,8.6670
159074.0000,0.1157,0.9194,0.5610,3.5400,41.9922,8.2397
159075.0000,0.1289,0.9082,0.5576,2.3804,42.6025,7.3242
159076.0000,0.1387,0.9019,0.5630,1.7700,44.3726,5.0659
159077.0000,0.1387,0.9033,0.5659,1.5869,46.3257,3.4790
159078.0000,0.1396,0.9082,0.5708,1.4038,48.3398,2.4414
159079.0000,0.1353,0.9165,0.5742,1.4648,51.1475,2.0752
159080.0000,0.1235,0.9141,0.5786,1.5259,53.1006,2.7466
159081.0000,0.1162,0.9077,0.5693,1.7090,54.4434,4.0283
159082.0000,0.1084,0.8970,0.5615,1.8311,56.1523,5.3101
159083.0000,0.0913,0.8999,0.5620,2.5024,57.4341,6.0425
159084.0000,0.0825,0.9053,0.5659,2.3804,58.1665,6.4697
159085.0000,0.0796,0.9023,0.5620,2.1973,58.8379,6.4697
159086.0000,0.0786,0.8975,0.5571,1.8311,59.5703,6.2866
159087.0000,0.0688,0.8867,0.5601,1.7090,60.4248,6.0425
159088.0000,0.0566,0.8760,0.5664,2.5024,61.3403,6.2256
159089.0000,0.0469,0.8740,0.5659,3.5400,61.6455,6.6528
159090.0000,0.0396,0.8887,0.5713,4.8828,61.7676,7.0801
159091.0000,0.0303,0.8950,0.5737,6.5918,61.7065,8.5449
159092.0000,0.0298,0.8955,0.5645,7.3853,61.2793,10.0708
159093.0000,0.0278,0.9014,0.5664,8.0566,61.0962,11.4136
159094.0000,0.0229,0.9058,0.5601,8.5449,61.0352,12.8174
159095.0000,0.0176,0.9019,0.5605,8.9111,60.8521,13.6719
159096.0000,0.0117,0.8965,0.5605,9.2163,60.3638,14.4043
159097.0000,0.0054,0.8906,0.5547,10.0098,59.6313,14.7095
159098.0000,-0.0044,0.8906,0.5562,10.6812,59.0210,14.3433
159099.0000,-0.0171,0.8994,0.5542,11.4746,58.0444,13.9160
159100.0000,-0.0254,0.9082,0.5537,12.2070,56.0913,13.5498
159101.0000,-0.0308,0.9175,0.5542,12.5732,54.4434,13.2446
159102.0000,-0.0337,0.9243,0.5498,12.8174,52.6123,13.1226
159103.0000,-0.0391,0.9263,0.5459,12.4512,49.9268,13.1226
159104.0000,-0.0386,0.9263,0.5391,12.1460,47.6074,13.2446
159105.0000,-0.0327,0.9292,0.5317,11.7798,45.6543,13.0615
159106.0000,-0.0259,0.9307,0.5356,11.1694,43.4570,12.6343
159107.0000,-0.0161,0.9229,0.5298,10.9863,42.1143,12.3291
