timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
170493.0000,-0.2139,0.9512,0.3262,-3.2959,16.2354,-16.7847
170494.0000,-0.2139,0.9629,0.3213,-4.4556,19.1040,-16.6626
170495.0000,-0.2168,0.9644,0.3174,-5.9204,22.3389,-16.4185
170496.0000,-0.2212,0.9565,0.3154,-7.6904,26.3672,-15.1367
170497.0000,-0.2314,0.9492,0.3149,-8.6670,29.3579,-13.7329
170498.0000,-0.2451,0.9448,0.3149,-9.5215,32.1045,-12.0850
170499.0000,-0.2671,0.9487,0.3140,-10.3149,35.1562,-9.0942
170500.0000,-0.2876,0.9556,0.3188,-10.8032,36.9873,-6.2866
170501.0000,-0.3125,0.9629,0.3193,-11.5356,37.8418,-2.8076
170502.0000,-0.3394,0.9604,0.3213,-12.5732,37.7808,2.3193
170503.0000,-0.3481,0.9531,0.3252,-13.3667,36.8042,5.8594
170504.0000,-0.3506,0.9419,0.3276,-13.7329,35.7666,8.5449
170505.0000,-0.3516,0.9292,0.3281,-13.9771,34.4238,11.1084
170506.0000,-0.3540,0.9229,0.3315,-13.9160,33.1421,11.9629
170507.0000,-0.3506,0.9194,0.3330,-13.7329,31.8604,12.2681
170508.0000,-0.3521,0.9189,0.3403,-13.6108,30.1514,11.8408
170509.0000,-0.3481,0.9224,0.3428,-13.6108,28.6865,11.7188
170510.0000,-0.3481,0.9233,0.3457,-13.4888,27.2217,11.2915
170511.0000,-0.3521,0.9268,0.3511,-13.4888,25.0854,10.9253
170512.0000,-0.3560,0.9316,0.3501,-13.4277,23.3154,10.6812
170513.0000,-0.3633,0.9292,0.3530,-13.6108,21.0571,10.2539
170514.0000,-0.3657,0.9229,0.3560,-13.6719,17.8223,10.0098
170515.0000,-0.3633,0.9165,0.3613,-13.4888,15.2588,9.6436
170516.0000,-0.3579,0.9092,0.3633,-13.1836,12.6343,9.1553
170517.0000,-0.3447,0.9009,0.3672,-12.4512,9.6436,7.9956
170518.0000,-0.3408,0.8960,0.3662,-11.5967,7.3242,6.7749
170519.0000,-0.3320,0.8921,0.3687,-10.8032,5.4932,5.7983
170520.0000,-0.3237,0.8926,0.3730,-9.5825,3.2349,4.0283
170521.0000,-0.3193,0.8901,0.3755,-8.6670,1.7090,3.1128
170522.0000,-0.3140,0.8950,0.3745,-7.8125,0.4272,2.1973
170523.0000,-0.3066,0.8984,0.3765,-6.8359,-1.0376,1.4648
170524.0000,-0.2993,0.8975,0.3779,-6.1035,-2.0752,0.9766
170525.0000,-0.2983,0.9043,0.3789,-5.4932,-2.4414,0.6104
170526.0000,-0.2905,0.9043,0.3789,-4.7607,-3.0518,0.1831
170527.0000,-0.2852,0.9082,0.3784,-4.3945,-3.2349,0.1221
170528.0000,-0.2808,0.9102,0.3774,-3.9062,-3.2349,0.0000
170529.0000,-0.2710,0.9146,0.3804,-3.2959,-2.8076,-0.0610
170530.0000,-0.2695,0.9180,0.3765,-3.1738,-2.4414,-0.0610
170531.0000,-0.2705,0.9209,0.3750,-3.2349,-1.7700,-0.2441
170532.0000,-0.2700,0.9189,0.3765,-3.2959,-1.0986,-0.4272
170533.0000,-0.2686,0.9224,0.3765,-3.3569,-0.4883,-0.6104
170534.0000,-0.2690,0.9263,0.3799,-3.3569,0.6104,-0.7935
170535.0000,-0.2720,0.9297,0.3813,-3.5400,1.2817,-0.8545
170536.0000,-0.2754,0.9229,0.3804,-3.6621,1.6479,-0.7935
170537.0000,-0.2749,0.9141,0.3809,-3.6011,2.2583,-0.6104
170538.0000,-0.2773,0.9131,0.3818,-3.3569,2.8076,-0.6104
170539.0000,-0.2803,0.9131,0.3809,-2.9907,3.1128,-0.4272
170540.0000,-0.2827,0.9194,0.3774,-2.6855,3.3569,-0.1221
170541.0000,-0.2832,0.9248,0.3794,-2.7466,3.6621,0.4272
170542.0000,-0.2856,0.9297,0.3813,-2.9297,3.6011,0.9766
170543.0000,-0.2925,0.9316,0.3784,-3.2959,3.4790,2.0752
170544.0000,-0.2944,0.9316,0.3794,-3.7231,3.1738,3.1128
170545.0000,-0.2974,0.9302,0.3789,-3.6621,2.8687,4.3945
170546.0000,-0.3101,0.9419,0.3848,-3.4790,2.6245,7.8735
170547.0000,-0.3262,0.9478,0.3926,-3.0518,1.8921,13.1226
170548.0000,-0.3276,0.9531,0.3955,-2.6245,0.6714,21.0571
170549.0000,-0.3008,0.9512,0.4033,-1.9531,-1.1597,33.4473
170550.0000,-0.2866,0.9507,0.3970,-1.7700,-1.5869,42.1143
170551.0000,-0.2935,0.9604,0.3950,-1.6479,-1.4038,49.3774
170552.0000,-0.3105,0.9731,0.3926,-2.0752,-1.5869,57.7393
170553.0000,-0.3125,0.9814,0.3843,-2.9297,-2.6855,63.7817
170554.0000,-0.3105,0.9756,0.3853,-4.0283,-4.4556,69.9463
170555.0000,-0.2656,0.9404,0.3799,-5.2490,-7.3853,77.6978
170556.0000,-0.2148,0.9067,0.3750,-5.4321,-8.7891,81.0547
170557.0000,-0.1699,0.8867,0.3740,-4.8218,-8.5449,81.2988
170558.0000,-0.1284,0.8857,0.3735,-3.4180,-6.1035,76.3550
170559.0000,-0.1006,0.8955,0.3711,-2.4414,-3.9062,69.6411
170560.0000,-0.0845,0.9077,0.3750,-1.8921,-1.4038,61.5845
170561.0000,-0.0747,0.9248,0.3750,-1.8921,1.8921,50.1099
170562.0000,-0.0869,0.9341,0.3779,-1.9531,4.0894,42.2363
170563.0000,-0.0986,0.9395,0.3794,-2.0752,5.4321,35.5225
170564.0000,-0.1074,0.9438,0.3813,-2.1362,6.1646,27.7100
170565.0000,-0.1128,0.9478,0.3833,-1.9531,6.1646,22.7661
170566.0000,-0.1113,0.9458,0.3838,-1.8921,5.6763,18.3716
170567.0000,-0.1074,0.9482,0.3794,-1.5869,4.9438,13.8550
170568.0000,-0.1074,0.9512,0.3799,-1.4648,4.2114,10.7422
170569.0000,-0.1099,0.9531,0.3804,-1.3428,3.5400,8.2397
170570.0000,-0.1089,0.9541,0.3823,-1.2207,2.5024,5.3101
170571.0000,-0.1099,0.9551,0.3818,-1.1597,1.7090,3.3569
170572.0000,-0.1104,0.9561,0.3818,-0.9155,1.2817,1.5869
170573.0000,-0.1118,0.9565,0.3848,-0.5493,0.9766,-0.7324
170574.0000,-0.1113,0.9575,0.3828,-0.3662,0.7935,-2.4414
170575.0000,-0.1113,0.9590,0.3843,-0.1221,0.7935,-3.9673
170576.0000,-0.1123,0.9609,0.3867,-0.2441,0.7935,-5.3711
170577.0000,-0.1108,0.9634,0.3867,-0.3052,0.7935,-6.1035
170578.0000,-0.1123,0.9629,0.3848,-0.3662,0.8545,-6.5308
170579.0000,-0.1182,0.9580,0.3857,-0.4883,0.9155,-6.2866
170580.0000,-0.1196,0.9536,0.3838,-0.3052,0.6714,-5.6763
170581.0000,-0.1191,0.9512,0.3843,0.0000,0.6714,-5.1270
170582.0000,-0.1221,0.9517,0.3896,0.6714,0.9155,-4.7607
170583.0000,-0.1265,0.9590,0.3877,0.8545,1.0986,-4.3335
170584.0000,-0.1289,0.9614,0.3872,1.0986,1.2207,-3.9673
170585.0000,-0.1333,0.9648,0.3896,1.2207,1.2207,-3.9062
170586.0000,-0.1338,0.9688,0.3862,1.1597,1.2207,-3.6621
170587.0000,-0.1396,0.9692,0.3838,1.0376,1.1597,-3.4790
170588.0000,-0.1406,0.9717,0.3848,0.8545,0.8545,-3.0518
170589.0000,-0.1396,0.9746,0.3838,0.6714,0.4883,-2.6245
170590.0000,-0.1406,0.9722,0.3833,0.3662,0.0610,-2.0142
170591.0000,-0.1387,0.9692,0.3784,0.0000,-0.4883,-1.4038
170592.0000,-0.1328,0.9644,0.3770,-0.2441,-0.7324,-0.9155
170593.0000,-0.1318,0.9673,0.3838,-0.3052,-0.7935,-0.6104
170594.0000,-0.1279,0.9668,0.3818,-0.3662,-0.8545,-0.6104
170595.0000,-0.1221,0.9648,0.3833,-0.4883,-0.9155,-0.7935
170596.0000,-0.1191,0.9619,0.3823,-0.6714,-0.7935,-1.1597
170597.0000,-0.1162,0.9629,0.3857,-0.7935,-0.4272,-1.8311
170598.0000,-0.1182,0.9639,0.3853,-0.7935,-0.0610,-2.5635
170599.0000,-0.1201,0.9634,0.3838,-0.9766,0.1831,-2.9907
170600.0000,-0.1270,0.9663,0.3892,-1.2207,0.3662,-3.3569
170601.0000,-0.1313,0.9634,0.3853,-1.2207,0.1221,-3.0518
170602.0000,-0.1294,0.9634,0.3877,-1.2817,0.0000,-2.6245
170603.0000,-0.1274,0.9590,0.3857,-1.5259,-0.4883,-1.7700
170604.0000,-0.1265,0.9585,0.3896,-1.5259,-0.3662,-1.5259
170605.0000,-0.1274,0.9595,0.3877,-1.4648,-0.4272,-1.5259
170606.0000,-0.1226,0.9575,0.3901,-1.3428,-0.3052,-1.9531
170607.0000,-0.1201,0.9580,0.3906,-1.4038,-0.1221,-2.5024
170608.0000,-0.1201,0.9561,0.3911,-1.2207,0.1831,-2.9907
170609.0000,-0.1245,0.9556,0.3896,-1.0986,0.5493,-3.4180
170610.0000,-0.1304,0.9590,0.3911,-1.0986,0.6714,-3.6011
170611.0000,-0.1353,0.9609,0.3960,-1.0986,0.6104,-3.2349
170612.0000,-0.1353,0.9604,0.3965,-1.0986,0.1831,-2.6855
170613.0000,-0.1328,0.9575,0.3916,-1.0986,-0.1221,-1.8311
170614.0000,-0.1313,0.9565,0.3896,-0.9155,-0.4272,-1.4648
170615.0000,-0.1299,0.9604,0.3950,-0.9155,-0.5493,-1.2207
