timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
47310.0000,0.2095,0.9263,0.4111,-10.1318,-7.9956,51.5137
47311.0000,0.2158,0.9204,0.4175,-9.8877,-7.8125,46.6309
47312.0000,0.2192,0.9165,0.4243,-9.5825,-7.9346,42.0532
47313.0000,0.2256,0.9194,0.4297,-8.8501,-7.7515,37.0483
47314.0000,0.2280,0.9316,0.4443,-7.4463,-7.6904,30.2734
47315.0000,0.2373,0.9395,0.4473,-6.5308,-7.7515,25.1465
47316.0000,0.2456,0.9492,0.4512,-5.4321,-7.8735,20.0195
47317.0000,0.2510,0.9663,0.4570,-4.5166,-7.7515,14.3433
47318.0000,0.2539,0.9692,0.4565,-4.2114,-7.5684,11.0474
47319.0000,0.2627,0.9609,0.4473,-4.0894,-7.3853,8.4229
47320.0000,0.2646,0.9478,0.4448,-4.2725,-6.8970,6.1035
47321.0000,0.2646,0.9414,0.4434,-4.3945,-6.1035,4.3335
47322.0000,0.2593,0.9355,0.4463,-4.2725,-5.4932,2.8687
47323.0000,0.2603,0.9307,0.4424,-4.1504,-4.6997,0.7935
47324.0000,0.2607,0.9287,0.4443,-4.0283,-4.1504,-0.7935
47325.0000,0.2588,0.9316,0.4434,-3.9062,-3.4790,-2.1973
47326.0000,0.2520,0.9395,0.4463,-3.8452,-2.6245,-3.6621
47327.0000,0.2524,0.9395,0.4463,-3.2959,-2.0752,-3.9062
47328.0000,0.2568,0.9282,0.4492,-3.6011,-1.7090,-3.8452
47329.0000,0.2568,0.9229,0.4482,-2.8076,-0.6714,-3.7231
47330.0000,0.2573,0.9219,0.4468,-2.6245,0.2441,-3.9062
47331.0000,0.2524,0.9180,0.4492,-2.3804,0.9766,-4.4556
47332.0000,0.2520,0.9053,0.4399,-2.3193,1.8311,-5.6152
47333.0000,0.2495,0.8940,0.4414,-2.0142,2.5024,-7.3853
47334.0000,0.2485,0.8921,0.4399,-1.3428,3.4790,-9.5825
47335.0000,0.2476,0.9116,0.4473,0.4272,4.8218,-13.1836
47336.0000,0.2407,0.9492,0.4575,1.7700,5.9814,-14.3433
47337.0000,0.2397,0.9604,0.4565,2.3804,6.4697,-14.4653
47338.0000,0.2285,0.9580,0.4487,1.4648,6.3477,-13.2446
47339.0000,0.2241,0.9478,0.4482,1.7090,6.1035,-12.0850
47340.0000,0.2197,0.9419,0.4424,1.7090,6.0425,-11.4136
47341.0000,0.2061,0.9434,0.4370,1.3428,5.9204,-12.0850
47342.0000,0.2041,0.9487,0.4419,1.2207,5.7373,-13.7329
47343.0000,0.2002,0.9565,0.4434,1.2207,5.9204,-15.7471
47344.0000,0.1997,0.9678,0.4424,1.2207,6.6528,-18.4937
47345.0000,0.1924,0.9800,0.4487,1.2207,7.4463,-19.4702
47346.0000,0.1880,0.9722,0.4414,0.9155,7.7515,-19.3481
47347.0000,0.1753,0.9575,0.4316,0.1831,8.1787,-18.1885
47348.0000,0.1636,0.9536,0.4355,0.0000,8.2397,-16.4795
47349.0000,0.1587,0.9531,0.4321,-0.3052,7.9956,-15.0757
47350.0000,0.1528,0.9497,0.4336,-1.0376,7.5684,-13.5498
47351.0000,0.1499,0.9492,0.4336,-1.0986,7.5073,-12.8784
47352.0000,0.1484,0.9502,0.4346,-1.1597,7.4463,-12.6343
47353.0000,0.1489,0.9497,0.4370,-1.0376,7.4463,-12.3291
47354.0000,0.1445,0.9507,0.4380,-0.9155,7.5684,-12.3901
47355.0000,0.1392,0.9463,0.4390,-0.7324,7.7515,-12.6953
47356.0000,0.1284,0.9468,0.4336,-0.3662,8.1177,-13.0005
47357.0000,0.1187,0.9556,0.4365,-0.1221,7.9956,-12.5732
