timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
52357.0000,0.0820,0.9297,0.4531,-0.9766,-3.4180,1.1597
52358.0000,0.0840,0.9282,0.4492,0.0610,-2.6855,0.6714
52359.0000,0.0845,0.9351,0.4492,1.1597,-1.7090,-0.6104
52360.0000,0.0879,0.9399,0.4473,1.8311,-0.9766,-1.4648
52361.0000,0.0938,0.9370,0.4468,2.3804,-0.1831,-2.6245
52362.0000,0.0938,0.9414,0.4448,3.0518,1.3428,-4.4556
52363.0000,0.0850,0.9521,0.4429,3.3569,2.4414,-5.4932
52364.0000,0.0762,0.9595,0.4399,3.2959,3.0518,-6.1035
52365.0000,0.0620,0.9624,0.4414,3.0518,3.7231,-6.4087
52366.0000,0.0557,0.9614,0.4375,2.8687,3.8452,-6.2256
52367.0000,0.0537,0.9541,0.4326,2.5635,3.9062,-5.9814
52368.0000,0.0557,0.9512,0.4351,2.1973,3.7842,-5.8594
52369.0000,0.0605,0.9526,0.4321,2.0142,3.9062,-6.2866
52370.0000,0.0654,0.9497,0.4307,1.9531,4.2114,-7.3242
52371.0000,0.0718,0.9478,0.4326,2.0752,4.7607,-9.4604
52372.0000,0.0737,0.9580,0.4355,2.3193,5.4932,-11.5356
52373.0000,0.0698,0.9741,0.4390,2.5024,6.3477,-13.1226
52374.0000,0.0630,0.9819,0.4399,2.3193,7.1411,-13.6719
52375.0000,0.0444,0.9727,0.4321,1.7090,7.1411,-12.3291
52376.0000,0.0278,0.9678,0.4268,1.0376,6.7139,-9.7046
52377.0000,0.0171,0.9692,0.4292,0.2441,5.7983,-6.1035
52378.0000,0.0020,0.9629,0.4331,-0.1831,5.1270,-4.0894
52379.0000,-0.0059,0.9458,0.4316,0.0000,4.0283,-2.7466
52380.0000,0.0005,0.9458,0.4297,0.3052,3.1128,-2.5635
52381.0000,0.0049,0.9517,0.4346,0.6104,2.6855,-2.8687
52382.0000,0.0112,0.9609,0.4360,0.9766,2.5635,-3.1738
52383.0000,0.0181,0.9658,0.4380,1.2207,2.5635,-3.6011
52384.0000,0.0225,0.9653,0.4360,1.2817,2.6855,-3.7842
52385.0000,0.0254,0.9639,0.4321,1.1597,2.8687,-4.2725
52386.0000,0.0278,0.9707,0.4292,0.9766,3.2349,-4.7607
52387.0000,0.0273,0.9736,0.4287,0.6714,3.6011,-4.8828
52388.0000,0.0273,0.9668,0.4287,0.1831,4.0894,-5.1270
52389.0000,0.0200,0.9639,0.4277,-0.2441,4.2725,-5.3711
52390.0000,0.0142,0.9629,0.4292,-0.3662,4.3945,-5.6763
52391.0000,0.0063,0.9614,0.4297,-0.4272,4.2725,-6.3477
52392.0000,0.0024,0.9580,0.4292,-0.4272,4.3335,-7.1411
52393.0000,-0.0015,0.9580,0.4312,-0.3052,4.0894,-7.5684
52394.0000,-0.0024,0.9580,0.4268,-0.1221,3.6621,-8.2397
52395.0000,0.0010,0.9575,0.4297,-0.1221,3.4790,-8.6060
52396.0000,-0.0020,0.9575,0.4312,0.1221,3.1738,-8.6670
52397.0000,0.0029,0.9546,0.4253,0.1831,2.8076,-9.0942
52398.0000,0.0020,0.9531,0.4263,0.3052,2.7466,-9.6436
52399.0000,0.0034,0.9551,0.4272,0.4272,2.7466,-10.1929
52400.0000,0.0024,0.9551,0.4292,0.7324,2.5024,-11.1694
52401.0000,0.0010,0.9502,0.4263,0.6104,2.3804,-11.5967
52402.0000,-0.0059,0.9517,0.4224,0.6104,2.7466,-11.3525
52403.0000,-0.0171,0.9614,0.4282,0.7935,2.6245,-10.4370
52404.0000,-0.0229,0.9644,0.4297,0.7935,2.5635,-9.3994
52405.0000,-0.0283,0.9629,0.4258,1.0376,2.5024,-8.5449
52406.0000,-0.0347,0.9629,0.4248,1.0376,2.3193,-7.6294
52407.0000,-0.0317,0.9658,0.4277,0.9766,2.1973,-6.7749
52408.0000,-0.0293,0.9668,0.4248,0.7935,2.1973,-6.1035
52409.0000,-0.0283,0.9668,0.4272,0.6714,2.3804,-5.4932
52410.0000,-0.0259,0.9683,0.4253,0.8545,2.5024,-5.2490
52411.0000,-0.0273,0.9668,0.4277,0.7324,2.6855,-5.1880
52412.0000,-0.0186,0.9673,0.4272,0.5493,2.7466,-5.4932
52413.0000,-0.0127,0.9658,0.4277,0.4883,3.1128,-5.9814
52414.0000,-0.0073,0.9634,0.4307,0.3662,3.5400,-6.7139
52415.0000,-0.0015,0.9551,0.4287,0.2441,4.1504,-8.3618
52416.0000,-0.0020,0.9541,0.4277,0.5493,4.7607,-9.8877
52417.0000,-0.0020,0.9580,0.4316,0.6104,5.3711,-11.4136
52418.0000,-0.0049,0.9600,0.4312,0.7935,6.0425,-13.4888
52419.0000,-0.0039,0.9590,0.4302,0.7935,6.4087,-14.7705
52420.0000,-0.0073,0.9565,0.4268,0.7935,6.8359,-16.3574
52421.0000,-0.0093,0.9536,0.4268,0.8545,7.1411,-18.7378
52422.0000,-0.0054,0.9575,0.4268,0.9155,7.4463,-20.6299
52423.0000,0.0000,0.9609,0.4277,0.9155,7.9956,-23.1323
52424.0000,0.0063,0.9692,0.4336,1.2207,9.0332,-27.2217
52425.0000,0.0093,0.9692,0.4316,1.4038,10.3760,-31.3721
52426.0000,0.0068,0.9546,0.4287,1.5869,11.9629,-36.1938
52427.0000,0.0088,0.9370,0.4219,2.1362,13.9160,-43.8232
52428.0000,0.0103,0.9307,0.4194,2.6245,15.8081,-49.7437
52429.0000,0.0073,0.9292,0.4238,2.9297,17.7612,-55.5420
52430.0000,0.0034,0.9194,0.4180,3.3569,20.2026,-62.8052
52431.0000,-0.0010,0.9121,0.4160,3.5400,21.7896,-67.5659
52432.0000,-0.0049,0.9097,0.4146,3.7842,23.4375,-72.0215
52433.0000,-0.0107,0.9087,0.4180,4.0283,25.6958,-78.0029
52434.0000,-0.0249,0.9175,0.4150,4.0894,27.9541,-82.7026
52435.0000,-0.0449,0.9194,0.4180,3.7842,30.7617,-87.5854
52436.0000,-0.0830,0.9009,0.4116,3.5400,34.6069,-95.7642
52437.0000,-0.1123,0.8809,0.4019,3.6621,37.2314,-102.2339
52438.0000,-0.1416,0.8628,0.3955,4.0283,39.4287,-108.7036
52439.0000,-0.1606,0.8433,0.3892,4.8218,41.1987,-116.5771
52440.0000,-0.1724,0.8198,0.3804,5.0049,42.1143,-121.0938
52441.0000,-0.1826,0.7993,0.3755,5.0659,42.8467,-124.6948
52442.0000,-0.1943,0.7729,0.3667,5.3101,43.5791,-128.6621
52443.0000,-0.2046,0.7568,0.3623,5.3711,43.8843,-131.7749
52444.0000,-0.2134,0.7456,0.3574,5.6763,44.8608,-135.7422
52445.0000,-0.2344,0.7207,0.3525,5.7373,46.5088,-142.8223
52446.0000,-0.2642,0.6963,0.3467,6.3477,48.3398,-149.1089
52447.0000,-0.3037,0.6670,0.3442,7.4463,50.4761,-156.0669
52448.0000,-0.3809,0.6494,0.3335,9.2773,53.1616,-164.7949
52449.0000,-0.4463,0.6665,0.3296,11.0474,54.3823,-169.6167
52450.0000,-0.5078,0.6958,0.3330,12.0850,54.0771,-172.1802
52451.0000,-0.5669,0.7227,0.3301,12.0239,51.3306,-170.9595
52452.0000,-0.6011,0.7256,0.3271,11.1084,48.2178,-166.5649
52453.0000,-0.6265,0.7168,0.3281,10.3149,44.5557,-159.9121
52454.0000,-0.6528,0.6890,0.3232,10.0098,39.9780,-149.2920
52455.0000,-0.6768,0.6714,0.3179,10.4370,37.1704,-141.2964
52456.0000,-0.7031,0.6602,0.3145,11.4136,35.2173,-134.0332
52457.0000,-0.7505,0.6553,0.3022,12.8784,33.0811,-125.8545
