timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
55833.0000,-0.1138,0.9531,0.4038,0.0000,-5.8594,4.3945
55834.0000,-0.1147,0.9507,0.4058,-0.3052,-5.7983,4.8828
55835.0000,-0.1123,0.9502,0.4033,-0.5493,-6.0425,5.4932
55836.0000,-0.1143,0.9512,0.4067,-0.5493,-5.9204,5.9814
55837.0000,-0.1157,0.9541,0.4102,-0.4883,-5.7373,6.1035
55838.0000,-0.1147,0.9507,0.4097,-0.4883,-5.4932,5.6152
55839.0000,-0.1104,0.9487,0.4106,-0.3662,-5.3711,4.6997
55840.0000,-0.0996,0.9458,0.4126,0.0000,-4.6997,3.2959
55841.0000,-0.0918,0.9497,0.4111,0.0610,-3.9673,2.1973
55842.0000,-0.0859,0.9531,0.4121,0.1221,-3.2959,1.2207
55843.0000,-0.0796,0.9595,0.4141,-0.1221,-2.1362,-0.2441
55844.0000,-0.0801,0.9595,0.4141,-0.2441,-1.5869,-0.7935
55845.0000,-0.0752,0.9565,0.4146,-0.5493,-0.9155,-1.5259
55846.0000,-0.0874,0.9521,0.4126,-0.6104,0.0000,-1.8921
55847.0000,-0.0933,0.9478,0.4126,-0.6104,0.1831,-1.7700
55848.0000,-0.1001,0.9482,0.4160,-0.7324,0.1221,-1.5869
55849.0000,-0.1021,0.9492,0.4141,-0.4883,0.1221,-1.9531
55850.0000,-0.1016,0.9507,0.4121,-0.4272,0.0610,-2.4414
55851.0000,-0.1006,0.9531,0.4141,-0.5493,0.1831,-3.0518
55852.0000,-0.1016,0.9565,0.4136,-0.5493,0.4883,-3.9062
55853.0000,-0.1001,0.9570,0.4141,-0.7935,0.7324,-4.5776
55854.0000,-0.1035,0.9570,0.4136,-1.1597,0.9155,-4.9438
55855.0000,-0.1025,0.9609,0.4116,-1.4038,0.9766,-4.3945
55856.0000,-0.1011,0.9585,0.4126,-1.5869,0.7935,-3.9673
55857.0000,-0.1040,0.9556,0.4116,-1.9531,0.8545,-3.4180
55858.0000,-0.1167,0.9565,0.4106,-2.4414,0.9155,-2.3804
55859.0000,-0.1211,0.9565,0.4160,-2.6855,0.7935,-1.5869
55860.0000,-0.1216,0.9526,0.4136,-2.7466,0.5493,-0.6104
55861.0000,-0.1250,0.9541,0.4185,-2.5024,0.7935,0.1221
55862.0000,-0.1270,0.9565,0.4199,-2.2583,0.9155,0.3052
55863.0000,-0.1255,0.9590,0.4209,-2.0142,0.9766,0.3052
55864.0000,-0.1206,0.9556,0.4229,-1.7090,1.2817,0.3662
55865.0000,-0.1201,0.9531,0.4214,-1.4038,1.3428,0.5493
55866.0000,-0.1196,0.9526,0.4189,-1.0376,1.5869,0.9766
55867.0000,-0.1191,0.9536,0.4175,-0.6714,1.7700,1.0376
55868.0000,-0.1196,0.9517,0.4175,-0.6104,1.8311,1.0986
55869.0000,-0.1216,0.9526,0.4160,-0.6104,1.8921,1.2817
55870.0000,-0.1226,0.9512,0.4199,-0.7324,1.7700,2.0142
55871.0000,-0.1230,0.9541,0.4204,-0.6714,1.8311,2.3193
55872.0000,-0.1255,0.9531,0.4204,-0.8545,1.7090,2.3193
55873.0000,-0.1216,0.9531,0.4180,-0.8545,1.7090,2.1362
55874.0000,-0.1196,0.9497,0.4180,-0.9155,1.6479,1.7700
55875.0000,-0.1152,0.9443,0.4180,-0.9155,1.5869,1.2207
55876.0000,-0.1104,0.9434,0.4233,-0.7935,1.7700,0.3052
55877.0000,-0.1069,0.9458,0.4194,-0.6104,1.9531,-0.4883
55878.0000,-0.1011,0.9453,0.4243,-0.4272,2.2583,-1.4038
55879.0000,-0.0986,0.9453,0.4199,-0.2441,2.7466,-3.1128
55880.0000,-0.1021,0.9482,0.4233,-0.1831,3.2959,-4.4556
55881.0000,-0.1069,0.9517,0.4224,-0.1831,3.7231,-5.6763
55882.0000,-0.1128,0.9590,0.4219,0.0000,4.2725,-7.2632
55883.0000,-0.1177,0.9551,0.4209,0.1831,4.3335,-8.5449
55884.0000,-0.1250,0.9521,0.4165,0.0610,4.7607,-9.6436
55885.0000,-0.1299,0.9575,0.4175,0.2441,4.8218,-11.1084
55886.0000,-0.1260,0.9595,0.4233,0.0000,5.1270,-12.3291
55887.0000,-0.1235,0.9565,0.4189,-0.3662,5.4321,-13.3057
55888.0000,-0.1196,0.9438,0.4185,-0.6714,6.2256,-14.9536
55889.0000,-0.1206,0.9385,0.4155,-0.7935,6.7749,-16.3574
55890.0000,-0.1162,0.9351,0.4160,-0.3052,7.2632,-18.1885
55891.0000,-0.1128,0.9248,0.4165,0.1831,8.1787,-20.8740
55892.0000,-0.1133,0.9248,0.4136,0.4883,8.7891,-23.0713
55893.0000,-0.1128,0.9248,0.4131,1.1597,9.5825,-25.7568
55894.0000,-0.1045,0.9248,0.4111,2.0752,10.8032,-29.1748
55895.0000,-0.1064,0.9233,0.4106,2.5024,11.9019,-32.1045
55896.0000,-0.1069,0.9204,0.4092,2.8687,13.0615,-35.2783
55897.0000,-0.1045,0.9160,0.4116,3.2959,14.5874,-40.1611
55898.0000,-0.1040,0.9102,0.4087,3.6011,15.8081,-44.0063
55899.0000,-0.1045,0.9023,0.4102,3.8452,17.0898,-48.2178
55900.0000,-0.1016,0.8955,0.4097,4.1504,19.0430,-54.6265
55901.0000,-0.0986,0.8936,0.4087,4.5166,20.6909,-59.9365
55902.0000,-0.1016,0.8926,0.4082,4.8218,22.5830,-65.7349
55903.0000,-0.1021,0.8789,0.4004,4.8218,25.2686,-74.2798
55904.0000,-0.1055,0.8677,0.3965,4.9438,27.4658,-81.4819
55905.0000,-0.1064,0.8525,0.3921,5.2490,29.7241,-88.9893
55906.0000,-0.1157,0.8237,0.3867,6.1035,33.1421,-99.7314
55907.0000,-0.1279,0.8047,0.3789,6.8970,35.8276,-108.0322
55908.0000,-0.1367,0.7881,0.3730,8.0566,38.2690,-117.0044
55909.0000,-0.1514,0.7627,0.3677,9.5215,41.7480,-128.9062
55910.0000,-0.1626,0.7456,0.3604,10.4370,44.1895,-137.5732
55911.0000,-0.1724,0.7271,0.3516,11.4746,46.9360,-145.9961
55912.0000,-0.1934,0.7109,0.3472,12.6343,50.4761,-156.4331
55913.0000,-0.2134,0.6992,0.3364,13.1836,53.2227,-163.3301
55914.0000,-0.2319,0.6890,0.3262,13.2446,55.6641,-169.6167
55915.0000,-0.2720,0.6704,0.3115,12.5732,59.4482,-177.3682
55916.0000,-0.3257,0.6670,0.2969,11.7798,62.7441,-182.4341
55917.0000,-0.4004,0.6807,0.2896,10.4370,66.8945,-187.3169
55918.0000,-0.5283,0.7046,0.2803,8.1177,71.4722,-192.3218
55919.0000,-0.6216,0.6963,0.2729,6.1646,72.8149,-194.7632
