timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
11915.0000,-0.2505,0.8618,0.5742,2.0142,0.0610,-4.5166
11916.0000,-0.2500,0.8628,0.5713,2.1362,-0.1831,-4.7607
11917.0000,-0.2495,0.8633,0.5752,2.0142,-0.3662,-4.6997
11918.0000,-0.2485,0.8657,0.5728,1.7700,-0.4883,-4.6387
11919.0000,-0.2446,0.8647,0.5718,1.2207,-0.6714,-4.2725
11920.0000,-0.2432,0.8652,0.5762,0.7935,-0.8545,-4.0894
11921.0000,-0.2397,0.8613,0.5767,0.3662,-0.6714,-4.0894
11922.0000,-0.2417,0.8608,0.5781,0.0610,-0.7324,-3.8452
11923.0000,-0.2397,0.8579,0.5767,-0.0610,-0.7324,-3.6011
11924.0000,-0.2388,0.8560,0.5747,-0.1221,-0.4272,-3.5400
11925.0000,-0.2397,0.8535,0.5732,-0.1831,-0.2441,-3.5400
11926.0000,-0.2432,0.8511,0.5762,-0.1831,-0.0610,-3.4790
11927.0000,-0.2412,0.8530,0.5771,-0.1221,0.1831,-3.2349
11928.0000,-0.2407,0.8569,0.5747,-0.2441,0.4272,-3.2349
11929.0000,-0.2427,0.8599,0.5728,-0.4272,0.5493,-3.0518
11930.0000,-0.2412,0.8652,0.5752,-0.6104,0.8545,-2.6855
11931.0000,-0.2407,0.8638,0.5732,-1.0376,1.0376,-2.2583
11932.0000,-0.2407,0.8608,0.5771,-1.2817,1.2207,-1.9531
11933.0000,-0.2397,0.8613,0.5737,-1.6479,1.5869,-1.6479
11934.0000,-0.2432,0.8574,0.5776,-1.7700,1.8311,-1.5259
11935.0000,-0.2407,0.8535,0.5781,-1.8921,1.9531,-1.5869
11936.0000,-0.2383,0.8560,0.5835,-1.7700,2.2583,-1.7700
11937.0000,-0.2393,0.8560,0.5806,-1.7700,2.4414,-1.9531
11938.0000,-0.2412,0.8525,0.5840,-1.7090,2.5635,-2.0752
11939.0000,-0.2437,0.8428,0.5801,-1.3428,2.9907,-2.3193
11940.0000,-0.2471,0.8413,0.5820,-0.8545,3.0518,-2.6245
11941.0000,-0.2495,0.8418,0.5801,-0.2441,3.1128,-2.8687
11942.0000,-0.2539,0.8447,0.5791,0.3052,2.9907,-2.8076
11943.0000,-0.2554,0.8501,0.5767,0.5493,2.7466,-2.5635
11944.0000,-0.2563,0.8564,0.5771,0.6714,2.5024,-2.4414
11945.0000,-0.2578,0.8574,0.5781,0.2441,2.3193,-2.4414
11946.0000,-0.2598,0.8545,0.5757,-0.0610,2.0142,-2.5024
11947.0000,-0.2593,0.8550,0.5762,-0.2441,1.8311,-2.4414
11948.0000,-0.2612,0.8550,0.5757,-0.6104,1.4648,-2.4414
11949.0000,-0.2563,0.8535,0.5781,-0.7324,1.3428,-2.5635
11950.0000,-0.2529,0.8535,0.5767,-0.8545,1.0986,-2.6855
11951.0000,-0.2510,0.8516,0.5781,-1.0376,1.0986,-2.6245
11952.0000,-0.2520,0.8521,0.5811,-1.2817,1.1597,-2.5635
11953.0000,-0.2520,0.8511,0.5796,-1.2207,1.2817,-2.6245
