timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
14174.0000,-0.2402,0.8672,0.5645,2.2583,2.8076,-2.1973
14175.0000,-0.2363,0.8740,0.5659,1.7700,3.2349,-2.7466
14176.0000,-0.2368,0.8735,0.5679,1.3428,3.2959,-2.6245
14177.0000,-0.2446,0.8677,0.5669,1.1597,3.4790,-2.5635
14178.0000,-0.2534,0.8608,0.5688,1.0986,3.4790,-1.8921
14179.0000,-0.2578,0.8594,0.5679,1.2207,3.1128,-1.5869
14180.0000,-0.2578,0.8608,0.5645,1.4038,2.6245,-1.1597
14181.0000,-0.2510,0.8628,0.5625,1.7090,2.1362,-0.9766
14182.0000,-0.2485,0.8672,0.5684,1.6479,2.1973,-0.9155
14183.0000,-0.2427,0.8672,0.5645,1.5259,2.3193,-1.2817
14184.0000,-0.2422,0.8672,0.5669,1.1597,2.3193,-1.4648
14185.0000,-0.2441,0.8687,0.5684,0.7935,2.4414,-1.5869
14186.0000,-0.2446,0.8647,0.5679,0.4883,2.3804,-1.4648
14187.0000,-0.2466,0.8633,0.5659,0.1221,2.1973,-1.4648
14188.0000,-0.2466,0.8618,0.5664,-0.1221,2.2583,-1.2207
14189.0000,-0.2466,0.8633,0.5640,-0.3662,2.1973,-1.1597
14190.0000,-0.2461,0.8677,0.5630,-0.4272,2.1973,-0.8545
14191.0000,-0.2432,0.8672,0.5620,-0.7935,2.3193,-0.5493
14192.0000,-0.2412,0.8667,0.5635,-1.1597,2.5635,-0.6714
14193.0000,-0.2407,0.8633,0.5649,-1.4648,2.8076,-0.7324
14194.0000,-0.2397,0.8643,0.5693,-1.5259,3.0518,-0.9155
14195.0000,-0.2402,0.8594,0.5674,-1.7090,3.3569,-1.0376
14196.0000,-0.2378,0.8564,0.5693,-1.8921,3.6011,-1.0376
14197.0000,-0.2407,0.8574,0.5698,-2.0142,4.0283,-1.1597
14198.0000,-0.2402,0.8589,0.5718,-2.1362,4.3945,-0.9766
14199.0000,-0.2422,0.8608,0.5718,-2.2583,4.7607,-0.7935
14200.0000,-0.2441,0.8618,0.5723,-2.3193,5.1270,-0.3052
14201.0000,-0.2471,0.8628,0.5713,-2.5635,5.2490,-0.0610
14202.0000,-0.2456,0.8594,0.5718,-2.7466,5.4932,0.1221
14203.0000,-0.2480,0.8574,0.5732,-2.6855,5.6763,0.1831
14204.0000,-0.2471,0.8560,0.5737,-2.8076,5.7373,0.2441
14205.0000,-0.2432,0.8584,0.5703,-2.7466,6.0425,0.4272
14206.0000,-0.2305,0.8652,0.5728,-2.9297,6.5918,0.6104
14207.0000,-0.2061,0.8730,0.5693,-3.5400,7.6904,1.0376
14208.0000,-0.1685,0.8901,0.5659,-4.9438,11.2305,2.6245
14209.0000,-0.1377,0.8872,0.5654,-6.2866,15.0757,4.7607
14210.0000,-0.1182,0.8682,0.5645,-7.3853,20.4468,6.9580
14211.0000,-0.1206,0.8496,0.5576,-7.6904,28.8086,9.5215
14212.0000,-0.1484,0.8418,0.5610,-7.1411,34.7900,10.9253
14213.0000,-0.1772,0.8335,0.5552,-6.2866,39.3066,12.0850
14214.0000,-0.2007,0.8320,0.5596,-4.8218,43.3960,13.0615
14215.0000,-0.2100,0.8311,0.5625,-3.7231,45.8984,13.6719
14216.0000,-0.2173,0.8325,0.5605,-2.5635,47.7905,14.0991
