timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
25805.0000,-0.1646,0.9360,0.3975,-6.6528,3.4180,0.3662
25806.0000,-0.1670,0.9360,0.3921,-6.1646,3.6621,0.4272
25807.0000,-0.1646,0.9395,0.3960,-5.7373,3.9062,0.6714
25808.0000,-0.1641,0.9414,0.3999,-5.3101,4.0894,0.5493
25809.0000,-0.1636,0.9419,0.3994,-5.2490,4.3945,0.3052
25810.0000,-0.1626,0.9409,0.3999,-5.0049,4.6387,-0.1831
25811.0000,-0.1631,0.9385,0.4014,-4.9438,4.8218,-0.6714
25812.0000,-0.1646,0.9385,0.4019,-4.6997,5.1270,-1.1597
25813.0000,-0.1694,0.9414,0.4043,-4.3945,5.2490,-1.7090
25814.0000,-0.1733,0.9424,0.4019,-4.4556,5.2490,-2.0752
25815.0000,-0.1802,0.9429,0.4038,-4.4556,5.2490,-2.2583
25816.0000,-0.1841,0.9414,0.4087,-4.2725,4.7607,-1.8921
25817.0000,-0.1880,0.9385,0.4087,-4.1504,4.2725,-1.6479
25818.0000,-0.1875,0.9351,0.4053,-3.9062,3.7231,-1.3428
25819.0000,-0.1880,0.9326,0.4097,-3.4790,3.1738,-1.2207
25820.0000,-0.1860,0.9316,0.4087,-3.0518,2.5635,-1.2207
25821.0000,-0.1846,0.9307,0.4106,-2.5635,2.1362,-1.4648
25822.0000,-0.1870,0.9268,0.4082,-1.8311,1.5869,-1.9531
25823.0000,-0.1851,0.9292,0.4067,-1.4038,1.2207,-2.3804
25824.0000,-0.1831,0.9404,0.4126,-1.1597,0.8545,-2.8076
25825.0000,-0.1831,0.9507,0.4116,-1.0986,0.5493,-3.4790
25826.0000,-0.1826,0.9458,0.4067,-1.5259,0.3662,-3.6011
25827.0000,-0.1851,0.9385,0.4053,-1.6479,0.1831,-3.9673
25828.0000,-0.1855,0.9355,0.4106,-1.5259,0.1221,-4.4556
25829.0000,-0.1885,0.9351,0.4077,-1.2207,0.1221,-4.5776
25830.0000,-0.1870,0.9326,0.4082,-0.9155,-0.1831,-4.6387
25831.0000,-0.1855,0.9360,0.4106,-0.4883,-0.3662,-4.4556
25832.0000,-0.1841,0.9375,0.4087,-0.2441,-0.3052,-4.5776
25833.0000,-0.1870,0.9385,0.4058,-0.1221,-0.3052,-4.3335
25834.0000,-0.1929,0.9414,0.4111,0.0000,-0.2441,-4.2725
25835.0000,-0.1924,0.9438,0.4106,0.0000,-0.2441,-4.2725
25836.0000,-0.1953,0.9453,0.4111,-0.1221,-0.3052,-4.2725
25837.0000,-0.1982,0.9453,0.4087,-0.3662,-0.5493,-4.2725
