timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
28199.0000,-0.1929,0.9326,0.4175,-3.4180,4.0283,0.5493
28200.0000,-0.1904,0.9346,0.4189,-3.2959,3.9062,0.4883
28201.0000,-0.1914,0.9360,0.4185,-2.8076,3.7842,0.0610
28202.0000,-0.1904,0.9331,0.4189,-2.6855,3.7231,-0.1221
28203.0000,-0.1914,0.9346,0.4199,-2.4414,3.6621,-0.3052
28204.0000,-0.1890,0.9326,0.4180,-2.0752,3.4180,-0.2441
28205.0000,-0.1904,0.9316,0.4141,-1.9531,3.2349,-0.3052
28206.0000,-0.1943,0.9307,0.4121,-1.7700,2.9907,-0.2441
28207.0000,-0.1924,0.9272,0.4155,-1.4038,2.4414,0.0000
28208.0000,-0.1914,0.9302,0.4160,-1.0986,2.1973,0.0000
28209.0000,-0.1914,0.9326,0.4146,-0.6714,1.7090,-0.1831
28210.0000,-0.1909,0.9321,0.4126,-0.4883,1.3428,-0.4883
28211.0000,-0.1899,0.9321,0.4106,-0.1221,1.0376,-0.9155
28212.0000,-0.1904,0.9326,0.4131,0.0000,0.6104,-1.4038
28213.0000,-0.1875,0.9390,0.4116,0.1831,0.6104,-1.7700
28214.0000,-0.1865,0.9429,0.4092,0.2441,0.4883,-2.3193
28215.0000,-0.1909,0.9438,0.4072,0.3052,0.4272,-2.3193
28216.0000,-0.1904,0.9434,0.4072,0.0610,0.2441,-2.5635
28217.0000,-0.1875,0.9404,0.4058,-0.0610,0.1831,-2.7466
28218.0000,-0.1895,0.9424,0.4038,-0.1221,0.1831,-2.9297
28219.0000,-0.1890,0.9448,0.4077,-0.0610,0.3052,-2.9907
28220.0000,-0.1929,0.9468,0.4116,-0.1221,0.3662,-3.0518
28221.0000,-0.1909,0.9443,0.4067,-0.2441,0.4272,-2.9907
28222.0000,-0.1909,0.9395,0.4077,-0.2441,0.2441,-2.8076
28223.0000,-0.1929,0.9331,0.4072,-0.0610,0.5493,-3.0518
28224.0000,-0.1963,0.9336,0.4087,0.4883,0.4272,-2.9297
28225.0000,-0.1997,0.9331,0.4048,0.6714,0.3662,-2.9297
28226.0000,-0.2031,0.9380,0.4048,0.9155,0.1221,-2.8076
28227.0000,-0.2046,0.9438,0.4053,1.0376,-0.1831,-2.7466
28228.0000,-0.2065,0.9448,0.4072,0.8545,-0.4272,-2.8076
28229.0000,-0.2036,0.9458,0.4053,0.6104,-0.7324,-2.7466
28230.0000,-0.1987,0.9443,0.4019,0.2441,-0.9155,-2.7466
28231.0000,-0.1953,0.9448,0.4038,0.0000,-0.9766,-2.8076
28232.0000,-0.1958,0.9419,0.4048,-0.2441,-0.9766,-2.8687
28233.0000,-0.1924,0.9395,0.4077,-0.3662,-0.7324,-3.1128
28234.0000,-0.1885,0.9360,0.4072,-0.4272,-0.7324,-3.2349
28235.0000,-0.1919,0.9375,0.4087,-0.4883,-0.4883,-3.1128
28236.0000,-0.1929,0.9380,0.4072,-0.4272,-0.4272,-3.4790
28237.0000,-0.1973,0.9399,0.4072,-0.4272,-0.4272,-3.4180
28238.0000,-0.2012,0.9395,0.4072,-0.4272,-0.5493,-3.6011
28239.0000,-0.2031,0.9419,0.4058,-0.4883,-0.6714,-3.8452
28240.0000,-0.2051,0.9419,0.4077,-0.5493,-0.7324,-3.9673
28241.0000,-0.2075,0.9424,0.4097,-0.6104,-0.9766,-4.2114
28242.0000,-0.2109,0.9351,0.4106,-0.6714,-1.4038,-4.2725
28243.0000,-0.2129,0.9346,0.4062,-0.5493,-1.8921,-4.4556
28244.0000,-0.2227,0.9409,0.4141,-0.4272,-2.5024,-4.5166
28245.0000,-0.2363,0.9487,0.4146,-0.6714,-3.9673,-4.4556
28246.0000,-0.2466,0.9409,0.4150,-1.0986,-5.6763,-4.1504
28247.0000,-0.2603,0.9346,0.4155,-1.1597,-7.8125,-4.3945
28248.0000,-0.2793,0.9346,0.4165,-0.7935,-11.4746,-4.8218
28249.0000,-0.2900,0.9351,0.4180,-0.6104,-15.0146,-5.6763
28250.0000,-0.3057,0.9341,0.4146,-0.6714,-18.9819,-6.5308
28251.0000,-0.3398,0.9326,0.4185,-0.3662,-25.3906,-7.5073
28252.0000,-0.3696,0.9380,0.4209,-0.1221,-31.3110,-8.4839
28253.0000,-0.4126,0.9395,0.4141,0.0000,-38.6963,-9.3994
28254.0000,-0.4819,0.9429,0.4214,-0.0610,-51.3306,-11.3525
28255.0000,-0.5317,0.9482,0.4165,-0.2441,-63.1104,-13.1226
28256.0000,-0.5791,0.9673,0.4097,-0.9155,-76.7822,-15.3198
28257.0000,-0.6343,0.9814,0.3994,-2.3804,-98.6328,-19.2871
28258.0000,-0.6733,0.9546,0.3931,-3.7231,-117.2485,-22.5220
28259.0000,-0.7207,0.8965,0.3853,-3.9062,-137.0850,-26.1230
28260.0000,-0.8032,0.8135,0.3716,-0.4883,-166.1377,-31.1890
28261.0000,-0.8677,0.7876,0.3564,4.6387,-190.4297,-35.2173
28262.0000,-0.9165,0.8081,0.3198,10.3760,-217.5293,-38.6353
28263.0000,-0.8872,0.9155,0.2427,16.1133,-256.9580,-41.8091
28264.0000,-0.7378,0.9980,0.1904,17.0898,-285.4614,-43.5181
28265.0000,-0.5381,1.0283,0.1509,15.4419,-307.1289,-44.7388
28266.0000,-0.2803,1.0581,0.1138,12.3901,-323.2422,-45.7764
28267.0000,-0.1094,1.0767,0.1055,8.9722,-326.8433,-45.9595
28268.0000,0.0410,1.0752,0.1128,5.6763,-323.9136,-45.9595
28269.0000,0.1953,1.0513,0.1396,1.5259,-312.5610,-44.7998
28270.0000,0.2827,1.0332,0.1680,-0.9766,-299.6216,-42.9688
28271.0000,0.3491,1.0010,0.2021,-3.1128,-283.9355,-40.2222
28272.0000,0.4082,0.9614,0.2446,-4.4556,-260.0098,-35.7666
28273.0000,0.4360,0.9331,0.2905,-4.8828,-241.0278,-32.2876
28274.0000,0.4619,0.9087,0.3301,-4.1504,-221.5576,-28.6255
28275.0000,0.4907,0.8901,0.3721,-2.7466,-194.5801,-25.5737
28276.0000,0.5063,0.8984,0.4058,-1.9531,-173.5840,-23.8647
28277.0000,0.6089,0.9067,0.3936,4.5776,-151.1230,-22.2168
28278.0000,0.5273,0.9331,0.4834,-3.9673,-121.8262,-20.6909
28279.0000,0.5288,0.9233,0.4819,-3.8452,-101.0132,-18.5547
28280.0000,0.5283,0.8970,0.4922,-2.1362,-79.2847,-16.7236
28281.0000,0.4561,0.8760,0.5234,-0.7935,-52.0020,-14.4653
28282.0000,0.3784,0.8701,0.5303,0.6104,-34.7900,-12.1460
28283.0000,0.3242,0.8643,0.5425,2.1973,-20.5078,-9.0942
28284.0000,0.2632,0.8931,0.5430,4.8218,-4.1504,-5.7373
28285.0000,0.2275,0.9170,0.5337,6.2256,6.4087,-3.6621
28286.0000,0.1909,0.9316,0.5332,7.0801,15.3809,-2.0142
28287.0000,0.1289,0.9502,0.5356,8.6670,24.9634,-0.8545
28288.0000,0.0840,0.9502,0.5303,8.3008,30.0903,-0.8545
28289.0000,0.0283,0.9443,0.5371,7.2021,32.8369,-0.9155
28290.0000,-0.0293,0.9336,0.5420,6.2866,33.6304,-0.1831
28291.0000,-0.0596,0.9414,0.5337,5.6152,32.3486,0.6104
28292.0000,-0.0879,0.9507,0.5376,3.2959,29.4800,1.8311
28293.0000,-0.1069,0.9526,0.5376,2.1362,24.3530,3.0518
28294.0000,-0.1094,0.9502,0.5293,2.0142,20.2026,3.4180
28295.0000,-0.0864,0.9536,0.5317,1.9531,16.1133,3.2959
28296.0000,-0.0513,0.9536,0.5273,1.7700,12.3291,2.4414
28297.0000,-0.0303,0.9409,0.5269,1.6479,10.4980,1.8921
28298.0000,-0.0171,0.9185,0.5259,1.7700,9.2773,1.0376
28299.0000,-0.0073,0.9038,0.5264,2.3193,7.8735,0.0000
28300.0000,0.0029,0.9077,0.5283,2.5024,7.0190,-0.6714
28301.0000,0.0142,0.9180,0.5283,2.5024,6.4087,-0.6714
28302.0000,0.0352,0.9292,0.5259,1.5869,6.5308,0.1221
28303.0000,0.0444,0.9336,0.5234,0.5493,7.0190,0.9155
28304.0000,0.0508,0.9331,0.5259,-0.4883,8.0566,1.0376
28305.0000,0.0654,0.9360,0.5225,-1.2207,10.0098,0.4272
28306.0000,0.0840,0.9434,0.5161,-1.7090,12.3901,-0.6104
28307.0000,0.1167,0.9448,0.5210,-2.5024,16.9067,-2.0142
28308.0000,0.1426,0.9438,0.5239,-2.9297,21.9116,-2.7466
28309.0000,0.1743,0.9360,0.5264,-3.2959,28.1982,-3.1128
28310.0000,0.2144,0.9194,0.5244,-3.4180,38.6963,-2.8687
28311.0000,0.2461,0.8994,0.5234,-2.9297,48.4009,-2.3804
28312.0000,0.2690,0.8892,0.5122,-2.0142,59.5703,-1.3428
28313.0000,0.2905,0.8975,0.5005,-0.4272,76.2939,0.8545
28314.0000,0.2969,0.9160,0.4883,0.2441,89.8438,2.9907
28315.0000,0.2949,0.9326,0.4785,0.5493,103.8208,5.7983
28316.0000,0.2891,0.9414,0.4624,0.1221,122.4365,10.3149
28317.0000,0.2808,0.9360,0.4487,-0.2441,136.7798,13.7329
28318.0000,0.2524,0.9136,0.4351,-0.0610,150.9399,16.9067
28319.0000,0.1802,0.8623,0.4106,1.6479,168.0908,20.2637
28320.0000,0.1108,0.8320,0.3882,4.3335,178.2837,22.3999
28321.0000,0.0464,0.8335,0.3755,7.6294,186.0962,24.4141
