timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
22853.0000,-0.1475,0.9492,0.4131,-1.5259,-0.4272,-2.5635
22854.0000,-0.1523,0.9478,0.4121,-1.4648,-0.6714,-2.5024
22855.0000,-0.1616,0.9414,0.4146,-1.3428,-1.3428,-1.8311
22856.0000,-0.1621,0.9438,0.4136,-0.9766,-2.1362,-1.5259
22857.0000,-0.1626,0.9468,0.4155,-0.4272,-2.9907,-1.2817
22858.0000,-0.1582,0.9487,0.4146,-0.1221,-4.0894,-1.2207
22859.0000,-0.1543,0.9512,0.4136,-0.0610,-4.6387,-1.4038
22860.0000,-0.1538,0.9521,0.4150,0.0000,-5.2490,-1.9531
22861.0000,-0.1514,0.9517,0.4141,-0.0610,-5.9814,-2.5635
22862.0000,-0.1504,0.9497,0.4131,0.0000,-6.4087,-2.9907
22863.0000,-0.1470,0.9492,0.4126,0.0610,-6.8359,-3.2959
22864.0000,-0.1431,0.9463,0.4146,-0.0610,-7.3242,-3.7842
22865.0000,-0.1436,0.9453,0.4141,0.1831,-7.4463,-3.9062
22866.0000,-0.1445,0.9443,0.4116,0.1221,-7.7515,-4.0283
22867.0000,-0.1440,0.9448,0.4155,0.2441,-8.0566,-4.1504
22868.0000,-0.1411,0.9438,0.4111,0.3662,-8.2397,-4.2725
22869.0000,-0.1416,0.9463,0.4106,0.5493,-8.3618,-4.2725
22870.0000,-0.1401,0.9478,0.4131,0.5493,-8.6670,-4.2725
22871.0000,-0.1411,0.9473,0.4155,0.6714,-8.7891,-4.2725
22872.0000,-0.1426,0.9482,0.4111,0.7935,-8.8501,-4.5166
22873.0000,-0.1411,0.9497,0.4121,0.9155,-9.1553,-5.0659
22874.0000,-0.1431,0.9507,0.4136,1.0376,-9.3994,-5.4321
22875.0000,-0.1416,0.9507,0.4155,1.1597,-9.5825,-5.6152
22876.0000,-0.1460,0.9482,0.4146,1.0986,-9.7656,-5.9204
22877.0000,-0.1445,0.9512,0.4136,1.0986,-9.9487,-6.1035
22878.0000,-0.1475,0.9512,0.4111,1.0376,-10.0708,-6.4087
22879.0000,-0.1470,0.9561,0.4077,0.9155,-10.4370,-6.4087
22880.0000,-0.1504,0.9546,0.4131,0.7324,-10.6812,-6.5308
22881.0000,-0.1519,0.9556,0.4146,0.6104,-10.9253,-6.5308
22882.0000,-0.1553,0.9609,0.4189,0.2441,-11.3525,-6.5918
22883.0000,-0.1577,0.9614,0.4150,-0.1831,-11.8408,-6.5308
22884.0000,-0.1616,0.9609,0.4141,-0.6714,-12.4512,-6.4087
22885.0000,-0.1655,0.9570,0.4136,-1.2207,-13.6719,-6.2256
22886.0000,-0.1660,0.9585,0.4160,-1.4648,-14.5874,-6.4087
22887.0000,-0.1646,0.9561,0.4160,-1.8311,-15.6860,-6.6528
22888.0000,-0.1597,0.9487,0.4146,-2.0752,-16.7847,-7.3242
22889.0000,-0.1572,0.9487,0.4155,-2.1362,-17.5171,-8.1177
22890.0000,-0.1538,0.9526,0.4165,-2.1362,-17.8833,-8.9722
22891.0000,-0.1577,0.9546,0.4233,-2.6245,-18.4937,-9.7656
22892.0000,-0.1553,0.9546,0.4243,-2.8076,-18.9819,-10.0708
22893.0000,-0.1543,0.9478,0.4248,-2.9297,-19.5312,-10.4370
22894.0000,-0.1577,0.9512,0.4258,-3.2349,-20.2637,-10.3760
22895.0000,-0.1670,0.9521,0.4272,-3.4180,-20.9961,-10.3149
22896.0000,-0.1772,0.9473,0.4272,-3.7231,-22.5220,-10.0708
22897.0000,-0.1768,0.9438,0.4282,-3.8452,-23.9258,-10.0708
22898.0000,-0.1782,0.9419,0.4272,-3.7842,-25.2075,-10.1929
22899.0000,-0.1860,0.9409,0.4292,-3.5400,-27.0996,-10.6201
22900.0000,-0.2002,0.9375,0.4292,-3.3569,-28.8696,-11.2915
22901.0000,-0.2158,0.9355,0.4351,-3.1738,-31.3110,-11.9629
22902.0000,-0.2295,0.9360,0.4351,-2.7466,-35.3394,-13.2446
22903.0000,-0.2378,0.9424,0.4385,-2.6245,-38.5742,-14.1602
22904.0000,-0.2446,0.9502,0.4399,-2.5635,-42.3584,-15.3198
22905.0000,-0.2505,0.9609,0.4409,-2.9907,-47.9736,-16.4185
22906.0000,-0.2568,0.9639,0.4355,-3.9673,-52.4902,-17.3340
