timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
38892.0000,-0.1045,0.9277,0.4951,-0.8545,-0.5493,-1.0986
38893.0000,-0.0972,0.9297,0.4966,-0.9155,-0.4883,-0.7935
38894.0000,-0.0962,0.9297,0.4995,-1.0986,-0.1831,-0.5493
38895.0000,-0.0928,0.9268,0.4966,-1.2207,0.1831,-0.4883
38896.0000,-0.0938,0.9272,0.5000,-1.3428,0.6104,-0.3662
38897.0000,-0.0942,0.9243,0.5015,-1.3428,1.0376,-0.3662
38898.0000,-0.0947,0.9238,0.5010,-1.2817,1.2817,-0.4883
38899.0000,-0.0972,0.9233,0.4990,-0.9155,1.8311,-0.7935
38900.0000,-0.1006,0.9229,0.5015,-0.6104,1.9531,-0.9155
38901.0000,-0.1064,0.9233,0.5005,-0.4272,2.0752,-1.2207
38902.0000,-0.1094,0.9243,0.4966,-0.2441,1.8311,-1.2817
38903.0000,-0.1099,0.9326,0.5024,-0.1831,1.6479,-1.2817
38904.0000,-0.1079,0.9399,0.5034,-0.5493,1.5869,-1.0986
38905.0000,-0.1084,0.9302,0.5020,-1.0986,1.0986,-0.8545
38906.0000,-0.1074,0.9155,0.4976,-1.0376,0.7935,-0.4883
38907.0000,-0.1069,0.9097,0.4985,-0.7935,0.7935,-0.4272
38908.0000,-0.1055,0.9160,0.4985,-0.0610,0.4883,-0.5493
38909.0000,-0.1025,0.9189,0.5054,0.4272,0.3052,-0.7324
38910.0000,-0.1021,0.9258,0.5010,0.6104,0.2441,-0.9766
38911.0000,-0.1060,0.9321,0.4980,0.6714,0.3662,-1.1597
38912.0000,-0.1069,0.9321,0.5000,0.4883,0.2441,-1.2207
38913.0000,-0.1074,0.9341,0.5000,0.3662,0.0000,-1.2817
38914.0000,-0.1094,0.9292,0.4985,0.1221,-0.3052,-1.2817
38915.0000,-0.1064,0.9282,0.4951,0.0610,-0.6104,-0.8545
38916.0000,-0.1040,0.9268,0.4966,0.1221,-0.6104,-0.7324
38917.0000,-0.1011,0.9282,0.4976,0.1831,-0.6714,-0.4883
38918.0000,-0.1011,0.9268,0.4956,0.1831,-0.7324,-0.4883
38919.0000,-0.1011,0.9258,0.4980,0.0000,-0.6714,-0.4272
38920.0000,-0.0947,0.9243,0.4956,0.0610,-0.6104,-0.2441
38921.0000,-0.0928,0.9248,0.4966,0.0610,-0.3052,-0.4883
38922.0000,-0.0903,0.9248,0.4946,0.1221,0.0610,-0.6104
38923.0000,-0.0938,0.9272,0.4941,0.3052,0.3662,-0.6714
38924.0000,-0.0962,0.9272,0.4971,0.1831,0.7935,-0.7935
38925.0000,-0.0996,0.9316,0.4946,0.1221,0.9766,-1.0376
38926.0000,-0.0991,0.9307,0.4966,0.0000,1.2207,-0.9766
38927.0000,-0.1006,0.9312,0.4966,-0.1221,1.2207,-0.9766
38928.0000,-0.1016,0.9351,0.4941,-0.1221,1.2817,-0.8545
38929.0000,-0.1035,0.9336,0.4961,-0.3052,1.2817,-0.9155
38930.0000,-0.1045,0.9321,0.4937,-0.6104,1.1597,-1.0376
38931.0000,-0.1030,0.9316,0.4956,-0.7324,1.0376,-1.0986
38932.0000,-0.1040,0.9302,0.4951,-0.8545,0.9155,-1.0986
38933.0000,-0.1030,0.9258,0.4971,-0.9766,0.8545,-1.0986
38934.0000,-0.1025,0.9243,0.4976,-0.9155,0.6714,-1.2817
