timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
41508.0000,-0.1616,0.9507,0.4458,1.4648,2.7466,-4.3945
41509.0000,-0.1616,0.9531,0.4443,1.0986,2.8687,-4.2114
41510.0000,-0.1631,0.9536,0.4482,0.1221,2.7466,-3.6011
41511.0000,-0.1641,0.9502,0.4517,-0.4272,2.6855,-2.9907
41512.0000,-0.1646,0.9443,0.4468,-0.8545,2.7466,-2.2583
41513.0000,-0.1675,0.9355,0.4473,-1.2207,2.4414,-1.3428
41514.0000,-0.1733,0.9302,0.4497,-1.5869,2.0752,-0.8545
41515.0000,-0.1768,0.9287,0.4487,-1.4038,1.7090,-0.6104
41516.0000,-0.1797,0.9268,0.4473,-1.1597,1.0376,-0.5493
41517.0000,-0.1792,0.9292,0.4482,-0.9155,0.5493,-0.6714
41518.0000,-0.1797,0.9341,0.4473,-0.5493,-0.0610,-0.7324
41519.0000,-0.1772,0.9360,0.4492,-0.2441,-1.0376,-0.6714
41520.0000,-0.1714,0.9370,0.4487,-0.1221,-1.6479,-0.7935
41521.0000,-0.1646,0.9399,0.4463,-0.0610,-2.1973,-0.8545
41522.0000,-0.1567,0.9404,0.4482,-0.1221,-2.5024,-0.8545
41523.0000,-0.1514,0.9390,0.4478,-0.2441,-2.5635,-1.0986
41524.0000,-0.1470,0.9399,0.4536,-0.1831,-2.3804,-1.1597
41525.0000,-0.1401,0.9355,0.4502,0.1221,-1.8921,-1.7700
41526.0000,-0.1411,0.9355,0.4482,-0.1221,-1.3428,-2.2583
41527.0000,-0.1406,0.9321,0.4497,-0.1221,-0.8545,-2.7466
41528.0000,-0.1387,0.9316,0.4478,0.1831,-0.1831,-3.1738
41529.0000,-0.1362,0.9302,0.4463,0.1221,0.4272,-3.6011
41530.0000,-0.1328,0.9272,0.4482,-0.0610,0.9766,-3.7842
41531.0000,-0.1382,0.9292,0.4482,0.0000,1.7700,-4.2114
41532.0000,-0.1416,0.9326,0.4482,0.1831,2.4414,-4.4556
41533.0000,-0.1440,0.9297,0.4482,0.1221,2.9297,-5.2490
41534.0000,-0.1558,0.9292,0.4517,-0.1221,3.5400,-6.0425
41535.0000,-0.1597,0.9341,0.4463,0.0000,3.7842,-6.5308
41536.0000,-0.1636,0.9414,0.4487,-0.1831,3.9062,-6.8970
41537.0000,-0.1670,0.9360,0.4487,-0.4272,3.7231,-6.8970
41538.0000,-0.1709,0.9375,0.4507,-0.3052,3.6011,-6.7749
41539.0000,-0.1729,0.9375,0.4482,-0.3662,3.4790,-6.4697
41540.0000,-0.1714,0.9380,0.4482,-0.3052,2.9907,-5.9814
