timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
36893.0000,-0.1475,0.9287,0.4678,-0.7324,0.6714,-0.6714
36894.0000,-0.1528,0.9263,0.4697,-0.9155,1.1597,-1.0376
36895.0000,-0.1562,0.9268,0.4727,-0.7935,1.4648,-1.5259
36896.0000,-0.1621,0.9282,0.4717,-0.9155,1.5259,-1.8311
36897.0000,-0.1650,0.9316,0.4785,-0.9155,1.5869,-1.7090
36898.0000,-0.1611,0.9268,0.4761,-0.7935,1.4038,-1.0986
36899.0000,-0.1631,0.9214,0.4722,-0.4272,1.2817,-0.7324
36900.0000,-0.1650,0.9141,0.4702,0.0000,0.9766,0.1831
36901.0000,-0.1655,0.9136,0.4707,0.6104,0.6714,0.4883
36902.0000,-0.1646,0.9155,0.4673,1.2817,0.4272,0.5493
36903.0000,-0.1626,0.9253,0.4692,1.8311,-0.0610,0.4272
36904.0000,-0.1587,0.9336,0.4648,1.8921,-0.1221,0.1831
36905.0000,-0.1606,0.9375,0.4653,1.8311,-0.1221,-0.3662
36906.0000,-0.1650,0.9390,0.4648,1.3428,-0.1831,-1.0376
36907.0000,-0.1675,0.9365,0.4634,1.0986,-0.2441,-1.4648
36908.0000,-0.1675,0.9355,0.4629,0.7324,-0.4883,-1.8311
36909.0000,-0.1655,0.9341,0.4604,0.3662,-0.6714,-1.8921
36910.0000,-0.1655,0.9321,0.4619,0.1221,-1.0376,-1.4648
36911.0000,-0.1636,0.9326,0.4653,-0.1831,-1.0986,-0.8545
36912.0000,-0.1558,0.9277,0.4678,-0.2441,-1.3428,-0.0610
36913.0000,-0.1494,0.9258,0.4653,-0.3662,-1.4648,0.6104
36914.0000,-0.1455,0.9263,0.4668,-0.3052,-1.3428,0.7935
36915.0000,-0.1421,0.9287,0.4673,-0.1221,-0.9155,0.7324
36916.0000,-0.1440,0.9292,0.4678,-0.1221,-0.4272,0.4883
36917.0000,-0.1475,0.9253,0.4668,-0.0610,0.0000,0.0000
36918.0000,-0.1519,0.9268,0.4644,0.1831,0.4272,-0.3052
36919.0000,-0.1558,0.9365,0.4683,0.2441,0.6104,-0.5493
36920.0000,-0.1572,0.9438,0.4707,-0.0610,0.7324,-0.6714
36921.0000,-0.1577,0.9375,0.4678,-0.5493,0.6714,-0.3052
36922.0000,-0.1602,0.9282,0.4688,-0.7324,0.5493,0.1221
36923.0000,-0.1611,0.9214,0.4668,-0.4883,0.6104,0.6714
36924.0000,-0.1606,0.9219,0.4658,0.0000,0.4272,1.4038
36925.0000,-0.1577,0.9282,0.4683,0.3662,0.1221,1.9531
