timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
151473.0000,-0.2886,0.9243,0.3774,-12.0239,-0.4883,-5.4321
151474.0000,-0.2856,0.9224,0.3789,-12.3291,-0.5493,-5.8594
151475.0000,-0.2832,0.9253,0.3789,-12.5732,-0.6104,-6.4697
151476.0000,-0.2822,0.9258,0.3843,-12.8784,-0.6104,-7.0190
151477.0000,-0.2773,0.9214,0.3838,-13.3057,-0.6714,-8.1787
151478.0000,-0.2754,0.9185,0.3813,-13.6719,-0.5493,-8.7280
151479.0000,-0.2725,0.9258,0.3823,-14.0381,-0.5493,-9.5825
151480.0000,-0.2700,0.9316,0.3857,-14.8315,-0.4272,-10.4370
151481.0000,-0.2681,0.9287,0.3901,-15.8691,-0.3662,-10.9863
151482.0000,-0.2715,0.9219,0.3906,-16.4795,-0.3052,-11.5967
151483.0000,-0.2749,0.9097,0.3931,-17.3340,-0.2441,-12.3291
151484.0000,-0.2803,0.9038,0.3994,-17.5171,-0.1831,-12.6953
151485.0000,-0.2871,0.9004,0.4038,-17.4561,-0.3052,-12.9395
151486.0000,-0.2969,0.9009,0.4131,-17.0898,-0.5493,-12.9395
151487.0000,-0.2998,0.9019,0.4160,-16.8457,-0.6104,-13.2446
151488.0000,-0.3076,0.9038,0.4175,-16.6016,-0.7935,-13.6719
151489.0000,-0.3159,0.9062,0.4238,-16.2964,-0.8545,-14.2212
151490.0000,-0.3228,0.9038,0.4253,-16.4795,-0.9155,-14.4653
151491.0000,-0.3311,0.9023,0.4268,-16.4795,-0.9766,-14.4653
151492.0000,-0.3462,0.8965,0.4268,-16.7847,-1.0986,-13.7329
151493.0000,-0.3623,0.8921,0.4282,-16.8457,-1.4648,-12.5732
151494.0000,-0.3740,0.8877,0.4336,-16.6626,-2.0142,-10.8643
151495.0000,-0.3818,0.8794,0.4375,-16.1743,-3.1738,-7.8735
151496.0000,-0.3833,0.8799,0.4438,-15.6860,-3.8452,-5.7983
151497.0000,-0.3789,0.8770,0.4482,-15.2588,-4.4556,-3.9062
151498.0000,-0.3765,0.8770,0.4556,-14.6484,-5.0049,-1.8921
151499.0000,-0.3730,0.8750,0.4600,-14.4653,-5.1270,-0.9766
151500.0000,-0.3662,0.8730,0.4614,-14.2212,-5.1880,-0.3662
