timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
142257.0000,-0.4390,0.7515,0.6045,7.0190,-1.8311,0.3662
142258.0000,-0.4404,0.7515,0.6050,7.0190,-1.8921,0.4883
142259.0000,-0.4409,0.7534,0.6030,7.0190,-1.9531,0.2441
142260.0000,-0.4434,0.7549,0.6011,7.0190,-2.1362,0.3052
142261.0000,-0.4429,0.7524,0.5996,6.9580,-2.3804,0.4883
142262.0000,-0.4429,0.7520,0.5991,6.8970,-2.5024,0.6714
142263.0000,-0.4385,0.7549,0.5981,6.9580,-2.8687,1.2207
142264.0000,-0.4395,0.7515,0.6006,7.0801,-2.8687,1.5259
142265.0000,-0.4375,0.7534,0.5967,7.2021,-2.8687,1.8921
142266.0000,-0.4355,0.7520,0.5991,7.4463,-2.9907,2.0752
142267.0000,-0.4316,0.7539,0.5972,7.6904,-2.8687,2.1362
142268.0000,-0.4302,0.7529,0.5947,7.9346,-2.9297,2.0142
142269.0000,-0.4292,0.7563,0.5933,7.9956,-2.8687,2.1362
142270.0000,-0.4307,0.7568,0.5933,8.1787,-2.6855,2.1973
142271.0000,-0.4282,0.7568,0.5923,8.0566,-2.7466,2.0752
142272.0000,-0.4312,0.7593,0.5908,8.2397,-2.7466,2.0752
142273.0000,-0.4282,0.7603,0.5908,8.2397,-2.6855,1.7700
142274.0000,-0.4297,0.7588,0.5894,8.3008,-2.6855,1.7090
142275.0000,-0.4312,0.7627,0.5874,8.4229,-2.8076,1.7090
142276.0000,-0.4292,0.7617,0.5903,8.4839,-2.8687,1.7700
142277.0000,-0.4292,0.7622,0.5854,8.4839,-2.8687,1.7700
142278.0000,-0.4277,0.7622,0.5879,8.5449,-3.0518,1.7700
142279.0000,-0.4238,0.7651,0.5889,8.6670,-2.9297,1.8921
142280.0000,-0.4229,0.7651,0.5869,8.6060,-3.0518,1.8921
142281.0000,-0.4224,0.7661,0.5854,8.6670,-3.0518,1.8921
142282.0000,-0.4229,0.7666,0.5879,8.6060,-2.9297,1.7700
142283.0000,-0.4180,0.7637,0.5854,8.6670,-2.8076,1.4038
142284.0000,-0.4209,0.7681,0.5825,8.5449,-2.3804,0.7324
142285.0000,-0.4243,0.7715,0.5811,8.5449,-2.1362,0.3662
142286.0000,-0.4224,0.7734,0.5791,8.4839,-2.1362,0.0000
142287.0000,-0.4224,0.7769,0.5767,8.3618,-2.1362,-0.1221
142288.0000,-0.4243,0.7783,0.5786,8.1787,-2.0142,-0.3052
142289.0000,-0.4258,0.7769,0.5732,7.9956,-2.1362,-0.3662
142290.0000,-0.4238,0.7773,0.5757,7.9956,-2.2583,-0.3662
142291.0000,-0.4253,0.7808,0.5752,7.8125,-2.3193,-0.3052
142292.0000,-0.4263,0.7773,0.5732,7.8125,-2.3804,-0.1831
142293.0000,-0.4258,0.7803,0.5718,7.6904,-2.6245,-0.0610
142294.0000,-0.4243,0.7783,0.5703,7.6294,-2.7466,0.2441
142295.0000,-0.4238,0.7783,0.5693,7.7515,-2.7466,0.2441
142296.0000,-0.4233,0.7769,0.5674,7.6904,-2.8076,0.2441
142297.0000,-0.4219,0.7773,0.5718,7.6294,-2.8687,0.1221
142298.0000,-0.4209,0.7817,0.5703,7.6904,-2.9907,0.1221
142299.0000,-0.4209,0.7822,0.5669,7.8735,-2.9907,0.0610
142300.0000,-0.4189,0.7837,0.5669,7.8125,-3.0518,0.0610
142301.0000,-0.4170,0.7852,0.5688,7.8125,-3.0518,0.0000
142302.0000,-0.4131,0.7861,0.5635,7.7515,-2.9297,0.2441
142303.0000,-0.4146,0.7886,0.5630,7.6904,-2.8687,0.1831
142304.0000,-0.4141,0.7886,0.5610,7.4463,-2.8687,0.1831
142305.0000,-0.4131,0.7856,0.5605,7.2632,-2.6855,0.1831
142306.0000,-0.4126,0.7905,0.5620,7.3242,-2.5635,0.1221
142307.0000,-0.4136,0.7959,0.5640,7.2632,-2.3193,0.0610
142308.0000,-0.4126,0.7939,0.5649,6.9580,-2.3193,0.0610
142309.0000,-0.4146,0.7871,0.5576,6.8359,-2.1973,0.1221
142310.0000,-0.4136,0.7812,0.5596,7.2632,-2.1973,0.0610
142311.0000,-0.4136,0.7798,0.5591,7.6904,-2.0752,-0.0610
142312.0000,-0.4146,0.7808,0.5552,8.1787,-1.9531,-0.1221
142313.0000,-0.4136,0.7842,0.5537,8.5449,-1.8921,-0.1831
142314.0000,-0.4106,0.7871,0.5513,8.7280,-1.9531,-0.0610
142315.0000,-0.4092,0.7939,0.5508,8.7891,-1.8311,-0.3662
142316.0000,-0.4087,0.7954,0.5474,8.5449,-1.6479,-0.6104
142317.0000,-0.4097,0.7974,0.5469,8.1787,-1.6479,-0.8545
142318.0000,-0.4097,0.7983,0.5493,8.0566,-1.4038,-1.0986
142319.0000,-0.4111,0.7998,0.5459,7.6294,-1.2817,-1.2207
142320.0000,-0.4092,0.8003,0.5444,7.3853,-1.2207,-1.2817
142321.0000,-0.4097,0.8022,0.5469,7.1411,-1.1597,-1.2817
142322.0000,-0.4111,0.8018,0.5435,6.7749,-1.0376,-1.2207
142323.0000,-0.4136,0.8042,0.5459,6.6528,-0.9766,-1.0376
142324.0000,-0.4155,0.8062,0.5454,6.4697,-1.0376,-0.6104
142325.0000,-0.4199,0.8066,0.5439,6.2866,-1.1597,0.1221
142326.0000,-0.4204,0.8076,0.5439,6.0425,-1.4648,0.7935
142327.0000,-0.4253,0.8057,0.5454,5.9814,-1.5869,1.6479
142328.0000,-0.4312,0.8027,0.5435,5.8594,-2.1362,2.7466
142329.0000,-0.4326,0.8130,0.5464,6.0425,-2.5635,4.3335
142330.0000,-0.4355,0.8208,0.5479,6.0425,-3.2349,6.4087
142331.0000,-0.4351,0.8252,0.5459,5.9204,-4.2114,9.9487
142332.0000,-0.4365,0.8306,0.5464,5.7983,-5.0049,13.0615
142333.0000,-0.4409,0.8315,0.5498,5.6152,-5.8594,16.8457
142334.0000,-0.4346,0.8198,0.5459,5.1880,-7.3853,21.6675
142335.0000,-0.4253,0.8149,0.5391,5.2490,-8.3008,24.6582
142336.0000,-0.4204,0.8218,0.5366,5.3101,-8.7280,26.7944
142337.0000,-0.4185,0.8423,0.5430,5.1880,-9.0332,28.8086
142338.0000,-0.4155,0.8457,0.5439,4.8828,-9.7656,31.0059
142339.0000,-0.4106,0.8433,0.5405,4.6387,-10.5591,33.8745
142340.0000,-0.4043,0.8413,0.5459,4.5166,-11.5967,39.6118
142341.0000,-0.3931,0.8301,0.5454,4.4556,-12.5732,44.0674
142342.0000,-0.3735,0.8242,0.5405,4.3945,-13.2446,47.7295
142343.0000,-0.3467,0.8257,0.5381,4.5776,-13.4888,50.2930
142344.0000,-0.3306,0.8340,0.5332,4.5166,-13.1836,49.9878
142345.0000,-0.3135,0.8374,0.5342,4.2725,-12.8174,48.8281
142346.0000,-0.2822,0.8286,0.5352,3.9062,-12.2681,46.6919
142347.0000,-0.2598,0.8242,0.5312,3.7231,-11.4136,44.3115
142348.0000,-0.2529,0.8267,0.5332,3.6621,-10.0098,41.1377
142349.0000,-0.2505,0.8320,0.5361,3.5400,-8.3618,36.1938
142350.0000,-0.2417,0.8330,0.5342,3.3569,-7.5073,31.8604
142351.0000,-0.2339,0.8330,0.5327,3.3569,-6.3477,26.8555
142352.0000,-0.2188,0.8301,0.5298,3.5400,-4.6387,19.8364
142353.0000,-0.2075,0.8330,0.5234,3.8452,-3.2349,14.1602
142354.0000,-0.2002,0.8403,0.5283,3.9673,-1.7090,8.8501
142355.0000,-0.1953,0.8472,0.5205,3.7231,0.7935,1.5259
142356.0000,-0.1870,0.8418,0.5146,3.0518,2.8687,-4.7607
142357.0000,-0.1772,0.8359,0.5054,2.1362,5.3101,-12.6953
142358.0000,-0.1748,0.8628,0.5073,1.3428,9.8877,-26.2451
142359.0000,-0.2085,0.8550,0.5103,0.3662,13.4888,-35.7056
142360.0000,-0.2251,0.8384,0.5049,-0.0610,15.6860,-41.4429
142361.0000,-0.2217,0.8433,0.5156,-0.0610,18.0664,-46.8140
142362.0000,-0.2485,0.8413,0.5054,-0.5493,20.2637,-50.9644
142363.0000,-0.2700,0.8418,0.5029,-0.9766,22.0337,-55.5420
142364.0000,-0.2783,0.8438,0.5039,-1.9531,23.8037,-62.0117
142365.0000,-0.2876,0.8350,0.4976,-3.0518,25.3296,-66.5283
142366.0000,-0.2983,0.8276,0.4917,-4.1504,27.3438,-70.6787
142367.0000,-0.3213,0.8213,0.4907,-5.7373,30.0293,-75.4395
142368.0000,-0.3423,0.8262,0.4888,-7.2632,31.7383,-78.2471
