timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
87042.0000,-0.2720,0.9189,0.3774,0.1221,-3.1738,-0.9766
87043.0000,-0.2739,0.9243,0.3750,0.1221,-1.4648,-0.3662
87044.0000,-0.2842,0.9229,0.3711,-0.2441,-0.6104,0.1831
87045.0000,-0.2891,0.9199,0.3740,-0.4883,0.1221,0.7324
87046.0000,-0.2935,0.9175,0.3716,-0.7935,0.6714,1.0986
87047.0000,-0.2930,0.9209,0.3726,-0.9766,1.0986,1.0376
87048.0000,-0.2959,0.9238,0.3750,-1.3428,1.4038,0.7324
87049.0000,-0.2964,0.9224,0.3750,-1.8311,1.6479,0.1831
87050.0000,-0.2988,0.9180,0.3730,-2.0752,1.8311,-0.1831
87051.0000,-0.3027,0.9150,0.3735,-2.0752,1.8311,-0.7324
87052.0000,-0.3047,0.9136,0.3696,-1.9531,2.0752,-0.9766
87053.0000,-0.3076,0.9150,0.3716,-1.8311,2.0752,-1.2817
87054.0000,-0.3110,0.9214,0.3740,-1.5869,2.0752,-1.4038
87055.0000,-0.3110,0.9238,0.3682,-1.7700,1.5869,-1.1597
87056.0000,-0.3105,0.9268,0.3672,-2.1973,1.2817,-0.9155
87057.0000,-0.3062,0.9272,0.3701,-2.6245,1.1597,-0.4883
87058.0000,-0.3057,0.9243,0.3701,-3.1128,1.0986,-0.1831
87059.0000,-0.3032,0.9238,0.3701,-3.6011,1.1597,0.0610
87060.0000,-0.2983,0.9194,0.3677,-4.0283,1.1597,0.0610
87061.0000,-0.2944,0.9155,0.3716,-4.3335,1.5869,-0.1831
87062.0000,-0.2900,0.9126,0.3789,-4.4556,1.9531,-0.3052
87063.0000,-0.2910,0.9102,0.3784,-4.6997,2.5024,-0.5493
87064.0000,-0.2905,0.9155,0.3794,-4.8218,3.1128,-1.0376
87065.0000,-0.2915,0.9175,0.3794,-5.0049,3.7842,-1.3428
87066.0000,-0.2900,0.9165,0.3804,-5.1270,4.0894,-1.7090
87067.0000,-0.2925,0.9189,0.3804,-5.4321,4.7607,-1.9531
87068.0000,-0.2954,0.9204,0.3799,-5.4932,5.3711,-1.8921
87069.0000,-0.2969,0.9155,0.3804,-5.7983,5.5542,-1.8921
87070.0000,-0.3008,0.9082,0.3818,-6.0425,5.6763,-1.7700
87071.0000,-0.2998,0.9131,0.3809,-6.0425,6.0425,-1.7090
87072.0000,-0.3032,0.9160,0.3892,-5.9814,6.2866,-1.2207
