timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
100273.0000,-0.3369,0.8911,0.4614,3.2349,-0.1831,-2.3193
100274.0000,-0.3281,0.8926,0.4619,3.1128,-1.8311,-2.3804
100275.0000,-0.3257,0.8916,0.4575,2.8687,-2.8076,-2.3193
100276.0000,-0.3174,0.8901,0.4575,2.6855,-3.5400,-2.2583
100277.0000,-0.3076,0.8916,0.4595,2.3193,-4.2114,-2.1362
100278.0000,-0.2998,0.8901,0.4604,2.1973,-4.3335,-2.1973
100279.0000,-0.2939,0.8916,0.4556,1.8921,-4.1504,-2.5635
100280.0000,-0.2896,0.8887,0.4600,1.7090,-3.6621,-2.6855
100281.0000,-0.2876,0.8862,0.4585,1.5259,-3.1128,-2.8076
100282.0000,-0.2905,0.8882,0.4575,1.3428,-2.6245,-2.8687
100283.0000,-0.2935,0.8862,0.4624,1.4038,-1.8921,-2.6855
100284.0000,-0.2964,0.8848,0.4609,1.3428,-1.6479,-2.3804
100285.0000,-0.2988,0.8843,0.4590,1.4648,-1.2207,-2.1973
100286.0000,-0.3042,0.8887,0.4644,1.5869,-0.7935,-1.7700
100287.0000,-0.3086,0.8892,0.4663,1.5259,-0.5493,-1.3428
100288.0000,-0.3135,0.8901,0.4639,1.5869,-0.5493,-0.5493
100289.0000,-0.3120,0.8896,0.4624,1.5869,-0.3052,-0.0610
100290.0000,-0.3125,0.8911,0.4648,1.6479,-0.1831,0.3052
100291.0000,-0.3135,0.8916,0.4653,1.7700,-0.0610,0.9766
100292.0000,-0.3115,0.8867,0.4648,1.7700,-0.1221,1.0986
100293.0000,-0.3076,0.8857,0.4619,1.7090,-0.2441,1.3428
100294.0000,-0.3057,0.8843,0.4585,1.9531,-0.1831,1.2817
100295.0000,-0.3037,0.8833,0.4595,2.0142,-0.1221,1.0986
100296.0000,-0.3027,0.8823,0.4629,2.2583,0.0000,0.8545
100297.0000,-0.2983,0.8853,0.4624,2.4414,-0.1831,0.4883
100298.0000,-0.2974,0.8882,0.4590,2.5635,-0.0610,0.0610
100299.0000,-0.2935,0.8906,0.4565,2.3804,-0.1221,-0.5493
100300.0000,-0.2939,0.8872,0.4556,2.1973,-0.1221,-0.8545
100301.0000,-0.2935,0.8857,0.4561,2.0142,-0.1221,-1.0376
100302.0000,-0.2954,0.8896,0.4536,1.8311,-0.1221,-1.4038
100303.0000,-0.3008,0.8965,0.4580,1.7700,-0.1831,-1.7090
100304.0000,-0.3018,0.8892,0.4541,1.5869,-0.6104,-1.8921
