timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
107389.0000,-0.2202,0.9121,0.4595,4.8828,-16.5405,-8.0566
107390.0000,-0.2241,0.9180,0.4561,4.6997,-15.6860,-7.6294
107391.0000,-0.2207,0.9160,0.4585,4.3335,-15.1367,-6.9580
107392.0000,-0.2139,0.9072,0.4556,3.9062,-14.4043,-6.5308
107393.0000,-0.2065,0.9087,0.4575,3.6011,-13.1836,-6.5308
107394.0000,-0.2026,0.9092,0.4580,3.4180,-11.9019,-6.7749
107395.0000,-0.2075,0.9131,0.4624,2.9907,-10.1929,-7.4463
107396.0000,-0.2148,0.9102,0.4639,2.7466,-8.9722,-8.0566
107397.0000,-0.2178,0.9058,0.4634,2.6245,-7.8125,-8.5449
107398.0000,-0.2266,0.8994,0.4639,3.0518,-6.4087,-9.1553
107399.0000,-0.2349,0.8994,0.4624,3.2349,-5.6152,-9.1553
107400.0000,-0.2397,0.8970,0.4580,3.7231,-5.0049,-8.9722
107401.0000,-0.2456,0.8994,0.4609,4.0894,-4.5776,-8.3618
107402.0000,-0.2432,0.9053,0.4580,4.3945,-4.2725,-7.8125
107403.0000,-0.2422,0.9126,0.4590,4.3335,-3.9062,-7.2021
107404.0000,-0.2480,0.9121,0.4595,4.2114,-3.5400,-6.2866
107405.0000,-0.2476,0.9111,0.4561,3.9673,-3.3569,-5.7983
107406.0000,-0.2485,0.9102,0.4546,3.7231,-3.2959,-5.3101
107407.0000,-0.2441,0.9121,0.4580,3.3569,-2.9297,-5.2490
107408.0000,-0.2427,0.9111,0.4565,2.9907,-2.6245,-5.3711
107409.0000,-0.2441,0.9092,0.4600,2.6245,-2.2583,-5.9204
107410.0000,-0.2573,0.9111,0.4590,2.1973,-1.8311,-6.0425
107411.0000,-0.2642,0.9102,0.4614,1.8921,-1.8921,-5.9814
107412.0000,-0.2705,0.9082,0.4624,1.7090,-2.2583,-5.9814
107413.0000,-0.2749,0.9048,0.4619,1.7090,-2.9907,-5.3711
107414.0000,-0.2778,0.9019,0.4614,1.7090,-3.6621,-5.1270
107415.0000,-0.2773,0.9009,0.4585,1.5869,-4.2114,-5.0049
107416.0000,-0.2710,0.9048,0.4624,1.7090,-4.9438,-5.0659
107417.0000,-0.2695,0.9102,0.4658,1.5259,-5.3101,-5.1270
107418.0000,-0.2642,0.9111,0.4668,1.1597,-5.6152,-5.3101
107419.0000,-0.2617,0.9077,0.4663,0.6714,-5.6763,-5.7983
107420.0000,-0.2598,0.9043,0.4648,0.5493,-5.7983,-6.1646
107421.0000,-0.2617,0.9023,0.4688,0.4883,-5.6763,-6.4087
107422.0000,-0.2656,0.8975,0.4639,0.4883,-5.7983,-6.8359
107423.0000,-0.2690,0.8975,0.4668,0.3662,-6.1035,-7.0801
107424.0000,-0.2690,0.8979,0.4673,0.4272,-6.1646,-7.0190
107425.0000,-0.2720,0.8936,0.4663,0.6104,-6.3477,-6.5918
107426.0000,-0.2764,0.8936,0.4653,0.7935,-6.4697,-6.2866
107427.0000,-0.2803,0.8945,0.4673,0.9155,-6.7139,-5.9204
107428.0000,-0.2788,0.8931,0.4702,1.0376,-6.9580,-5.3101
107429.0000,-0.2812,0.8916,0.4731,1.4038,-7.0801,-5.0049
107430.0000,-0.2876,0.8906,0.4741,1.7090,-7.5073,-4.6997
107431.0000,-0.2974,0.8867,0.4780,2.1973,-8.5449,-3.7842
107432.0000,-0.3018,0.8862,0.4790,2.8076,-9.6436,-3.4790
107433.0000,-0.3052,0.8877,0.4780,3.4790,-10.9253,-3.1128
107434.0000,-0.3086,0.8867,0.4800,4.0894,-13.0005,-2.7466
107435.0000,-0.3140,0.8813,0.4829,4.6387,-14.8926,-3.0518
107436.0000,-0.3174,0.8765,0.4819,5.4932,-16.9678,-3.5400
