timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
101371.0000,-0.3335,0.8867,0.4170,-4.2114,5.4321,0.4883
101372.0000,-0.3345,0.8862,0.4199,-4.2114,5.4932,0.1831
101373.0000,-0.3433,0.8828,0.4277,-4.0894,5.4932,-0.1831
101374.0000,-0.3506,0.8789,0.4287,-3.9062,5.1880,-0.1831
101375.0000,-0.3579,0.8784,0.4307,-3.6621,4.6387,-0.1831
101376.0000,-0.3643,0.8760,0.4282,-3.1128,3.5400,-0.1221
101377.0000,-0.3667,0.8799,0.4302,-2.6245,2.5024,-0.2441
101378.0000,-0.3672,0.8838,0.4360,-2.1973,1.5259,-0.3052
101379.0000,-0.3608,0.8862,0.4355,-2.1362,0.1221,-0.1831
101380.0000,-0.3560,0.8809,0.4321,-2.0752,-0.8545,-0.3662
101381.0000,-0.3496,0.8740,0.4355,-1.7700,-1.7090,-0.6714
101382.0000,-0.3452,0.8706,0.4346,-1.0986,-2.2583,-1.0986
101383.0000,-0.3433,0.8735,0.4336,-0.6104,-2.7466,-1.2817
101384.0000,-0.3433,0.8755,0.4331,-0.1831,-2.9907,-1.3428
101385.0000,-0.3403,0.8809,0.4351,0.3052,-3.6621,-1.5259
101386.0000,-0.3379,0.8823,0.4355,0.5493,-3.8452,-1.5259
101387.0000,-0.3345,0.8818,0.4316,0.6714,-4.0283,-1.7090
101388.0000,-0.3291,0.8862,0.4312,0.6104,-3.9673,-1.9531
101389.0000,-0.3276,0.8877,0.4297,0.5493,-3.8452,-2.1362
101390.0000,-0.3232,0.8848,0.4341,0.3662,-3.7842,-2.1973
101391.0000,-0.3232,0.8813,0.4326,0.4272,-3.2349,-2.5635
101392.0000,-0.3223,0.8823,0.4316,0.4883,-2.8076,-2.7466
101393.0000,-0.3257,0.8818,0.4316,0.6104,-2.5024,-2.8687
101394.0000,-0.3306,0.8833,0.4360,0.6104,-2.2583,-2.6855
101395.0000,-0.3311,0.8823,0.4326,0.6714,-2.1973,-2.5635
101396.0000,-0.3315,0.8833,0.4321,0.7324,-2.0752,-2.1973
101397.0000,-0.3320,0.8867,0.4336,0.7324,-1.7700,-1.9531
101398.0000,-0.3330,0.8882,0.4312,0.7324,-1.7700,-1.7090
101399.0000,-0.3320,0.8857,0.4351,0.6714,-1.7700,-1.5259
101400.0000,-0.3306,0.8862,0.4307,0.6104,-1.5259,-1.4648
101401.0000,-0.3301,0.8872,0.4326,0.5493,-1.4038,-1.4038
101402.0000,-0.3271,0.8867,0.4277,0.6714,-1.2207,-1.5869
101403.0000,-0.3267,0.8862,0.4297,0.6104,-0.8545,-1.6479
101404.0000,-0.3252,0.8843,0.4292,0.6104,-0.5493,-1.7700
101405.0000,-0.3291,0.8843,0.4302,0.6104,-0.4883,-1.7700
101406.0000,-0.3286,0.8843,0.4307,0.6714,-0.2441,-1.7090
101407.0000,-0.3330,0.8818,0.4282,0.7324,-0.3052,-1.8311
101408.0000,-0.3345,0.8838,0.4287,0.8545,-0.1221,-1.7700
101409.0000,-0.3398,0.8872,0.4297,0.9155,-0.1221,-1.7090
101410.0000,-0.3423,0.8848,0.4268,0.8545,-0.2441,-1.5259
101411.0000,-0.3408,0.8857,0.4272,0.9155,-0.4272,-1.5869
101412.0000,-0.3418,0.8838,0.4292,0.9766,-0.7324,-1.3428
101413.0000,-0.3423,0.8809,0.4277,1.0986,-0.9155,-1.4648
101414.0000,-0.3428,0.8804,0.4307,1.0986,-1.2207,-1.4648
101415.0000,-0.3477,0.8755,0.4307,1.4648,-1.8311,-1.5869
101416.0000,-0.3574,0.8716,0.4336,1.8311,-2.5024,-1.5869
101417.0000,-0.3628,0.8682,0.4331,2.4414,-3.4790,-1.8311
101418.0000,-0.3721,0.8662,0.4380,3.4180,-5.0049,-2.5024
101419.0000,-0.3760,0.8745,0.4385,4.0894,-6.6528,-3.1128
101420.0000,-0.3809,0.8774,0.4385,4.5166,-8.4229,-3.6621
101421.0000,-0.3853,0.8745,0.4360,4.8218,-11.2915,-4.3945
101422.0000,-0.3872,0.8696,0.4355,5.2490,-13.6108,-5.1880
101423.0000,-0.3887,0.8647,0.4419,5.8594,-16.6016,-6.1035
101424.0000,-0.3896,0.8677,0.4434,6.5308,-18.9209,-7.1411
101425.0000,-0.3989,0.8691,0.4487,7.2021,-21.4844,-7.8735
101426.0000,-0.4106,0.8604,0.4570,8.0566,-25.6958,-8.6670
101427.0000,-0.4185,0.8550,0.4531,9.1553,-29.2358,-9.6436
101428.0000,-0.4233,0.8496,0.4517,10.4370,-33.1421,-10.7422
101429.0000,-0.4219,0.8467,0.4463,12.1460,-38.6353,-12.6343
101430.0000,-0.4238,0.8418,0.4448,13.7329,-42.6636,-14.2822
101431.0000,-0.4370,0.8369,0.4438,15.3809,-46.5698,-15.8691
101432.0000,-0.4780,0.8320,0.4561,17.9443,-52.5513,-17.2119
101433.0000,-0.5288,0.8335,0.4619,20.2637,-58.4106,-17.8223
101434.0000,-0.5879,0.8384,0.4673,22.4609,-66.5894,-18.0054
101435.0000,-0.6567,0.8560,0.4575,24.7192,-81.6040,-18.6157
101436.0000,-0.6885,0.8833,0.4434,25.6348,-95.2148,-20.0195
101437.0000,-0.7095,0.8945,0.4365,25.5737,-110.1074,-22.1558
101438.0000,-0.7529,0.8467,0.4282,25.6348,-131.7139,-25.2075
101439.0000,-0.8120,0.7656,0.4312,27.7100,-149.5972,-27.7100
101440.0000,-0.8833,0.6812,0.4312,32.4707,-169.3115,-30.5786
101441.0000,-0.9658,0.6475,0.4111,43.1519,-199.2798,-35.5835
101442.0000,-0.9741,0.7236,0.3667,52.0020,-224.3652,-39.8560
101443.0000,-0.9053,0.8535,0.2886,58.0444,-250.4272,-44.1284
101444.0000,-0.7148,0.9780,0.2148,58.8379,-280.6396,-48.4619
101445.0000,-0.5752,1.0039,0.1836,56.3354,-296.0205,-50.4761
101446.0000,-0.4927,0.9658,0.1797,53.5278,-305.9692,-52.3071
101447.0000,-0.4438,0.9053,0.1504,52.6123,-315.0024,-54.6875
101448.0000,-0.3848,0.9229,0.1348,53.7720,-319.9463,-57.3120
101449.0000,-0.3091,0.9746,0.1255,54.2603,-322.9370,-59.9976
101450.0000,-0.1743,1.0391,0.1230,51.6968,-322.9980,-61.7676
101451.0000,-0.0669,1.0620,0.1211,48.3398,-319.3970,-61.8896
101452.0000,0.0386,1.0669,0.1338,43.9453,-312.0117,-61.8896
101453.0000,0.1445,1.0127,0.1836,37.9639,-296.6309,-61.8286
101454.0000,0.2402,0.9902,0.1758,33.1421,-275.8789,-58.4717
101455.0000,0.3262,0.9482,0.3022,34.3018,-259.2773,-58.5327
101456.0000,0.4556,0.9297,0.2627,38.4521,-223.8159,-53.5889
101457.0000,0.3091,1.0278,0.3594,26.3062,-201.7212,-54.4434
101458.0000,0.3130,1.0186,0.3809,23.1323,-183.7158,-53.4058
101459.0000,0.4419,0.9941,0.3594,23.0713,-154.7241,-49.0723
101460.0000,0.4565,0.9966,0.4209,17.7612,-130.9204,-46.0815
101461.0000,0.4248,0.9995,0.4346,14.8315,-106.1401,-41.9922
101462.0000,0.3789,0.9419,0.4541,12.3901,-75.8057,-36.4990
101463.0000,0.3511,0.9380,0.4512,12.3901,-52.9175,-32.6538
101464.0000,0.2637,0.9609,0.4727,10.3760,-32.4707,-29.7241
101465.0000,0.0503,0.9839,0.5112,4.3335,-13.7939,-26.4282
101466.0000,-0.0088,0.9214,0.4995,3.0518,-5.6152,-23.0713
101467.0000,-0.0029,0.8838,0.4922,3.7231,2.9907,-19.6533
101468.0000,-0.0913,0.9224,0.5254,1.2207,12.5122,-16.6016
101469.0000,-0.1538,0.9482,0.5264,-0.4272,15.8691,-14.0991
101470.0000,-0.1826,0.9585,0.5234,-3.1738,16.7236,-11.4746
101471.0000,-0.1670,0.9580,0.5259,-3.4790,18.2495,-8.7280
101472.0000,-0.1572,0.9478,0.5215,-2.5635,20.6299,-6.6528
101473.0000,-0.1572,0.9351,0.5254,-1.5869,22.8882,-3.9062
101474.0000,-0.1753,0.9229,0.5303,-0.9766,25.5737,-0.4883
101475.0000,-0.1890,0.9258,0.5298,-1.4038,26.4282,1.8311
101476.0000,-0.1958,0.9404,0.5361,-2.3193,26.3672,3.6621
101477.0000,-0.1748,0.9595,0.5337,-4.8218,25.2686,5.6763
101478.0000,-0.1421,0.9565,0.5254,-7.1411,25.6958,6.9580
101479.0000,-0.1094,0.9521,0.5229,-9.4604,27.6489,8.4839
101480.0000,-0.0898,0.9414,0.5278,-12.3291,32.1655,10.1318
101481.0000,-0.0854,0.9243,0.5303,-13.6719,36.0107,11.4746
101482.0000,-0.0874,0.9062,0.5381,-14.3433,39.9170,13.0005
101483.0000,-0.0747,0.8979,0.5391,-12.8784,45.8374,15.0757
101484.0000,-0.0630,0.8945,0.5400,-11.9019,50.5981,16.9678
101485.0000,-0.0444,0.9048,0.5381,-10.9863,56.1523,19.0430
101486.0000,-0.0005,0.9165,0.5195,-10.3760,64.6973,21.5454
101487.0000,0.0376,0.9272,0.5020,-10.8643,72.8149,22.8271
101488.0000,0.0801,0.9414,0.4863,-12.3291,82.3364,24.1089
101489.0000,0.1387,0.9712,0.4546,-15.3809,97.7783,26.3062
101490.0000,0.1870,1.0015,0.4399,-19.0430,111.5723,28.7476
101491.0000,0.2339,1.0259,0.4199,-23.7427,127.5024,32.2876
101492.0000,0.2793,1.0347,0.3809,-29.9683,152.4048,38.9404
101493.0000,0.3057,1.0210,0.3560,-33.8745,173.4619,45.1660
101494.0000,0.3125,0.9927,0.3203,-37.0483,196.2280,51.7578
101495.0000,0.2803,0.9741,0.2583,-39.1846,227.2949,59.6313
101496.0000,0.2178,0.9849,0.2163,-40.4053,249.2676,65.0635
101497.0000,0.1411,0.9990,0.1763,-41.5649,268.6768,69.7632
