timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
66234.0000,-0.2842,0.9561,0.2866,6.7749,2.2583,-1.5869
66235.0000,-0.2827,0.9565,0.2856,5.7983,2.2583,-2.0752
66236.0000,-0.2861,0.9526,0.2847,4.6997,2.3804,-2.6855
66237.0000,-0.2876,0.9517,0.2896,3.7842,2.4414,-3.0518
66238.0000,-0.2871,0.9521,0.2910,3.0518,2.5635,-3.4790
66239.0000,-0.2915,0.9546,0.2935,2.0142,2.8076,-4.0283
66240.0000,-0.2896,0.9536,0.2959,1.2817,2.9907,-4.0894
66241.0000,-0.2915,0.9541,0.2988,0.4272,3.1128,-4.1504
66242.0000,-0.2939,0.9575,0.2974,-0.5493,3.3569,-4.0894
66243.0000,-0.2930,0.9512,0.3003,-1.2207,3.4790,-3.7231
66244.0000,-0.2925,0.9507,0.2974,-1.8921,3.5400,-3.4180
66245.0000,-0.2920,0.9561,0.3042,-2.7466,3.7842,-2.9297
66246.0000,-0.2939,0.9600,0.3105,-3.3569,3.9673,-2.8687
66247.0000,-0.2988,0.9536,0.3105,-4.2725,4.2114,-2.5635
66248.0000,-0.3047,0.9399,0.3140,-5.1270,4.2725,-2.4414
66249.0000,-0.3047,0.9365,0.3125,-5.5542,4.3335,-2.1362
66250.0000,-0.3052,0.9351,0.3120,-5.7373,4.5166,-2.1362
66251.0000,-0.3066,0.9370,0.3115,-5.9814,4.3945,-1.8311
66252.0000,-0.3081,0.9453,0.3076,-6.1035,4.3945,-1.4648
66253.0000,-0.3076,0.9570,0.3086,-6.6528,4.5166,-1.0986
66254.0000,-0.3096,0.9658,0.3130,-7.9346,4.2725,-0.3052
66255.0000,-0.3062,0.9668,0.3125,-9.1553,4.2725,0.3052
66256.0000,-0.3052,0.9639,0.3125,-10.3760,4.2114,0.7324
66257.0000,-0.3052,0.9561,0.3159,-11.9019,3.9673,1.1597
66258.0000,-0.3022,0.9556,0.3179,-13.1226,4.0283,1.2817
66259.0000,-0.3022,0.9517,0.3193,-14.0991,4.0894,0.9766
66260.0000,-0.3022,0.9419,0.3232,-15.1367,4.2114,0.9766
66261.0000,-0.3037,0.9380,0.3242,-15.6860,4.2114,0.9766
66262.0000,-0.3062,0.9385,0.3311,-16.1133,4.0894,0.9766
66263.0000,-0.3047,0.9351,0.3364,-16.6016,3.7842,1.0986
66264.0000,-0.3022,0.9341,0.3364,-16.9067,3.4790,1.2817
66265.0000,-0.2988,0.9326,0.3403,-17.2729,3.4180,1.2817
66266.0000,-0.2949,0.9302,0.3438,-17.8223,3.2349,1.3428
66267.0000,-0.2900,0.9297,0.3428,-18.3716,3.2349,1.2207
66268.0000,-0.2896,0.9282,0.3462,-18.6768,3.3569,0.7935
66269.0000,-0.2910,0.9233,0.3564,-19.1650,3.5400,0.3662
66270.0000,-0.2959,0.9180,0.3643,-19.3481,3.7842,-0.0610
66271.0000,-0.3032,0.9106,0.3696,-19.4092,3.7842,-0.8545
66272.0000,-0.3047,0.9053,0.3740,-19.2871,3.7231,-1.1597
66273.0000,-0.3018,0.9053,0.3774,-18.8599,3.4790,-1.3428
66274.0000,-0.3027,0.9033,0.3813,-18.2495,3.1738,-1.5259
66275.0000,-0.3013,0.8984,0.3828,-17.8223,2.9907,-1.4038
66276.0000,-0.2988,0.8989,0.3853,-17.2119,2.9297,-1.3428
66277.0000,-0.2974,0.9014,0.3882,-16.6626,2.8687,-1.3428
66278.0000,-0.2944,0.9028,0.3901,-16.2964,3.0518,-1.4648
66279.0000,-0.2979,0.9116,0.3867,-15.9912,3.1128,-1.5869
66280.0000,-0.2979,0.9165,0.3833,-16.2354,3.4790,-1.7090
66281.0000,-0.2998,0.9272,0.3774,-16.6016,3.6621,-1.6479
66282.0000,-0.3018,0.9429,0.3789,-17.2729,3.9062,-1.5869
66283.0000,-0.3081,0.9585,0.3765,-19.0430,4.0283,-1.2817
66284.0000,-0.3125,0.9688,0.3633,-20.9351,3.9673,-0.7935
66285.0000,-0.3169,0.9790,0.3608,-23.0103,3.6011,-0.1831
66286.0000,-0.3242,0.9912,0.3545,-26.4893,2.8076,0.2441
66287.0000,-0.3257,1.0039,0.3506,-29.7241,2.0752,0.2441
66288.0000,-0.3208,1.0210,0.3403,-33.5693,1.1597,0.2441
66289.0000,-0.3140,1.0405,0.3306,-39.7339,0.3052,-0.0610
66290.0000,-0.3076,1.0479,0.3276,-44.8608,-0.1831,-0.6104
66291.0000,-0.3091,1.0547,0.3252,-50.4761,-0.5493,-1.0986
66292.0000,-0.3105,1.0557,0.3252,-58.4717,-1.4038,-1.2817
66293.0000,-0.3052,1.0415,0.3276,-64.5142,-2.1973,-1.3428
66294.0000,-0.2959,1.0151,0.3384,-69.8853,-2.9297,-1.3428
66295.0000,-0.2827,0.9956,0.3467,-76.2939,-3.1738,-1.8311
66296.0000,-0.2769,0.9937,0.3560,-80.8716,-2.9907,-2.5635
66297.0000,-0.2744,0.9937,0.3662,-85.6934,-2.8076,-3.0518
66298.0000,-0.2651,0.9907,0.3740,-92.7124,-2.6855,-3.9062
66299.0000,-0.2612,0.9736,0.3823,-98.1445,-2.4414,-4.5166
66300.0000,-0.2520,0.9556,0.3799,-103.5767,-2.1973,-5.4932
66301.0000,-0.2549,0.9419,0.3892,-110.7178,-1.2817,-7.2021
66302.0000,-0.2617,0.9414,0.4033,-115.9668,-0.5493,-8.7891
66303.0000,-0.2686,0.9390,0.4067,-121.7651,-0.2441,-10.0708
66304.0000,-0.2759,0.9102,0.4126,-129.3335,-0.6104,-10.8643
66305.0000,-0.2788,0.8838,0.4263,-134.7046,-1.1597,-11.1694
66306.0000,-0.2886,0.8579,0.4395,-139.6484,-1.7700,-11.2305
66307.0000,-0.2979,0.8008,0.4600,-145.2026,-3.1738,-11.3525
66308.0000,-0.3022,0.7671,0.4795,-148.4985,-4.5776,-11.5356
66309.0000,-0.3018,0.7539,0.4971,-151.5503,-5.8594,-12.2070
66310.0000,-0.2998,0.7427,0.5205,-156.4331,-7.2021,-13.6108
66311.0000,-0.3091,0.7070,0.5444,-160.0952,-8.1177,-14.7705
66312.0000,-0.3281,0.6445,0.5776,-162.7197,-9.6436,-15.4419
66313.0000,-0.3530,0.5483,0.6338,-162.7808,-12.2681,-15.5640
66314.0000,-0.3696,0.4990,0.6909,-160.7056,-14.5874,-14.8926
66315.0000,-0.3770,0.4634,0.7344,-157.1045,-17.3950,-13.6108
66316.0000,-0.3613,0.4302,0.7827,-151.6113,-21.1182,-11.5967
66317.0000,-0.3608,0.4038,0.8145,-146.9727,-23.4985,-9.7046
66318.0000,-0.3335,0.3486,0.9019,-141.2354,-26.8555,-8.6060
66319.0000,-0.2734,0.2930,0.9326,-131.7749,-26.6724,-7.8735
66320.0000,-0.2661,0.2681,0.9761,-124.3286,-23.8037,-7.5073
66321.0000,-0.2739,0.2754,1.0244,-115.3564,-21.7285,-6.7139
66322.0000,-0.2754,0.2734,1.0752,-105.8350,-20.5078,-5.0659
66323.0000,-0.2676,0.2520,1.0981,-98.3276,-18.9819,-3.9673
66324.0000,-0.2593,0.2144,1.1206,-90.5151,-17.0288,-3.0518
66325.0000,-0.2544,0.1709,1.1519,-79.0405,-13.7939,-2.4414
66326.0000,-0.2539,0.1606,1.1738,-69.3970,-11.2915,-2.2583
66327.0000,-0.2505,0.1670,1.1904,-60.1196,-8.6670,-1.9531
66328.0000,-0.2554,0.1826,1.1978,-47.8516,-5.4932,-1.2817
66329.0000,-0.2544,0.1973,1.1904,-39.7949,-3.4180,-0.5493
66330.0000,-0.2549,0.2085,1.1846,-32.5928,-1.0986,0.1831
66331.0000,-0.2598,0.2305,1.1641,-24.3530,1.7090,1.2817
66332.0000,-0.2671,0.2500,1.1460,-19.1650,3.1128,2.3804
66333.0000,-0.2729,0.2705,1.1289,-15.1367,4.2114,3.3569
66334.0000,-0.2842,0.2847,1.1094,-11.2915,4.7607,4.2725
66335.0000,-0.2861,0.2964,1.0972,-8.9722,4.8218,4.8218
66336.0000,-0.2900,0.3076,1.0884,-7.0190,4.3335,4.8218
66337.0000,-0.2979,0.3140,1.0718,-4.7607,2.9297,4.9438
66338.0000,-0.2959,0.3145,1.0615,-3.2959,1.4648,5.1270
66339.0000,-0.2915,0.3198,1.0527,-1.8311,0.0610,5.1270
66340.0000,-0.2812,0.3276,1.0430,-0.1221,-2.0142,4.6387
66341.0000,-0.2710,0.3408,1.0376,0.8545,-3.2959,4.3945
66342.0000,-0.2588,0.3491,1.0234,1.5259,-4.3335,3.3569
66343.0000,-0.2402,0.3564,1.0161,1.7090,-5.3711,2.0142
66344.0000,-0.2295,0.3613,1.0127,1.7700,-5.3101,0.2441
66345.0000,-0.2197,0.3672,1.0112,1.7090,-4.5166,-1.5869
66346.0000,-0.2212,0.3716,1.0073,1.5259,-2.7466,-4.2725
66347.0000,-0.2305,0.3745,1.0049,1.5259,-1.3428,-6.2256
66348.0000,-0.2417,0.3765,1.0039,1.6479,-0.3052,-7.5684
66349.0000,-0.2559,0.3804,1.0015,1.6479,0.4883,-8.4839
66350.0000,-0.2617,0.3823,1.0005,1.8311,1.0376,-8.8501
66351.0000,-0.2632,0.3853,1.0005,1.8311,1.4038,-8.7891
66352.0000,-0.2676,0.3872,1.0000,2.0752,2.0752,-8.9111
66353.0000,-0.2676,0.3906,0.9971,1.9531,2.6245,-9.0942
66354.0000,-0.2671,0.3950,0.9932,1.8311,3.4180,-9.3384
66355.0000,-0.2646,0.3945,0.9941,1.5869,5.1270,-10.0708
66356.0000,-0.2749,0.3950,0.9858,1.2817,6.6528,-10.2539
66357.0000,-0.2876,0.3989,0.9888,0.7935,7.5073,-10.2539
66358.0000,-0.3052,0.4014,0.9868,0.3662,7.9346,-9.8877
66359.0000,-0.3130,0.3999,0.9883,-0.1221,8.0566,-9.2773
66360.0000,-0.3198,0.3989,0.9927,-0.5493,7.9346,-8.4229
66361.0000,-0.3296,0.3955,0.9932,-0.9155,7.4463,-7.1411
66362.0000,-0.3320,0.3896,0.9976,-1.0986,7.0190,-6.4697
66363.0000,-0.3335,0.3862,0.9946,-1.0376,6.5918,-5.9204
66364.0000,-0.3340,0.3853,1.0029,-0.7324,5.7983,-5.3711
66365.0000,-0.3320,0.3853,1.0020,-0.6104,5.3101,-5.1880
66366.0000,-0.3271,0.3813,1.0049,-0.3662,4.8218,-4.6997
