timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
62622.0000,-0.2554,0.9707,0.2905,-11.1694,4.5776,-1.3428
62623.0000,-0.2568,0.9741,0.2886,-12.3901,4.8828,-1.4038
62624.0000,-0.2607,0.9780,0.2920,-13.3667,4.9438,-1.4038
62625.0000,-0.2617,0.9790,0.2891,-14.3433,4.8218,-1.3428
62626.0000,-0.2593,0.9805,0.2900,-15.9302,4.7607,-1.0376
62627.0000,-0.2603,0.9790,0.2939,-17.0898,4.5776,-0.8545
62628.0000,-0.2607,0.9795,0.2939,-18.3716,4.5166,-0.7935
62629.0000,-0.2588,0.9819,0.2969,-19.9585,4.4556,-0.7935
62630.0000,-0.2583,0.9800,0.2959,-21.2402,4.3945,-0.9155
62631.0000,-0.2578,0.9785,0.2998,-22.5830,4.2725,-1.0376
62632.0000,-0.2603,0.9775,0.3013,-24.4141,4.3335,-1.0986
62633.0000,-0.2622,0.9766,0.3027,-25.7568,4.2114,-1.2817
62634.0000,-0.2637,0.9736,0.3076,-27.1606,4.0894,-1.5869
62635.0000,-0.2593,0.9751,0.3145,-28.8696,4.0283,-1.6479
62636.0000,-0.2612,0.9736,0.3164,-30.2124,3.9062,-1.9531
62637.0000,-0.2607,0.9707,0.3198,-31.5552,3.8452,-2.0752
62638.0000,-0.2583,0.9688,0.3262,-33.3862,3.7842,-1.8921
62639.0000,-0.2588,0.9683,0.3301,-34.7900,3.8452,-2.0142
62640.0000,-0.2578,0.9653,0.3345,-36.1328,3.6621,-2.0752
62641.0000,-0.2559,0.9595,0.3394,-37.8418,3.7842,-2.1973
62642.0000,-0.2568,0.9546,0.3433,-39.1235,3.7842,-2.3193
62643.0000,-0.2563,0.9507,0.3521,-40.1611,3.9673,-2.6855
62644.0000,-0.2593,0.9458,0.3579,-41.5649,4.1504,-3.1738
62645.0000,-0.2617,0.9468,0.3638,-42.7246,4.2114,-3.3569
62646.0000,-0.2646,0.9492,0.3716,-43.7622,4.1504,-3.6621
62647.0000,-0.2700,0.9492,0.3813,-45.5322,3.9673,-3.7231
62648.0000,-0.2729,0.9502,0.3843,-46.8750,3.6011,-3.8452
62649.0000,-0.2734,0.9482,0.3965,-48.1567,3.2349,-4.0283
62650.0000,-0.2754,0.9438,0.3994,-50.5371,2.6855,-4.2114
62651.0000,-0.2710,0.9438,0.4038,-52.3071,2.1973,-4.5166
62652.0000,-0.2715,0.9375,0.4106,-54.0161,2.0142,-5.0049
62653.0000,-0.2705,0.9297,0.4209,-56.4575,1.7700,-5.4932
62654.0000,-0.2705,0.9277,0.4312,-58.1055,1.6479,-5.9814
62655.0000,-0.2739,0.9199,0.4404,-59.7534,1.5869,-6.1646
62656.0000,-0.2773,0.9121,0.4521,-61.6455,1.0986,-6.1035
