timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
73848.0000,-0.2773,0.7803,0.6611,-19.5923,-2.8687,-7.7515
73849.0000,-0.2773,0.7886,0.6572,-18.6768,-2.4414,-7.9346
73850.0000,-0.2803,0.7915,0.6587,-18.1885,-2.1973,-7.8125
73851.0000,-0.2832,0.7935,0.6660,-17.1509,-2.0752,-6.5918
73852.0000,-0.2847,0.7974,0.6670,-16.6626,-2.0142,-5.5542
73853.0000,-0.2812,0.7930,0.6641,-15.8691,-1.9531,-4.3945
73854.0000,-0.2871,0.7905,0.6646,-15.5640,-2.1973,-3.1738
73855.0000,-0.2856,0.7876,0.6685,-14.8926,-2.3804,-2.6245
73856.0000,-0.2778,0.7876,0.6704,-14.2212,-2.3193,-2.3193
73857.0000,-0.2739,0.7861,0.6699,-12.8784,-1.8921,-2.3804
73858.0000,-0.2700,0.7822,0.6680,-12.3291,-1.4648,-2.5024
73859.0000,-0.2720,0.7842,0.6660,-11.4136,-1.1597,-2.6245
73860.0000,-0.2700,0.7783,0.6719,-11.0474,-0.9155,-2.7466
73861.0000,-0.2715,0.7871,0.6704,-10.2539,-0.5493,-2.6245
73862.0000,-0.2705,0.7886,0.6729,-9.4604,-0.4272,-2.5635
73863.0000,-0.2705,0.7944,0.6729,-9.9487,-0.6714,-1.8311
73864.0000,-0.2729,0.7876,0.6768,-9.6436,-0.7324,-1.5259
73865.0000,-0.2686,0.7866,0.6724,-8.9722,-0.7935,-1.0986
73866.0000,-0.2725,0.7847,0.6729,-8.0566,-0.6104,-1.0376
73867.0000,-0.2710,0.7842,0.6763,-7.3853,-0.7324,-0.9155
73868.0000,-0.2690,0.7812,0.6743,-7.0190,-0.6714,-1.0986
73869.0000,-0.2715,0.7822,0.6714,-6.4087,-0.7935,-1.3428
73870.0000,-0.2681,0.7837,0.6719,-5.7983,-0.7935,-1.4038
73871.0000,-0.2612,0.7852,0.6675,-4.6997,-0.4883,-1.2207
73872.0000,-0.2642,0.7832,0.6743,-4.0283,-0.3662,-1.1597
73873.0000,-0.2671,0.7866,0.6685,-3.2959,-0.4272,-0.7935
73874.0000,-0.2637,0.7852,0.6709,-3.1128,-0.5493,-0.6714
73875.0000,-0.2651,0.7842,0.6724,-2.6855,-0.9155,-0.2441
73876.0000,-0.2637,0.7827,0.6714,-2.0752,-0.9155,-0.0610
73877.0000,-0.2617,0.7773,0.6709,-1.3428,-0.9155,-0.1831
73878.0000,-0.2705,0.7822,0.6685,-0.6104,-0.9155,-0.7935
73879.0000,-0.2632,0.7744,0.6709,0.3052,-1.0986,-0.6714
73880.0000,-0.2598,0.7773,0.6665,1.8311,-0.7935,-1.3428
73881.0000,-0.2603,0.7827,0.6636,2.8687,-0.6714,-1.8311
73882.0000,-0.2637,0.7871,0.6650,2.9297,-0.6714,-1.9531
73883.0000,-0.2676,0.7896,0.6616,3.2959,-1.0376,-2.6855
73884.0000,-0.2637,0.7915,0.6611,3.7842,-1.2817,-3.1128
73885.0000,-0.2656,0.7930,0.6592,4.6387,-1.2817,-3.4790
73886.0000,-0.2710,0.7939,0.6538,5.3711,-1.2207,-3.8452
73887.0000,-0.2729,0.7944,0.6528,5.7373,-1.4038,-4.0283
73888.0000,-0.2705,0.7974,0.6514,6.4087,-1.5869,-4.2114
73889.0000,-0.2710,0.8018,0.6440,6.9580,-1.6479,-4.3335
73890.0000,-0.2759,0.7988,0.6523,6.7139,-1.8921,-4.6387
73891.0000,-0.2642,0.8018,0.6479,7.7515,-2.0142,-4.2725
73892.0000,-0.2700,0.8145,0.6377,8.1787,-1.3428,-4.7607
73893.0000,-0.2783,0.8135,0.6465,7.2021,-1.7700,-4.6997
73894.0000,-0.2788,0.8091,0.6421,6.8970,-2.3193,-4.8828
73895.0000,-0.2739,0.8081,0.6372,7.3242,-2.1973,-4.9438
73896.0000,-0.2827,0.8052,0.6401,7.3242,-2.1973,-5.1880
73897.0000,-0.2881,0.8042,0.6406,7.3242,-2.6245,-5.1880
73898.0000,-0.2871,0.8013,0.6396,8.6060,-2.8687,-5.2490
73899.0000,-0.2871,0.8057,0.6387,9.2163,-2.9297,-5.5542
73900.0000,-0.2886,0.8105,0.6411,9.2773,-3.3569,-5.4932
73901.0000,-0.2861,0.8105,0.6353,9.1553,-3.9673,-5.2490
73902.0000,-0.2769,0.8145,0.6362,9.1553,-4.1504,-5.0049
73903.0000,-0.2769,0.8179,0.6353,9.0332,-4.0283,-4.6387
73904.0000,-0.2783,0.8154,0.6328,8.9111,-4.0894,-4.5776
73905.0000,-0.2803,0.8179,0.6318,8.9111,-4.0894,-4.4556
73906.0000,-0.2788,0.8149,0.6328,8.4839,-4.1504,-4.5776
73907.0000,-0.2773,0.8125,0.6372,8.2397,-4.0894,-4.8828
73908.0000,-0.2803,0.8057,0.6387,8.5449,-3.9673,-4.8828
73909.0000,-0.2891,0.7998,0.6440,9.0332,-3.8452,-4.9438
73910.0000,-0.3013,0.7847,0.6582,10.6201,-4.1504,-5.0049
73911.0000,-0.3110,0.7734,0.6665,12.2681,-4.6997,-5.3101
73912.0000,-0.3213,0.7598,0.6665,14.0991,-5.6152,-5.4932
73913.0000,-0.3213,0.7549,0.6646,16.8457,-7.1411,-5.3711
73914.0000,-0.3130,0.7583,0.6621,18.9209,-8.1177,-5.0049
73915.0000,-0.3052,0.7583,0.6597,20.9351,-9.0332,-4.6387
73916.0000,-0.2954,0.7563,0.6572,23.7427,-9.8877,-4.2114
73917.0000,-0.2925,0.7559,0.6538,26.0010,-10.2539,-4.1504
73918.0000,-0.2905,0.7603,0.6509,28.0762,-10.6201,-4.4556
73919.0000,-0.2896,0.7583,0.6475,30.8228,-10.9253,-4.8828
73920.0000,-0.2891,0.7524,0.6455,32.8979,-11.4746,-5.3101
73921.0000,-0.2837,0.7534,0.6406,35.0952,-11.7798,-5.7983
73922.0000,-0.2744,0.7632,0.6333,38.0249,-11.7798,-6.5918
73923.0000,-0.2729,0.7695,0.6279,39.9780,-11.4746,-7.1411
73924.0000,-0.2725,0.7671,0.6245,41.6870,-11.4136,-7.6294
73925.0000,-0.2734,0.7607,0.6221,44.8608,-11.0474,-8.1177
73926.0000,-0.2788,0.7573,0.6157,47.3022,-10.7422,-8.3008
73927.0000,-0.2817,0.7583,0.6084,49.9268,-10.4370,-8.3618
73928.0000,-0.2861,0.7666,0.5991,53.4058,-10.5591,-8.0566
73929.0000,-0.2847,0.7720,0.5864,56.0913,-10.6812,-7.6904
73930.0000,-0.2812,0.7837,0.5806,58.5327,-10.6812,-7.2632
73931.0000,-0.2783,0.8008,0.5693,61.4014,-10.3149,-6.5308
73932.0000,-0.2812,0.7959,0.5576,63.2324,-10.1929,-6.2256
73933.0000,-0.2856,0.7886,0.5444,65.3687,-10.1929,-6.1646
73934.0000,-0.2827,0.7842,0.5264,68.7866,-9.9487,-6.0425
73935.0000,-0.2788,0.7866,0.5195,71.5332,-9.8267,-5.6763
73936.0000,-0.2729,0.7910,0.5039,74.1577,-9.5215,-5.1880
73937.0000,-0.2637,0.8003,0.4844,77.8198,-9.0332,-4.3335
73938.0000,-0.2563,0.8091,0.4697,80.1392,-8.1787,-3.8452
73939.0000,-0.2563,0.8149,0.4590,82.0923,-7.3853,-3.4790
73940.0000,-0.2578,0.8325,0.4355,84.5337,-6.0425,-3.1128
73941.0000,-0.2573,0.8442,0.4175,85.6934,-5.0659,-2.8687
73942.0000,-0.2554,0.8599,0.4043,86.9751,-4.2725,-2.7466
73943.0000,-0.2534,0.8696,0.3882,88.1348,-2.8076,-2.9297
73944.0000,-0.2554,0.8711,0.3706,88.6841,-1.8311,-3.2959
73945.0000,-0.2563,0.8691,0.3545,89.3555,-0.6714,-3.9673
73946.0000,-0.2515,0.8687,0.3359,90.5762,0.9155,-4.9438
73947.0000,-0.2505,0.8691,0.3242,91.6138,2.4414,-5.3101
73948.0000,-0.2485,0.8794,0.3066,92.5903,3.9062,-5.4321
73949.0000,-0.2510,0.8979,0.2896,93.2617,5.7373,-4.6387
73950.0000,-0.2559,0.9072,0.2695,93.0786,6.5918,-3.2349
73951.0000,-0.2612,0.9150,0.2490,92.7734,7.3853,-1.6479
73952.0000,-0.2622,0.9204,0.2246,91.7969,8.1787,0.6714
73953.0000,-0.2661,0.9199,0.2080,90.8203,8.9111,2.1362
73954.0000,-0.2695,0.9175,0.1938,90.2710,9.6436,2.9907
73955.0000,-0.2676,0.9165,0.1753,89.8438,10.6812,3.7231
73956.0000,-0.2666,0.9170,0.1592,89.5996,11.5356,3.7231
73957.0000,-0.2720,0.9180,0.1460,89.4775,12.5122,3.6011
73958.0000,-0.2773,0.9302,0.1250,89.4165,13.1836,3.4790
