timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
78002.0000,-0.2886,0.7632,0.6997,4.3335,0.7324,-6.4087
78003.0000,-0.2983,0.7710,0.6992,4.4556,1.4038,-6.1035
78004.0000,-0.3042,0.7842,0.7012,4.3945,1.7700,-5.0659
78005.0000,-0.3086,0.7915,0.6973,3.9062,1.7090,-3.8452
78006.0000,-0.3140,0.7900,0.6958,3.3569,1.3428,-2.5635
78007.0000,-0.3130,0.7822,0.6914,3.0518,0.7324,-1.0986
78008.0000,-0.3086,0.7769,0.6890,3.1128,0.3052,-0.1221
78009.0000,-0.3076,0.7769,0.6855,3.2349,0.0610,0.4272
78010.0000,-0.3022,0.7759,0.6821,3.7231,-0.1831,0.6104
78011.0000,-0.2949,0.7764,0.6816,4.1504,-0.3662,0.7935
78012.0000,-0.2925,0.7803,0.6807,4.5776,-0.4272,0.7324
78013.0000,-0.2900,0.7822,0.6763,4.8828,-0.3052,0.6104
78014.0000,-0.2905,0.7827,0.6748,5.0049,-0.2441,0.5493
78015.0000,-0.2905,0.7788,0.6709,5.4932,-0.4272,0.6104
78016.0000,-0.2959,0.7783,0.6714,5.9204,-0.5493,0.7935
78017.0000,-0.2969,0.7822,0.6685,6.1646,-0.8545,0.7935
78018.0000,-0.2964,0.7842,0.6714,6.4697,-1.3428,0.9766
78019.0000,-0.2944,0.7861,0.6646,6.9580,-2.1973,1.4038
78020.0000,-0.2886,0.7856,0.6631,7.2021,-2.7466,1.2207
78021.0000,-0.2866,0.7861,0.6611,7.3853,-3.1738,1.1597
78022.0000,-0.2812,0.7876,0.6538,7.8735,-3.4180,0.6104
78023.0000,-0.2749,0.7881,0.6523,8.2397,-3.6621,0.0610
78024.0000,-0.2725,0.7910,0.6523,8.6060,-3.6011,-0.5493
78025.0000,-0.2715,0.7954,0.6494,9.0942,-3.4180,-1.2207
78026.0000,-0.2734,0.7979,0.6421,9.3994,-3.1128,-1.7090
78027.0000,-0.2754,0.8003,0.6416,9.7046,-3.0518,-1.8921
78028.0000,-0.2793,0.8086,0.6406,9.8267,-2.9907,-2.3193
