timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
80959.0000,-0.3545,0.8501,0.4873,3.3569,-1.1597,-1.4038
80960.0000,-0.3525,0.8525,0.4917,3.6011,-1.3428,-1.4648
80961.0000,-0.3530,0.8608,0.4829,3.9062,-1.4648,-1.4648
80962.0000,-0.3550,0.8672,0.4834,4.0283,-1.4038,-1.5259
80963.0000,-0.3516,0.8740,0.4824,3.7231,-1.6479,-1.4648
80964.0000,-0.3535,0.8721,0.4829,3.1128,-1.7700,-0.9766
80965.0000,-0.3516,0.8711,0.4824,2.8076,-2.0142,-0.7324
80966.0000,-0.3462,0.8677,0.4775,2.3804,-2.2583,-0.4272
80967.0000,-0.3433,0.8667,0.4785,2.0142,-2.2583,0.0000
80968.0000,-0.3398,0.8643,0.4751,1.7090,-2.1973,0.0610
80969.0000,-0.3389,0.8623,0.4810,1.7090,-2.0752,0.2441
80970.0000,-0.3369,0.8613,0.4795,1.7090,-1.7700,0.0610
80971.0000,-0.3389,0.8638,0.4746,1.7090,-1.5869,-0.1221
80972.0000,-0.3408,0.8672,0.4751,1.6479,-1.4038,-0.2441
80973.0000,-0.3408,0.8716,0.4780,1.4038,-1.2817,-0.3052
80974.0000,-0.3379,0.8755,0.4722,1.1597,-1.2207,-0.5493
80975.0000,-0.3359,0.8789,0.4688,0.6714,-1.0376,-0.3662
80976.0000,-0.3330,0.8784,0.4668,0.0610,-0.7935,-0.3052
80977.0000,-0.3335,0.8804,0.4697,-0.4272,-0.4883,-0.1831
80978.0000,-0.3311,0.8784,0.4697,-1.0376,-0.3052,-0.1221
80979.0000,-0.3320,0.8745,0.4717,-1.7090,0.1831,0.2441
80980.0000,-0.3325,0.8721,0.4761,-2.0142,0.3662,0.3052
80981.0000,-0.3330,0.8716,0.4761,-2.2583,0.6104,0.5493
80982.0000,-0.3369,0.8691,0.4771,-2.4414,0.8545,0.7324
80983.0000,-0.3374,0.8657,0.4780,-2.6245,1.0376,0.6714
80984.0000,-0.3389,0.8672,0.4810,-2.6245,0.9766,0.4272
80985.0000,-0.3403,0.8672,0.4824,-2.7466,0.9155,0.1831
80986.0000,-0.3403,0.8677,0.4800,-2.7466,0.8545,0.0610
80987.0000,-0.3364,0.8691,0.4834,-2.9907,0.6104,-0.0610
80988.0000,-0.3359,0.8677,0.4854,-3.4180,0.4272,-0.2441
80989.0000,-0.3350,0.8672,0.4858,-3.5400,0.4883,-0.1831
80990.0000,-0.3340,0.8633,0.4902,-3.6011,0.3662,-0.3052
80991.0000,-0.3359,0.8579,0.4917,-3.3569,0.4272,-0.1221
80992.0000,-0.3389,0.8594,0.4941,-3.1738,0.5493,-0.0610
80993.0000,-0.3413,0.8574,0.4927,-2.8687,0.3662,0.1221
80994.0000,-0.3384,0.8589,0.4946,-2.6245,0.2441,0.3052
80995.0000,-0.3364,0.8564,0.4897,-2.6855,0.3052,0.3052
80996.0000,-0.3359,0.8599,0.4951,-2.3804,0.4272,0.4883
80997.0000,-0.3330,0.8604,0.4941,-2.3193,0.4883,0.6104
80998.0000,-0.3325,0.8560,0.5010,-2.3193,0.4272,0.4272
80999.0000,-0.3340,0.8501,0.5073,-2.2583,0.4272,0.1831
81000.0000,-0.3359,0.8462,0.5117,-1.8921,0.4272,-0.1221
81001.0000,-0.3369,0.8374,0.5142,-1.2817,0.1221,-0.5493
81002.0000,-0.3359,0.8354,0.5161,-0.3052,-0.1221,-0.9766
81003.0000,-0.3350,0.8379,0.5239,0.5493,-0.2441,-1.0986
81004.0000,-0.3350,0.8369,0.5288,1.1597,-0.3052,-1.3428
81005.0000,-0.3413,0.8315,0.5444,1.7700,-0.1831,-1.4038
81006.0000,-0.3491,0.8130,0.5547,2.6855,-0.2441,-1.4648
81007.0000,-0.3560,0.7896,0.5732,4.0283,-0.5493,-1.3428
81008.0000,-0.3613,0.7578,0.5957,7.2632,-0.9766,-0.6104
81009.0000,-0.3657,0.7378,0.6050,10.8032,-1.2817,0.0610
81010.0000,-0.3696,0.7202,0.6147,14.8315,-1.8921,0.8545
81011.0000,-0.3623,0.6968,0.6152,21.5454,-2.8687,1.9531
81012.0000,-0.3555,0.6846,0.6138,27.2217,-3.3569,2.7466
81013.0000,-0.3540,0.6777,0.6157,33.0200,-3.7231,3.1738
81014.0000,-0.3643,0.6709,0.6167,40.9546,-4.2725,3.4790
81015.0000,-0.3682,0.6694,0.6099,46.9971,-5.0049,3.3569
81016.0000,-0.3701,0.6724,0.6025,52.9785,-5.8594,2.9907
81017.0000,-0.3623,0.6777,0.5913,60.9131,-6.9580,2.1362
81018.0000,-0.3535,0.6738,0.5747,66.5283,-7.8125,1.6479
81019.0000,-0.3408,0.6719,0.5566,72.0825,-8.4229,1.2817
81020.0000,-0.3271,0.6660,0.5439,79.4678,-8.6060,0.7324
81021.0000,-0.3271,0.6572,0.5327,85.1440,-8.4839,0.0610
81022.0000,-0.3281,0.6528,0.5132,91.1255,-8.6670,-0.7935
81023.0000,-0.3237,0.6426,0.4839,99.6094,-9.0332,-2.4414
81024.0000,-0.3145,0.6353,0.4551,106.2012,-9.3384,-3.9673
81025.0000,-0.3057,0.6348,0.4312,112.9150,-9.2163,-5.6152
81026.0000,-0.2939,0.6338,0.4023,121.7041,-8.8501,-7.5684
81027.0000,-0.2891,0.6304,0.3809,128.4180,-8.3008,-9.2163
81028.0000,-0.2871,0.6387,0.3555,134.8877,-7.2632,-10.9253
81029.0000,-0.2876,0.6528,0.3037,142.7612,-5.7983,-13.0615
81030.0000,-0.2871,0.6562,0.2769,148.1323,-4.9438,-14.8926
81031.0000,-0.2837,0.6523,0.2446,153.1372,-3.7842,-16.6016
81032.0000,-0.2881,0.6445,0.1909,160.5835,-1.8311,-18.6768
81033.0000,-0.2886,0.6548,0.1499,166.3208,-0.4272,-19.8364
81034.0000,-0.2729,0.6836,0.0942,171.6309,1.1597,-20.2026
81035.0000,-0.2563,0.7666,0.0107,176.0864,4.2114,-19.8975
81036.0000,-0.2510,0.8525,-0.0366,176.2695,6.8359,-18.4937
81037.0000,-0.2573,0.9229,-0.0708,173.8892,9.4604,-15.5029
81038.0000,-0.3042,0.9492,-0.1147,168.7622,11.7798,-10.6201
81039.0000,-0.3423,0.9414,-0.1431,164.8560,11.8408,-7.2632
81040.0000,-0.3745,0.9521,-0.1816,161.4990,11.1084,-5.1270
81041.0000,-0.4287,0.8311,-0.0962,141.2964,1.4648,-4.2725
81042.0000,-0.3057,1.0625,-0.2925,165.9546,6.8359,-2.4414
81043.0000,-0.2876,1.1177,-0.3516,145.5078,8.9722,-5.6763
81044.0000,-0.3198,1.1621,-0.3467,133.4229,12.3291,-8.7280
81045.0000,-0.3042,1.1821,-0.3760,125.7324,15.0146,-9.6436
81046.0000,-0.2959,1.1382,-0.3970,114.0137,17.3340,-10.8643
81047.0000,-0.3086,1.0811,-0.4277,103.5156,22.0337,-11.2305
81048.0000,-0.3457,1.0522,-0.4492,96.1914,24.5361,-11.1084
81049.0000,-0.3721,1.0298,-0.4580,91.1255,26.3062,-10.9253
81050.0000,-0.4038,1.0244,-0.4761,83.3740,26.6113,-10.1318
81051.0000,-0.4077,1.0498,-0.4941,77.0264,25.8179,-8.9111
81052.0000,-0.4028,1.0815,-0.4966,69.0308,24.4141,-7.1411
81053.0000,-0.3862,1.0952,-0.5044,57.8613,23.2544,-4.5166
81054.0000,-0.3989,1.0762,-0.5010,49.3774,22.0337,-3.7842
81055.0000,-0.4053,1.0376,-0.4990,41.0767,21.2402,-3.2349
81056.0000,-0.4004,0.9712,-0.4932,31.3110,19.4092,-1.8311
81057.0000,-0.3945,0.9277,-0.4976,26.7334,18.7378,-1.2207
81058.0000,-0.4033,0.8936,-0.4917,23.0103,18.0664,-0.7935
81059.0000,-0.4087,0.8828,-0.4795,19.4702,16.5405,0.0610
81060.0000,-0.4014,0.8887,-0.4785,16.6626,15.1367,0.8545
81061.0000,-0.3887,0.9004,-0.4839,13.6108,13.4277,1.7700
81062.0000,-0.3638,0.8989,-0.4868,8.4229,11.5356,3.3569
81063.0000,-0.3452,0.8950,-0.4878,4.8218,10.8032,4.6387
81064.0000,-0.3320,0.8755,-0.4839,0.7324,10.1929,5.3101
81065.0000,-0.3193,0.8877,-0.5073,-3.1738,10.9253,6.1646
81066.0000,-0.3340,0.9009,-0.5151,-6.7139,11.2915,5.9814
81067.0000,-0.3408,0.9253,-0.5254,-11.0474,10.7422,5.9814
