timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
9884.0000,-0.4087,0.9136,0.5859,14.2822,7.7515,-0.6714
9885.0000,-0.4214,0.9185,0.5806,16.2354,8.4229,3.2959
9886.0000,-0.4277,0.9131,0.5640,17.5781,8.4839,8.1177
9887.0000,-0.4248,0.9111,0.5493,18.3105,8.4229,14.0381
9888.0000,-0.4189,0.9351,0.5488,17.7612,9.0332,17.2119
9889.0000,-0.4131,1.0093,0.5566,16.7847,10.4370,18.7988
9890.0000,-0.4219,1.1792,0.6055,14.9536,14.7095,16.6626
9891.0000,-0.4399,1.1870,0.6099,12.0850,18.0664,13.9160
9892.0000,-0.4160,0.9937,0.5322,7.5684,19.4092,14.1602
9893.0000,-0.3433,0.8115,0.4351,1.9531,22.5220,17.8223
9894.0000,-0.3467,0.8848,0.4624,0.0610,29.7852,17.8833
9895.0000,-0.4761,0.9409,0.5166,-0.9155,39.5508,16.4185
9896.0000,-0.4956,0.8223,0.4697,-1.4648,40.1001,18.9819
9897.0000,-0.4478,0.7456,0.4194,-0.7935,39.6729,23.2544
9898.0000,-0.4277,0.7979,0.4272,1.0376,42.5415,26.2451
9899.0000,-0.4570,0.8438,0.4644,2.1362,46.0205,26.1841
9900.0000,-0.4858,0.8252,0.4575,2.6245,47.1191,25.0854
9901.0000,-0.4917,0.7607,0.4346,3.2349,46.5698,23.1934
9902.0000,-0.5044,0.7280,0.4341,4.1504,46.6919,20.5688
9903.0000,-0.5317,0.7109,0.4316,5.7983,46.5698,17.3340
9904.0000,-0.5791,0.6924,0.4272,8.8501,44.9829,12.3901
9905.0000,-0.6040,0.6782,0.4189,11.0474,42.2363,8.8501
9906.0000,-0.6167,0.6826,0.4170,12.8174,38.8184,5.6152
9907.0000,-0.6167,0.7290,0.4302,14.2212,33.6304,1.6479
9908.0000,-0.6167,0.7510,0.4365,14.1602,29.7852,-1.0376
9909.0000,-0.6089,0.7412,0.4229,13.3667,25.6348,-2.8687
9910.0000,-0.5947,0.7588,0.4136,12.7563,20.8740,-4.5166
9911.0000,-0.6030,0.8013,0.4277,12.8174,18.2495,-6.0425
9912.0000,-0.6069,0.8188,0.4297,12.5732,14.8926,-6.9580
9913.0000,-0.5913,0.8013,0.4141,11.7188,9.2163,-5.3711
9914.0000,-0.5596,0.7998,0.4136,10.5591,4.9438,-2.8687
9915.0000,-0.5376,0.8159,0.4219,8.8501,1.6479,-0.0610
9916.0000,-0.5200,0.8418,0.4395,5.9204,-2.3804,3.4180
9917.0000,-0.5127,0.8521,0.4541,3.7231,-5.1880,5.6763
9918.0000,-0.5024,0.8462,0.4683,2.1362,-7.9346,7.3853
9919.0000,-0.4790,0.8101,0.4790,0.9155,-10.9863,9.2163
9920.0000,-0.4658,0.7681,0.4727,0.9155,-12.6953,9.3384
9921.0000,-0.4546,0.7246,0.4712,1.4648,-13.7329,8.7891
9922.0000,-0.4409,0.6992,0.4722,2.9907,-14.4653,6.8970
9923.0000,-0.4302,0.7012,0.4775,4.3335,-14.8315,4.6997
9924.0000,-0.4233,0.7041,0.4780,5.6763,-15.1978,2.8076
9925.0000,-0.4102,0.7031,0.4702,7.2021,-15.7471,0.7935
9926.0000,-0.3994,0.7036,0.4619,8.3618,-16.1133,-0.3662
9927.0000,-0.3931,0.7065,0.4556,9.3384,-16.4795,-1.1597
9928.0000,-0.3853,0.7041,0.4375,11.2915,-17.2119,-1.2817
9929.0000,-0.3784,0.7012,0.4268,12.6953,-18.1274,-0.8545
9930.0000,-0.3687,0.6997,0.4155,14.3433,-18.8599,-0.1221
9931.0000,-0.3657,0.7144,0.4053,16.3574,-19.7144,-0.1831
9932.0000,-0.3740,0.7178,0.4023,17.8833,-20.3857,-0.9155
9933.0000,-0.3804,0.7085,0.3906,18.7988,-21.3623,-2.2583
9934.0000,-0.3877,0.7100,0.3779,20.1416,-22.8271,-4.8218
9935.0000,-0.3896,0.7173,0.3760,21.1182,-23.9868,-6.7749
9936.0000,-0.3906,0.7329,0.3760,21.5454,-25.2686,-8.9111
9937.0000,-0.3984,0.7690,0.3779,22.0337,-26.9775,-11.5967
9938.0000,-0.4082,0.7881,0.3809,21.9727,-28.6255,-12.8174
9939.0000,-0.4185,0.7954,0.3755,21.8506,-30.8228,-13.7329
9940.0000,-0.4189,0.8008,0.3726,21.5454,-34.1797,-14.0991
9941.0000,-0.4160,0.8154,0.3711,21.4233,-36.8042,-14.0991
9942.0000,-0.4111,0.8354,0.3687,21.7285,-39.0015,-14.5264
9943.0000,-0.4048,0.8901,0.3843,22.1558,-41.0767,-16.2354
9944.0000,-0.4072,0.8936,0.3765,22.2778,-42.1143,-18.4937
9945.0000,-0.3960,0.8813,0.3657,21.9116,-42.7856,-20.6299
9946.0000,-0.4019,0.9185,0.3706,21.5454,-42.0532,-24.0479
9947.0000,-0.4209,0.9517,0.3843,21.0571,-41.6260,-25.8789
9948.0000,-0.4355,0.9673,0.3838,20.3247,-41.6870,-26.4893
9949.0000,-0.4463,0.9785,0.3862,19.7144,-42.5415,-25.6348
9950.0000,-0.4536,0.9941,0.3901,19.5312,-43.2129,-23.8037
9951.0000,-0.4668,1.0024,0.3979,19.4092,-43.7622,-22.2168
9952.0000,-0.4873,0.9985,0.4019,19.5312,-44.7388,-20.2026
9953.0000,-0.5024,0.9805,0.4023,19.6533,-46.0815,-18.6157
9954.0000,-0.5088,0.9585,0.4004,20.0195,-47.7905,-17.3340
9955.0000,-0.5068,0.9521,0.3989,20.9961,-50.2930,-15.7471
9956.0000,-0.5005,1.0024,0.4229,21.7285,-51.3916,-15.0757
9957.0000,-0.5146,1.0674,0.4580,22.3389,-51.6357,-15.5029
9958.0000,-0.5420,1.1323,0.4883,23.0103,-52.9175,-16.7236
9959.0000,-0.5674,1.1421,0.5083,24.0479,-54.3213,-18.2495
9960.0000,-0.5913,1.0229,0.4849,25.6958,-57.8003,-18.1885
9961.0000,-0.5439,0.8501,0.4160,28.3203,-64.4531,-15.3809
9962.0000,-0.5098,0.8667,0.4243,30.8228,-67.1997,-14.3433
9963.0000,-0.5146,0.9546,0.4683,32.2876,-67.5049,-15.1367
9964.0000,-0.5186,0.9463,0.4893,30.9448,-69.2749,-16.2964
9965.0000,-0.4976,0.8428,0.4595,28.0762,-71.8994,-15.6250
